* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 3, 2021 4:36:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: UM 3D Terminator R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.307678	155.8649
20.299999	90.269119	155.9612
20.600000	90.259857	156.0983
20.900000	90.276558	156.1748
21.200001	90.311241	156.0922
21.400000	90.333145	155.9495
21.799999	90.362701	155.5270
22.000000	90.368423	155.2832
22.400000	90.368408	154.7893
22.700001	90.362129	154.4612
23.000000	90.356750	154.1444
23.299999	90.353203	153.7928
23.600000	90.344666	153.4095
24.000000	90.318497	152.8842
24.299999	90.290710	152.5220
24.700001	90.253296	152.1194
25.000000	90.232887	151.8418
25.400000	90.218834	151.3953
25.799999	90.199188	150.8214
26.200001	90.155960	150.1924
26.500000	90.109390	149.7933
26.900000	90.045731	149.4695
27.200001	90.017395	149.3418
27.600000	90.019638	149.1508
28.000000	90.046013	148.7149
28.500000	90.052147	147.7866
29.000000	89.987274	146.9130
29.500000	89.900940	146.5389
30.000000	89.876816	146.5483
30.400000	89.916229	146.4150
30.700001	89.955460	146.0945
31.100000	89.979996	145.4238
31.500000	89.953590	144.7142
32.000000	89.872696	144.2039
32.500000	89.818413	144.1722
33.000000	89.836243	144.1723
33.500000	89.883972	143.7466
34.000000	89.883575	142.9679
34.500000	89.819138	142.2859
35.000000	89.734909	142.0104
35.500000	89.690849	141.9787
36.000000	89.684982	141.8354
36.500000	89.674576	141.4886
37.000000	89.645134	141.1866
37.500000	89.633957	141.0330
38.200001	89.682510	140.5485
38.700001	89.703308	139.6808
39.500000	89.573029	138.1627
40.000000	89.425087	137.8514
40.599998	89.306602	138.2667
