* Measurement data measured by REW V5.20 Beta 47
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -3.0 dBFS with no timing reference
* Dated: Jul 25, 2020 8:58:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VSonic AN16 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.0000	92.2997	29.91
20.3000	92.3398	29.75
20.6000	92.4004	29.60
20.9000	92.4764	29.37
21.2000	92.5629	29.01
21.4000	92.6184	28.70
21.8000	92.7152	27.95
22.0000	92.7535	27.52
22.4000	92.8091	26.64
22.7000	92.8299	26.03
23.0000	92.8392	25.52
23.3000	92.8491	25.13
23.6000	92.8659	24.82
24.0000	92.9057	24.48
24.3000	92.9467	24.18
24.7000	93.0009	23.70
25.0000	93.0307	23.31
25.4000	93.0571	22.87
25.8000	93.0859	22.62
26.2000	93.1461	22.45
26.5000	93.2146	22.22
26.9000	93.3109	21.65
27.2000	93.3615	21.02
27.6000	93.3749	20.09
28.0000	93.3292	19.40
28.5000	93.2598	19.11
29.0000	93.2595	19.19
29.5000	93.3279	19.03
30.0000	93.3861	18.47
30.4000	93.3980	17.94
30.7000	93.3923	17.63
31.1000	93.3856	17.33
31.5000	93.3915	17.08
32.0000	93.4106	16.78
32.5000	93.4419	16.50
33.0000	93.5000	16.20
33.5000	93.5812	15.63
34.0000	93.6316	14.72
34.5000	93.6110	13.78
35.0000	93.5447	13.31
35.5000	93.5192	13.32
36.0000	93.5676	13.29
36.5000	93.6311	12.83
37.0000	93.6397	12.17
37.5000	93.6015	11.76
38.2000	93.5785	11.76
38.7000	93.6148	11.74
39.5000	93.6799	11.31
40.0000	93.7006	11.02
40.6000	93.7222	10.70
41.2000	93.7471	10.37
41.8000	93.7665	10.01
42.5000	93.7803	9.63
43.1000	93.7904	9.32
43.7000	93.7968	9.02
44.4000	93.8028	8.72
45.0000	93.8157	8.47
45.5000	93.8272	8.19
46.2000	93.8224	7.78
46.8000	93.8060	7.58
47.5000	93.8256	7.49
48.2000	93.8869	7.12
48.7000	93.9113	6.60
49.4000	93.8912	6.02
50.0000	93.8924	5.88
50.8000	93.9935	5.29
51.5000	94.0162	3.94
52.2000	93.8578	2.88
53.0000	93.6522	3.35
53.8000	93.6860	4.44
54.5000	93.8133	4.47
55.2000	93.8761	3.88
56.0000	93.8640	3.29
57.0000	93.8380	2.96
58.0000	93.8642	2.53
59.0000	93.8338	1.78
60.0000	93.7900	1.77
60.8000	93.8512	1.69
61.5000	93.8912	1.19
62.2000	93.8784	0.75
63.0000	93.8644	0.55
64.0000	93.8711	0.26
65.0000	93.8585	-0.12
66.0000	93.8302	-0.40
67.0000	93.8203	-0.75
68.0000	93.7702	-1.16
69.0000	93.7501	-1.07
70.0000	93.8217	-1.30
71.0000	93.8509	-2.04
72.0000	93.8107	-2.62
73.0000	93.7672	-2.79
74.0000	93.7591	-2.90
75.0000	93.7529	-3.06
76.2000	93.7509	-3.38
77.5000	93.7380	-3.72
78.8000	93.7138	-4.25
80.0000	93.6899	-4.52
81.2000	93.6630	-4.87
82.5000	93.6600	-5.13
83.8000	93.6325	-5.27
85.0000	93.6982	-5.66
86.2000	93.6277	-6.21
87.5000	93.6079	-6.29
88.5000	93.5869	-6.28
90.0000	93.6379	-6.84
91.2000	93.5803	-7.38
92.5000	93.4844	-7.93
93.8000	93.4486	-7.50
95.0000	93.5188	-8.08
96.2000	93.4616	-8.53
97.5000	93.4758	-8.58
98.8000	93.4491	-9.12
100.0000	93.4131	-8.93
101.5000	93.4133	-9.58
103.0000	93.3432	-9.53
104.4000	93.3470	-10.05
106.0000	93.3234	-10.36
107.5000	93.2989	-10.66
109.0000	93.3003	-10.98
110.6000	93.2768	-11.20
112.0000	93.2239	-11.32
113.8000	93.2430	-12.26
115.0000	93.1312	-11.99
117.2000	93.1102	-12.22
118.0000	93.2045	-12.02
120.6000	93.0948	-13.02
122.0000	93.1129	-13.92
124.1000	93.0392	-15.09
125.0000	92.8603	-14.61
126.5000	93.0207	-14.19
128.0000	92.8813	-14.38
131.5000	92.9160	-14.84
