* Measurement data measured by REW V5.20 Beta 60
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.258
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 12, 2021 5:33:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vision Ears VE3.2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.503136	-151.5721
20.299999	85.331520	-151.6413
20.600000	85.219368	-150.9205
20.900000	85.227142	-149.7537
21.200001	85.373833	-148.7711
21.400000	85.513123	-148.4867
21.799999	85.804619	-148.8223
22.000000	85.918510	-149.3501
22.400000	86.039780	-150.6801
22.700001	86.047935	-151.4905
23.000000	86.027901	-151.9111
23.299999	86.025620	-152.0204
23.600000	86.057686	-152.0045
24.000000	86.146172	-152.1148
24.299999	86.218658	-152.4256
24.700001	86.287842	-153.0387
25.000000	86.315598	-153.4958
25.400000	86.343658	-154.0013
25.799999	86.383560	-154.4568
26.200001	86.432976	-155.0670
26.500000	86.458176	-155.6599
26.900000	86.453934	-156.4921
27.200001	86.425339	-157.0087
27.600000	86.378647	-157.4213
28.000000	86.356873	-157.5656
28.500000	86.391098	-157.7238
29.000000	86.456009	-158.1467
29.500000	86.504547	-158.7751
30.000000	86.524208	-159.3257
30.400000	86.539154	-159.6388
30.700001	86.556961	-159.8176
31.100000	86.590958	-160.0608
31.500000	86.629944	-160.3644
32.000000	86.668175	-160.8068
32.500000	86.688049	-161.2480
33.000000	86.693146	-161.5798
33.500000	86.698059	-161.7916
34.000000	86.715981	-161.9445
34.500000	86.754204	-162.1774
35.000000	86.795967	-162.5728
35.500000	86.821594	-163.1453
36.000000	86.813812	-163.7930
36.500000	86.770248	-164.3716
37.000000	86.709885	-164.7114
37.500000	86.666489	-164.7945
38.200001	86.666275	-164.8138
38.700001	86.694717	-164.9735
39.500000	86.740166	-165.4175
40.000000	86.769043	-165.7026
40.599998	86.809731	-166.1294
41.200001	86.840149	-166.6772
41.799999	86.848663	-167.2201
42.500000	86.845352	-167.7234
43.099998	86.842743	-168.1064
43.700001	86.835739	-168.4442
44.400002	86.831451	-168.7371
45.000000	86.840630	-168.9901
45.500000	86.846283	-169.2492
46.200001	86.839630	-169.5327
46.799999	86.843857	-169.6375
47.500000	86.878387	-169.8116
48.200001	86.911285	-170.1506
48.700001	86.924515	-170.4313
49.400002	86.933846	-170.8092
50.000000	86.927307	-171.1099
50.799999	86.914825	-171.3875
51.500000	86.926025	-171.5450
52.200001	86.941116	-171.8622
53.000000	86.927574	-172.2368
53.799999	86.918411	-172.4183
54.500000	86.924286	-172.6267
55.200001	86.921402	-172.8629
56.000000	86.921860	-173.0333
57.000000	86.937866	-173.3539
58.000000	86.932968	-173.7095
59.000000	86.929092	-173.9752
60.000000	86.935104	-174.2151
60.799999	86.945946	-174.4518
61.500000	86.953514	-174.7344
62.200001	86.947304	-175.0119
63.000000	86.937935	-175.2099
64.000000	86.945633	-175.4659
65.000000	86.940018	-175.8046
66.000000	86.925362	-176.0333
67.000000	86.918800	-176.2607
68.000000	86.920197	-176.4707
69.000000	86.933197	-176.8923
70.000000	86.893646	-177.2805
71.000000	86.886856	-177.2856
72.000000	86.922806	-177.5109
73.000000	86.943985	-177.8325
74.000000	86.954285	-178.1816
75.000000	86.949539	-178.3828
76.199997	86.956047	-178.6943
77.500000	86.930191	-178.7018
78.800003	86.984032	-179.0303
80.000000	86.954971	-179.4123
81.199997	86.953972	-179.6780
82.500000	86.924072	-179.9180
83.800003	86.915863	-179.9734
85.000000	86.943924	179.8962
86.199997	86.930283	179.4203
87.500000	86.895187	179.3046
88.500000	86.901558	179.0981
90.000000	86.890854	178.7141
91.199997	86.891960	178.3645
92.500000	86.860489	178.0699
93.800003	86.874252	178.0202
95.000000	86.868942	177.6245
96.199997	86.836288	177.5791
97.500000	86.832092	177.3660
98.800003	86.807045	177.2661
100.000000	86.809677	177.0234
101.500000	86.786987	176.7350
103.000000	86.772789	176.5983
104.400002	86.790085	176.3746
106.000000	86.776070	176.1377
107.500000	86.766563	175.9409
109.000000	86.775391	175.7648
110.599998	86.731430	175.4351
112.000000	86.744965	175.3699
113.800003	86.689270	174.8708
115.000000	86.695679	174.9946
117.199997	86.662079	174.5102
118.000000	86.687210	174.6217
120.599998	86.661484	174.1550
122.000000	86.663094	174.0379
124.099998	86.628151	173.8524
125.000000	86.615662	173.9011
126.500000	86.611839	173.4929
128.000000	86.562798	173.5539
131.500000	86.522163	172.9246
132.000000	86.521408	172.9017
134.000000	86.521103	172.6235
136.000000	86.506248	172.5030
138.000000	86.480225	172.2132
140.000000	86.476952	172.0856
143.000000	86.433960	171.7170
145.000000	86.392014	171.5853
147.500000	86.394882	171.3685
150.000000	86.367493	170.9684
152.500000	86.332939	170.8624
155.000000	86.322723	170.6660
157.500000	86.315826	170.3410
160.000000	86.279007	170.1116
162.500000	86.244576	169.8528
