* Measurement data measured by REW V5.20.5
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -31.7 dBFS, measurement signal peak level -28.5 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -15.0 dBFS using an acoustic timing reference
* Dated: Apr 10, 2022 10:04:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1156 ms (-40 mm, -1.56 in) using estimated IR delay relative to Acoustic reference on HEADPHONE L with no timing offset
* Measurement: Eternal L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.187	-107.9096
20.299999	84.018	-108.5333
20.600000	83.916	-108.4895
20.900000	83.930	-108.2270
21.200001	84.057	-108.3367
21.400000	84.169	-108.8179
21.799999	84.388	-110.6809
22.000000	84.465	-111.9283
22.400000	84.526	-114.5722
22.700001	84.513	-116.3477
23.000000	84.486	-117.7926
23.299999	84.472	-118.9747
23.600000	84.478	-120.0063
24.000000	84.509	-121.2938
24.299999	84.537	-122.2202
24.700001	84.576	-123.3513
25.000000	84.614	-124.1152
25.400000	84.686	-125.1253
25.799999	84.770	-126.3278
26.200001	84.826	-127.8043
26.500000	84.823	-128.9799
26.900000	84.749	-130.3642
27.200001	84.655	-131.0703
27.600000	84.519	-131.4599
28.000000	84.428	-131.3802
28.500000	84.421	-131.1996
29.000000	84.489	-131.5340
29.500000	84.551	-132.5106
30.000000	84.556	-133.8435
30.400000	84.514	-134.9220
30.700001	84.464	-135.6537
31.100000	84.388	-136.4734
31.500000	84.314	-137.1079
32.000000	84.248	-137.6944
32.500000	84.226	-138.1828
33.000000	84.247	-138.7513
33.500000	84.291	-139.5233
34.000000	84.330	-140.5038
34.500000	84.344	-141.5657
35.000000	84.331	-142.5537
35.500000	84.309	-143.3860
36.000000	84.288	-144.0911
36.500000	84.270	-144.7176
37.000000	84.256	-145.2682
37.500000	84.254	-145.7522
38.200001	84.281	-146.5487
38.700001	84.296	-147.3935
39.500000	84.218	-148.9279
40.000000	84.113	-149.5108
40.599998	84.016	-149.6511
41.200001	84.015	-149.6937
41.799999	84.071	-150.2061
42.500000	84.104	-151.4252
43.099998	84.067	-152.5916
43.700001	83.985	-153.5568
44.400002	83.872	-154.1899
45.000000	83.822	-154.3508
45.500000	83.837	-154.5621
46.200001	83.867	-155.4205
46.799999	83.814	-156.3540
47.500000	83.707	-156.7933
48.200001	83.704	-156.8566
48.700001	83.754	-157.3074
49.400002	83.756	-158.5347
50.000000	83.669	-159.3637
50.799999	83.575	-159.6980
51.500000	83.586	-160.0106
52.200001	83.604	-160.7606
53.000000	83.554	-161.7226
53.799999	83.460	-162.1907
54.500000	83.422	-162.1883
55.200001	83.446	-162.3765
56.000000	83.438	-163.1025
57.000000	83.330	-163.6982
58.000000	83.277	-164.0200
59.000000	83.227	-164.6523
60.000000	83.191	-165.2965
60.799999	83.158	-166.0805
61.500000	83.095	-166.6817
62.200001	83.040	-167.0458
63.000000	83.005	-167.4033
64.000000	82.977	-167.7095
65.000000	83.018	-168.0150
66.000000	83.059	-168.9484
67.000000	82.990	-170.0376
68.000000	82.869	-170.5649
69.000000	82.786	-170.7982
70.000000	82.716	-170.9933
71.000000	82.676	-170.9586
72.000000	82.690	-171.0607
73.000000	82.695	-171.4306
74.000000	82.674	-171.8826
75.000000	82.624	-172.4448
76.199997	82.508	-173.0883
77.500000	82.386	-173.5641
78.800003	82.329	-174.0934
80.000000	82.362	-174.8177
81.199997	82.425	-176.0322
82.500000	82.398	-177.4030
83.800003	82.269	-177.5585
85.000000	82.235	-176.6467
86.199997	82.313	-176.1268
87.500000	82.304	-176.7552
88.500000	82.172	-177.2681
90.000000	81.977	-177.6211
91.199997	81.889	-178.0606
92.500000	81.810	-178.7553
93.800003	81.730	-179.1690
95.000000	81.681	-179.2613
96.199997	81.659	-179.1811
97.500000	81.669	-179.2361
98.800003	81.678	-179.6422
100.000000	81.665	179.7650
101.500000	81.618	179.0345
103.000000	81.557	178.5510
104.400002	81.480	178.3923
106.000000	81.399	178.6670
107.500000	81.377	178.7059
109.000000	81.326	178.2198
110.599998	81.235	177.7422
112.000000	81.191	177.5660
113.800003	81.176	177.2211
115.000000	81.128	177.0145
117.199997	80.999	177.0603
118.000000	80.954	177.0637
120.599998	80.838	176.7357
122.000000	80.795	176.3455
124.099998	80.761	175.7719
125.000000	80.753	175.4903
126.500000	80.732	175.0168
128.000000	80.697	174.5894
131.500000	80.623	174.1880
132.000000	80.618	174.1366
134.000000	80.569	174.0022
136.000000	80.509	174.0485
138.000000	80.439	174.1283
140.000000	80.401	174.1655
143.000000	80.328	173.3919
145.000000	80.209	172.8447
147.500000	80.087	172.6299
150.000000	80.055	172.6296
152.500000	80.033	172.5558
155.000000	79.983	172.4739
157.500000	79.938	172.4165
160.000000	79.924	172.2618
162.500000	79.892	172.2642
165.000000	79.853	172.4811
167.500000	79.800	172.6270
170.000000	79.755	172.5081
172.500000	79.697	172.2586
175.000000	79.626	172.1703
177.500000	79.579	172.1410
180.000000	79.553	171.9739
182.500000	79.514	171.9622
185.000000	79.458	172.0898
187.500000	79.388	172.1791
190.000000	79.351	172.2570
192.500000	79.339	172.2419
195.000000	79.305	172.1713
197.500000	79.254	172.0885
200.000000	79.209	172.0880
203.000000	79.170	172.1538
206.000000	79.119	172.1842
209.000000	79.043	172.2005
212.000000	78.969	172.0491
214.000000	78.966	172.0618
218.000000	78.953	174.0853
220.000000	78.852	176.3562
224.000000	78.766	178.0621
227.000000	78.735	175.1441
230.000000	78.702	173.5588
233.000000	78.638	173.3846
236.000000	78.542	173.0410
240.000000	78.510	173.0998
243.000000	78.489	173.8604
247.000000	78.419	174.2193
250.000000	78.329	174.0526
254.000000	78.255	174.2655
258.000000	78.265	173.8642
262.000000	78.331	172.9033
265.000000	78.405	172.5383
269.000000	78.410	172.7440
272.000000	78.356	173.0019
276.000000	78.239	173.6099
280.000000	78.208	174.4622
285.000000	78.281	175.1538
290.000000	78.005	175.2968
295.000000	78.159	174.6286
300.000000	78.463	175.4957
304.000000	78.388	175.6691
307.000000	78.255	175.6973
311.000000	77.918	176.5926
315.000000	77.615	177.3092
320.000000	77.723	177.1344
325.000000	77.700	177.8604
330.000000	77.463	177.9135
335.000000	77.504	176.8798
340.000000	77.609	176.3122
345.000000	77.555	177.1030
350.000000	77.553	177.6190
355.000000	77.575	177.6551
360.000000	77.552	177.5748
365.000000	77.511	177.7542
370.000000	77.457	177.9182
375.000000	77.414	178.1703
382.000000	77.362	178.5878
387.000000	77.315	178.6892
395.000000	77.277	178.9409
400.000000	77.265	179.2773
406.000000	77.263	179.5477
412.000000	77.225	179.7378
418.000000	77.194	179.8876
425.000000	77.167	-179.9456
431.000000	77.144	-179.7870
437.000000	77.131	-179.6683
444.000000	77.104	-179.4061
450.000000	77.063	-179.0594
455.000000	77.049	-178.7972
462.000000	77.022	-178.5358
468.000000	76.989	-178.4023
475.000000	76.957	-178.3473
482.000000	76.931	-178.0716
487.000000	76.908	-177.7984
494.000000	76.878	-177.6190
500.000000	76.865	-177.4882
508.000000	76.848	-177.2775
515.000000	76.826	-177.1194
522.000000	76.812	-176.8945
530.000000	76.796	-176.5657
538.000000	76.762	-176.2683
545.000000	76.729	-176.0364
552.000000	76.708	-175.8021
560.000000	76.693	-175.5419
570.000000	76.677	-175.2112
580.000000	76.660	-174.8549
590.000000	76.640	-174.4962
600.000000	76.615	-174.1459
608.000000	76.598	-173.8794
615.000000	76.587	-173.6616
622.000000	76.579	-173.4372
630.000000	76.570	-173.1406
640.000000	76.557	-172.7799
650.000000	76.538	-172.4572
660.000000	76.513	-172.0888
670.000000	76.487	-171.6532
680.000000	76.455	-171.2385
690.000000	76.419	-170.8574
700.000000	76.385	-170.5002
710.000000	76.354	-170.1529
720.000000	76.325	-169.7926
730.000000	76.300	-169.4127
740.000000	76.282	-169.0275
750.000000	76.272	-168.6554
762.000000	76.266	-168.2029
775.000000	76.264	-167.7119
788.000000	76.270	-167.2343
800.000000	76.285	-166.7907
812.000000	76.304	-166.3292
825.000000	76.328	-165.8147
838.000000	76.360	-165.3077
850.000000	76.392	-164.8482
862.000000	76.425	-164.3820
875.000000	76.465	-163.8744
885.000000	76.498	-163.4750
900.000000	76.551	-162.8808
912.000000	76.597	-162.4131
925.000000	76.655	-161.9171
938.000000	76.723	-161.4080
950.000000	76.791	-160.9221
962.000000	76.867	-160.4373
975.000000	76.960	-159.9173
988.000000	77.060	-159.4038
1000.000000	77.157	-158.9290
1015.000000	77.283	-158.3413
1030.000000	77.419	-157.7483
1044.000000	77.552	-157.1864
1060.000000	77.708	-156.5385
1075.000000	77.856	-155.9139
1090.000000	78.007	-155.2908
1106.000000	78.172	-154.6421
1120.000000	78.320	-154.0726
1138.000000	78.517	-153.3262
1150.000000	78.656	-152.8257
1172.000000	78.921	-151.9110
1180.000000	79.019	-151.5804
1206.000000	79.333	-150.5055
1220.000000	79.496	-149.9335
1241.000000	79.727	-149.0844
1250.000000	79.822	-148.7232
1265.000000	79.977	-148.1284
1280.000000	80.127	-147.5419
1315.000000	80.468	-146.1731
1320.000000	80.516	-145.9776
1340.000000	80.707	-145.1952
1360.000000	80.895	-144.4081
1380.000000	81.078	-143.6140
1400.000000	81.252	-142.8229
1430.000000	81.499	-141.6576
1450.000000	81.655	-140.8973
1475.000000	81.843	-139.9616
1500.000000	82.023	-139.0381
1525.000000	82.198	-138.1338
1550.000000	82.369	-137.2498
1575.000000	82.538	-136.3827
1600.000000	82.708	-135.5429
1625.000000	82.883	-134.7452
1650.000000	83.064	-133.9787
1675.000000	83.250	-133.2412
1700.000000	83.440	-132.5424
1725.000000	83.630	-131.8979
1750.000000	83.821	-131.3053
1775.000000	84.011	-130.7594
1800.000000	84.201	-130.2678
1825.000000	84.392	-129.8355
1850.000000	84.586	-129.4531
1875.000000	84.783	-129.1155
1900.000000	84.983	-128.8271
1925.000000	85.187	-128.5948
1950.000000	85.393	-128.4280
1975.000000	85.604	-128.3229
2000.000000	85.819	-128.2836
2030.000000	86.082	-128.3398
2060.000000	86.351	-128.5285
2090.000000	86.625	-128.8678
2120.000000	86.905	-129.3524
2140.000000	87.094	-129.7548
2180.000000	87.477	-130.7571
2200.000000	87.668	-131.3651
2240.000000	88.046	-132.8351
2270.000000	88.320	-134.1716
2300.000000	88.581	-135.6934
2330.000000	88.822	-137.3778
2360.000000	89.038	-139.2126
2400.000000	89.280	-141.8604
2430.000000	89.421	-143.9584
2470.000000	89.551	-146.8452
2500.000000	89.606	-149.0382
2540.000000	89.625	-151.9403
2580.000000	89.587	-154.7506
2620.000000	89.498	-157.4089
2650.000000	89.404	-159.2696
2690.000000	89.246	-161.5597
2720.000000	89.109	-163.1389
