* Measurement data measured by REW V5.20 Beta 39
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 2M Log Swept Sine, 1 sweep at -3.0 dBFS With no timing reference
* Dated: Mar 7, 2020 2:30:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AF1120 MK2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.9	-99.5932
20.299999	72.0	-100.1824
20.600000	72.1	-101.1708
20.900000	72.2	-102.0879
21.200001	72.3	-102.9389
21.400000	72.3	-103.5108
21.799999	72.4	-104.6776
22.000000	72.4	-105.2728
22.400000	72.5	-106.4828
22.700001	72.5	-107.3994
23.000000	72.5	-108.3146
23.299999	72.5	-109.2233
23.600000	72.5	-110.1245
24.000000	72.5	-111.3168
24.299999	72.6	-112.2053
24.700001	72.6	-113.3805
25.000000	72.6	-114.2534
25.400000	72.7	-115.4070
25.799999	72.7	-116.5515
26.200001	72.7	-117.6785
26.500000	72.7	-118.4953
26.900000	72.8	-119.5132
27.200001	72.8	-120.2065
27.600000	72.8	-121.0448
28.000000	72.9	-121.8330
28.500000	72.9	-122.8615
29.000000	73.0	-124.0120
29.500000	73.0	-125.2267
30.000000	73.0	-126.3700
30.400000	73.0	-127.1868
30.700001	73.0	-127.7551
31.100000	73.0	-128.4939
31.500000	73.0	-129.2524
32.000000	73.1	-130.2466
32.500000	73.1	-131.2624
33.000000	73.1	-132.2588
33.500000	73.1	-133.2178
34.000000	73.1	-134.1344
34.500000	73.2	-135.0090
35.000000	73.2	-135.8568
35.500000	73.2	-136.7022
36.000000	73.2	-137.5482
36.500000	73.3	-138.3637
37.000000	73.3	-139.1143
37.500000	73.3	-139.8033
38.200001	73.3	-140.7429
38.700001	73.3	-141.4357
39.500000	73.4	-142.5577
40.000000	73.4	-143.2407
40.599998	73.4	-144.0349
41.200001	73.4	-144.8013
41.799999	73.4	-145.5432
42.500000	73.4	-146.3995
43.099998	73.4	-147.1371
43.700001	73.4	-147.8678
44.400002	73.4	-148.7054
45.000000	73.4	-149.4214
45.500000	73.4	-150.0119
46.200001	73.4	-150.7986
46.799999	73.4	-151.4224
47.500000	73.5	-152.1197
48.200001	73.5	-152.8286
48.700001	73.5	-153.3527
49.400002	73.5	-154.0984
50.000000	73.5	-154.7240
50.799999	73.5	-155.5139
51.500000	73.5	-156.1786
52.200001	73.5	-156.8377
53.000000	73.4	-157.5673
53.799999	73.4	-158.2569
54.500000	73.4	-158.8477
55.200001	73.4	-159.4344
56.000000	73.4	-160.0802
57.000000	73.4	-160.8519
58.000000	73.4	-161.6239
59.000000	73.4	-162.3979
60.000000	73.4	-163.1650
60.799999	73.4	-163.7676
61.500000	73.4	-164.2842
62.200001	73.4	-164.7923
63.000000	73.4	-165.3619
64.000000	73.4	-166.0521
65.000000	73.4	-166.7169
66.000000	73.4	-167.3577
67.000000	73.4	-167.9788
68.000000	73.4	-168.5983
69.000000	73.4	-169.2220
70.000000	73.4	-169.8316
71.000000	73.4	-170.4137
72.000000	73.3	-170.9695
73.000000	73.3	-171.5081
74.000000	73.3	-172.0344
75.000000	73.3	-172.5606
76.199997	73.3	-173.1989
77.500000	73.3	-173.8691
78.800003	73.3	-174.5127
80.000000	73.3	-175.1113
81.199997	73.3	-175.7045
82.500000	73.3	-176.3680
83.800003	73.3	-177.0181
85.000000	73.2	-177.5063
86.199997	73.2	-177.9696
87.500000	73.2	-178.5341
88.500000	73.2	-179.0187
90.000000	73.2	-179.7465
91.199997	73.2	179.7021
92.500000	73.2	179.1338
93.800003	73.1	178.5869
95.000000	73.1	178.1041
96.199997	73.1	177.6398
97.500000	73.1	177.1429
98.800003	73.1	176.6386
100.000000	73.1	176.1638
101.500000	73.1	175.5807
103.000000	73.1	175.0269
104.400002	73.1	174.5244
106.000000	73.0	173.9589
107.500000	73.0	173.4283
109.000000	73.0	172.9007
