* Measurement data measured by REW V5.20.4
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -38.8 dBFS, measurement signal peak level -31.3 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -15.0 dBFS using an acoustic timing reference
* Dated: Jan 22, 2022 10:43:48 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.3828 ms (-131 mm, -5.17 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Autumn R Bass
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.218	-84.4339
20.299999	85.219	-86.4328
20.600000	85.151	-87.9528
20.900000	85.049	-88.8766
21.200001	84.967	-89.2662
21.400000	84.951	-89.3910
21.799999	85.015	-89.7098
22.000000	85.083	-90.0879
22.400000	85.230	-91.5123
22.700001	85.298	-93.0812
23.000000	85.295	-94.8292
23.299999	85.222	-96.4553
23.600000	85.099	-97.7393
24.000000	84.917	-98.7439
24.299999	84.818	-99.0562
24.700001	84.783	-99.2578
25.000000	84.823	-99.5694
25.400000	84.921	-100.4756
25.799999	85.006	-101.9214
26.200001	85.039	-103.6029
26.500000	85.033	-104.8037
26.900000	85.005	-106.1720
27.200001	84.988	-107.0304
27.600000	84.984	-108.0644
28.000000	84.992	-109.1122
28.500000	84.998	-110.4790
29.000000	84.989	-111.7578
29.500000	84.986	-112.8672
30.000000	85.003	-113.9229
30.400000	85.019	-114.8009
30.700001	85.026	-115.4579
31.100000	85.027	-116.2604
31.500000	85.033	-116.9529
32.000000	85.062	-117.7729
32.500000	85.104	-118.7353
33.000000	85.123	-119.8406
33.500000	85.109	-120.8652
34.000000	85.093	-121.6709
34.500000	85.104	-122.4234
35.000000	85.130	-123.3562
35.500000	85.129	-124.4558
36.000000	85.089	-125.4647
36.500000	85.039	-126.2000
37.000000	85.015	-126.7330
37.500000	85.028	-127.2699
38.200001	85.075	-128.2837
38.700001	85.101	-129.2023
39.500000	85.100	-130.7315
40.000000	85.090	-131.5415
40.599998	85.109	-132.4418
41.200001	85.157	-133.6658
41.799999	85.154	-135.3074
42.500000	85.024	-136.9801
43.099998	84.887	-137.5395
43.700001	84.843	-137.5771
44.400002	84.905	-137.8190
45.000000	84.971	-138.4190
45.500000	85.004	-139.0261
46.200001	85.020	-139.8858
46.799999	85.007	-140.5947
47.500000	84.962	-141.2720
48.200001	84.915	-141.7635
48.700001	84.890	-142.0963
49.400002	84.864	-142.6544
50.000000	84.845	-143.2615
50.799999	84.811	-144.3404
51.500000	84.740	-145.4397
52.200001	84.632	-146.3045
53.000000	84.545	-146.7920
53.799999	84.553	-147.2552
54.500000	84.582	-147.9881
55.200001	84.576	-148.7652
56.000000	84.560	-149.3740
57.000000	84.573	-150.0910
58.000000	84.545	-150.9485
59.000000	84.482	-151.4298
60.000000	84.470	-151.7466
60.799999	84.478	-152.2777
61.500000	84.460	-152.8566
62.200001	84.431	-153.3387
63.000000	84.415	-153.8681
64.000000	84.381	-154.6426
65.000000	84.344	-155.1189
66.000000	84.362	-155.7405
67.000000	84.331	-156.6471
68.000000	84.282	-157.2292
69.000000	84.267	-157.9199
70.000000	84.221	-158.7484
71.000000	84.160	-159.3240
72.000000	84.135	-159.6797
73.000000	84.142	-160.2378
74.000000	84.086	-160.8914
75.000000	84.015	-160.9417
76.199997	84.032	-161.1698
77.500000	83.977	-162.0749
78.800003	83.887	-162.8215
80.000000	83.804	-163.4853
81.199997	83.764	-163.8380
82.500000	83.818	-164.3093
83.800003	83.866	-165.1660
85.000000	83.844	-165.7419
86.199997	83.805	-166.0794
87.500000	83.716	-166.4242
88.500000	83.627	-166.5034
90.000000	83.552	-166.7341
91.199997	83.496	-167.2293
92.500000	83.458	-167.6097
93.800003	83.462	-168.1221
95.000000	83.434	-168.5883
96.199997	83.391	-168.7596
97.500000	83.355	-168.8696
98.800003	83.311	-169.1201
100.000000	83.257	-169.5007
101.500000	83.177	-170.0173
103.000000	83.126	-170.4598
104.400002	83.124	-170.8417
106.000000	83.148	-171.5220
107.500000	83.120	-172.1292
109.000000	83.078	-172.3838
110.599998	83.062	-172.4662
112.000000	83.070	-172.7476
113.800003	82.998	-173.4368
115.000000	82.909	-173.6397
117.199997	82.796	-174.0364
118.000000	82.754	-174.2784
120.599998	82.643	-174.6701
122.000000	82.637	-174.7407
124.099998	82.618	-174.9589
125.000000	82.593	-175.0797
126.500000	82.529	-175.3229
128.000000	82.464	-175.5311
131.500000	82.420	-176.5637
132.000000	82.407	-176.7260
134.000000	82.331	-177.1101
136.000000	82.246	-177.3390
138.000000	82.156	-177.5664
140.000000	82.138	-177.6124
143.000000	82.188	-178.0660
145.000000	82.127	-178.2126
147.500000	82.007	-177.9184
150.000000	81.954	-177.7095
152.500000	81.927	-178.0294
155.000000	81.860	-178.4270
157.500000	81.791	-178.8023
160.000000	81.723	-179.1884
162.500000	81.660	-179.4134
165.000000	81.617	-179.3988
167.500000	81.586	-179.2780
170.000000	81.552	-179.2616
172.500000	81.490	-179.4438
