* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), L, volume: 1.000. Timing signal peak level -25.8 dBFS, measurement signal peak level -25.7 dBFS
* Format: 4M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: Oct 18, 2022 8:23:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0471 ms (-16 mm, -0.64 in) using estimated IR delay relative to Acoustic reference played from  L with no timing offset
* Measurement: Talos L (1)[Generic]
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.708	34.8390
20.299999	84.747	33.5895
20.600000	84.751	32.3732
20.900000	84.727	31.2911
21.200001	84.688	30.4073
21.400000	84.664	29.9270
21.799999	84.629	29.1640
22.000000	84.623	28.8372
22.400000	84.634	28.1895
22.700001	84.655	27.6517
23.000000	84.678	27.0468
23.299999	84.698	26.3899
23.600000	84.710	25.7068
24.000000	84.715	24.8019
24.299999	84.711	24.1577
24.700001	84.702	23.3622
25.000000	84.696	22.8088
25.400000	84.690	22.1082
25.799999	84.687	21.4243
26.200001	84.686	20.7461
26.500000	84.684	20.2449
26.900000	84.682	19.5944
27.200001	84.682	19.1193
27.600000	84.684	18.4901
28.000000	84.688	17.8440
28.500000	84.691	16.9966
29.000000	84.683	16.1364
29.500000	84.663	15.3253
30.000000	84.640	14.6066
30.400000	84.626	14.0898
30.700001	84.620	13.7180
31.100000	84.617	13.2115
31.500000	84.618	12.6685
32.000000	84.615	11.9336
32.500000	84.600	11.1873
33.000000	84.575	10.5051
33.500000	84.552	9.9065
34.000000	84.538	9.3316
34.500000	84.526	8.7153
35.000000	84.505	8.0749
35.500000	84.474	7.4929
36.000000	84.446	7.0043
36.500000	84.429	6.5406
37.000000	84.416	6.0090
37.500000	84.389	5.4224
38.200001	84.325	4.7415
38.700001	84.283	4.4490
39.500000	84.269	3.9965
40.000000	84.271	3.5054
40.599998	84.242	2.7722
41.200001	84.180	2.1768
41.799999	84.125	1.8195
42.500000	84.105	1.3984
43.099998	84.091	0.8080
43.700001	84.045	0.1798
44.400002	83.980	-0.3071
45.000000	83.952	-0.6044
45.500000	83.946	-0.9553
46.200001	83.922	-1.6101
46.799999	83.875	-2.1140
47.500000	83.819	-2.4904
48.200001	83.785	-2.7545
48.700001	83.774	-2.9642
49.400002	83.766	-3.3729
50.000000	83.748	-3.8544
50.799999	83.679	-4.5326
51.500000	83.584	-4.8909
52.200001	83.499	-4.9102
53.000000	83.470	-4.8331
53.799999	83.479	-5.2051
54.500000	83.440	-5.8128
55.200001	83.362	-6.2075
56.000000	83.307	-6.4082
57.000000	83.266	-7.0096
58.000000	83.155	-7.5251
59.000000	83.084	-7.4833
60.000000	83.081	-7.7479
60.799999	83.036	-8.1296
61.500000	82.994	-8.2394
62.200001	82.983	-8.4697
63.000000	82.917	-9.0510
64.000000	82.772	-8.9402
65.000000	82.798	-8.8796
66.000000	82.723	-9.6165
67.000000	82.657	-9.4374
68.000000	82.670	-10.0035
69.000000	82.576	-10.2753
70.000000	82.595	-10.4102
71.000000	82.531	-11.1711
72.000000	82.432	-11.1906
73.000000	82.396	-11.2708
74.000000	82.350	-11.4618
75.000000	82.293	-11.7889
76.199997	82.184	-11.8446
77.500000	82.151	-11.8619
78.800003	82.080	-12.0876
80.000000	82.023	-12.1557
81.199997	81.977	-12.1828
82.500000	81.927	-12.6611
83.800003	81.793	-12.5934
85.000000	81.795	-12.5518
86.199997	81.733	-12.8665
87.500000	81.695	-12.8944
88.500000	81.651	-13.0358
90.000000	81.602	-12.9728
91.199997	81.560	-13.1417
92.500000	81.485	-13.2194
93.800003	81.425	-13.2136
95.000000	81.376	-13.2754
96.199997	81.328	-13.3102
97.500000	81.283	-13.3452
98.800003	81.236	-13.3484
100.000000	81.199	-13.3362
101.500000	81.148	-13.5276
103.000000	81.055	-13.5126
104.400002	81.022	-13.5259
106.000000	80.949	-13.4872
107.500000	80.927	-13.4960
109.000000	80.863	-13.3788
110.599998	80.818	-13.4552
112.000000	80.763	-13.4005
113.800003	80.666	-13.5018
115.000000	80.644	-13.3501
117.199997	80.576	-13.3242
118.000000	80.596	-13.1732
120.599998	80.522	-13.2111
122.000000	80.472	-13.5669
124.099998	80.414	-13.1195
125.000000	80.405	-13.3038
126.500000	80.267	-13.2247
128.000000	80.252	-12.6566
131.500000	80.066	-12.4894
132.000000	80.049	-12.3920
134.000000	79.999	-12.2947
136.000000	80.066	-12.1190
138.000000	79.976	-12.2632
140.000000	79.888	-11.0033
143.000000	79.728	-9.6369
145.000000	79.727	-10.1237
147.500000	79.763	-9.0316
150.000000	79.821	-8.3262
152.500000	79.931	-8.1679
155.000000	79.938	-8.0580
157.500000	79.867	-8.8746
160.000000	79.924	-9.2066
162.500000	79.896	-8.7094
165.000000	79.827	-9.3155
167.500000	79.822	-9.0294
170.000000	79.704	-9.4180
172.500000	79.691	-9.2645
175.000000	79.674	-8.9271
177.500000	79.610	-9.0966
180.000000	79.618	-8.7188
182.500000	79.509	-8.6849
185.000000	79.588	-8.6532
187.500000	79.493	-8.5471
190.000000	79.459	-8.4533
192.500000	79.458	-8.2078
195.000000	79.397	-8.1544
197.500000	79.387	-8.1332
200.000000	79.345	-7.7847
203.000000	79.339	-7.7820
206.000000	79.269	-7.4513
209.000000	79.208	-7.5350
212.000000	79.178	-7.1685
214.000000	79.172	-7.0181
218.000000	79.133	-6.7390
220.000000	79.095	-6.6370
224.000000	79.072	-6.4219
227.000000	79.036	-6.1545
230.000000	79.010	-5.9645
233.000000	78.981	-5.8846
236.000000	78.974	-5.6227
240.000000	78.959	-4.5878
243.000000	78.924	-4.9783
247.000000	78.868	-4.8445
250.000000	78.852	-4.5428
254.000000	78.836	-4.3004
258.000000	78.797	-4.0690
262.000000	78.793	-3.9567
265.000000	78.757	-3.6312
269.000000	78.717	-3.3312
272.000000	78.703	-3.0540
276.000000	78.678	-2.6807
280.000000	78.665	-2.5198
285.000000	78.639	-2.1600
290.000000	78.615	-1.8063
295.000000	78.601	-1.5052
300.000000	78.573	-1.1772
304.000000	78.558	-0.8226
307.000000	78.542	-0.6366
311.000000	78.514	-0.4047
315.000000	78.504	-0.2227
320.000000	78.498	0.1339
325.000000	78.480	0.5139
330.000000	78.453	0.8038
335.000000	78.446	1.1210
340.000000	78.431	1.4961
345.000000	78.415	1.7903
350.000000	78.403	2.1460
355.000000	78.390	2.4229
360.000000	78.377	2.7883
365.000000	78.363	3.0325
370.000000	78.357	3.3530
375.000000	78.349	3.6825
382.000000	78.336	4.1356
387.000000	78.319	4.3790
395.000000	78.312	4.8257
400.000000	78.305	5.2555
406.000000	78.296	5.6177
412.000000	78.290	5.9484
418.000000	78.280	6.3201
425.000000	78.276	6.7563
431.000000	78.275	7.1842
437.000000	78.270	7.4197
444.000000	78.270	7.9006
450.000000	78.266	8.2753
455.000000	78.261	8.5635
462.000000	78.270	8.9232
468.000000	78.263	9.3285
475.000000	78.260	9.7138
482.000000	78.257	10.0847
487.000000	78.249	10.3916
494.000000	78.257	10.8137
500.000000	78.262	11.1718
508.000000	78.255	11.6145
515.000000	78.266	12.0551
522.000000	78.271	12.4051
530.000000	78.285	12.8151
538.000000	78.274	13.3632
545.000000	78.289	13.7004
552.000000	78.297	14.1212
560.000000	78.309	14.6168
570.000000	78.315	15.1939
580.000000	78.332	15.7528
590.000000	78.341	16.3735
600.000000	78.356	16.9174
608.000000	78.370	17.2659
615.000000	78.387	17.7242
622.000000	78.395	18.1040
630.000000	78.405	18.5715
640.000000	78.432	19.1720
650.000000	78.449	19.6698
660.000000	78.479	20.2645
670.000000	78.504	20.8860
680.000000	78.530	21.4170
690.000000	78.562	21.9501
700.000000	78.585	22.5591
710.000000	78.621	23.1110
720.000000	78.651	23.6624
730.000000	78.680	24.2365
740.000000	78.726	24.7655
750.000000	78.755	25.3832
762.000000	78.803	26.0449
775.000000	78.870	26.7015
788.000000	78.929	27.4670
800.000000	78.979	28.1641
812.000000	79.033	28.7903
825.000000	79.103	29.4966
838.000000	79.176	30.1588
850.000000	79.245	30.8523
862.000000	79.324	31.4084
875.000000	79.404	32.0922
885.000000	79.465	32.5562
900.000000	79.561	33.3119
912.000000	79.662	33.8268
925.000000	79.740	34.4236
938.000000	79.843	34.9637
950.000000	79.930	35.4627
962.000000	80.026	35.9560
975.000000	80.129	36.4145
988.000000	80.228	36.8757
1000.000000	80.326	37.2936
1015.000000	80.450	37.7648
1030.000000	80.576	38.1730
1044.000000	80.687	38.5105
1060.000000	80.816	38.9432
1075.000000	80.935	39.2729
1090.000000	81.057	39.6254
1106.000000	81.192	39.9187
1120.000000	81.306	40.1288
1138.000000	81.441	40.4662
1150.000000	81.529	40.5900
1172.000000	81.696	40.8622
1180.000000	81.753	40.9608
1206.000000	81.938	41.3081
1220.000000	82.052	41.4228
1241.000000	82.199	41.6115
1250.000000	82.260	41.7202
1265.000000	82.366	41.8079
1280.000000	82.465	41.9408
1315.000000	82.697	42.1973
1320.000000	82.729	42.2654
1340.000000	82.869	42.4023
1360.000000	83.001	42.5419
1380.000000	83.132	42.6232
1400.000000	83.263	42.7497
