* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), L, volume: 1.000. Timing signal peak level -30.0 dBFS, measurement signal peak level -29.8 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Aug 24, 2023 8:21:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0498 ms (-17 mm, -0.67 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -27.1 ppm
* Measurement: MP145 L (Red)
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.192	45.9601
20.299999	82.208	45.3660
20.600000	82.247	44.8523
20.900000	82.308	44.3129
21.200001	82.379	43.6689
21.400000	82.421	43.1794
21.799999	82.488	42.1174
22.000000	82.512	41.5826
22.400000	82.546	40.5810
22.700001	82.567	39.9053
23.000000	82.590	39.2715
23.299999	82.616	38.6442
23.600000	82.640	38.0081
24.000000	82.669	37.1528
24.299999	82.688	36.5298
24.700001	82.709	35.7439
25.000000	82.726	35.1781
25.400000	82.751	34.4247
25.799999	82.774	33.6560
26.200001	82.794	32.8937
26.500000	82.810	32.3378
26.900000	82.837	31.5941
27.200001	82.858	30.9918
27.600000	82.882	30.0858
28.000000	82.882	29.1060
28.500000	82.841	28.0252
29.000000	82.793	27.3766
29.500000	82.803	27.0490
30.000000	82.886	26.5468
30.400000	82.966	25.7970
30.700001	83.008	25.0721
31.100000	83.026	24.0817
31.500000	83.013	23.2441
32.000000	82.992	22.4919
32.500000	82.997	21.8822
33.000000	83.013	21.2101
33.500000	83.022	20.4984
34.000000	83.022	19.8693
34.500000	83.024	19.3371
35.000000	83.038	18.8246
35.500000	83.060	18.2769
36.000000	83.090	17.6617
36.500000	83.120	16.9117
37.000000	83.129	16.0090
37.500000	83.095	15.1172
38.200001	83.007	14.3782
38.700001	82.985	14.2405
39.500000	83.062	13.7961
40.000000	83.113	13.1155
40.599998	83.125	12.2001
41.200001	83.115	11.5150
41.799999	83.123	10.9342
42.500000	83.135	10.0676
43.099998	83.102	9.2976
43.700001	83.047	8.8015
44.400002	83.015	8.5166
45.000000	83.026	8.1892
45.500000	83.036	7.7454
46.200001	83.023	7.0261
46.799999	82.997	6.4835
47.500000	82.975	5.8936
48.200001	82.952	5.2578
48.700001	82.929	4.8357
49.400002	82.905	4.3743
50.000000	82.907	3.9814
50.799999	82.913	3.2550
51.500000	82.888	2.6426
52.200001	82.869	2.2564
53.000000	82.886	1.6838
53.799999	82.851	0.8282
54.500000	82.771	0.4420
55.200001	82.741	0.3860
56.000000	82.760	-0.0638
57.000000	82.703	-0.9762
58.000000	82.629	-1.4730
59.000000	82.597	-1.9453
60.000000	82.594	-2.5889
60.799999	82.576	-3.3429
61.500000	82.532	-3.8730
62.200001	82.501	-4.2310
63.000000	82.479	-4.7081
64.000000	82.432	-5.2235
65.000000	82.405	-5.6433
66.000000	82.372	-6.1371
67.000000	82.347	-6.6667
68.000000	82.287	-7.3256
69.000000	82.224	-7.6371
70.000000	82.210	-8.0516
71.000000	82.177	-8.5750
72.000000	82.152	-9.0787
73.000000	82.104	-9.6169
74.000000	82.055	-9.9228
75.000000	82.026	-10.2668
76.199997	81.984	-10.7176
77.500000	81.930	-11.2635
