* Measurement data measured by REW V5.20 Beta 60
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 0.100
* Format: 2M Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Sep 7, 2020 3:20:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ZAX R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.8	-87.5849
20.299999	94.9	-88.4270
20.600000	95.0	-89.2580
20.900000	95.0	-90.0868
21.200001	95.1	-90.9163
21.400000	95.1	-91.4686
21.799999	95.2	-92.5673
22.000000	95.2	-93.1128
22.400000	95.2	-94.1987
22.700001	95.2	-95.0150
23.000000	95.2	-95.8394
23.299999	95.2	-96.6758
23.600000	95.2	-97.5238
24.000000	95.2	-98.6630
24.299999	95.2	-99.5129
24.700001	95.2	-100.6255
25.000000	95.2	-101.4401
25.400000	95.2	-102.5028
25.799999	95.2	-103.5508
26.200001	95.2	-104.5957
26.500000	95.2	-105.3789
26.900000	95.2	-106.4155
27.200001	95.2	-107.1804
27.600000	95.2	-108.1753
28.000000	95.2	-109.1413
28.500000	95.2	-110.3213
29.000000	95.2	-111.4918
29.500000	95.2	-112.6607
30.000000	95.2	-113.8171
30.400000	95.2	-114.7235
30.700001	95.1	-115.3897
31.100000	95.1	-116.2608
31.500000	95.1	-117.1152
32.000000	95.1	-118.1627
32.500000	95.1	-119.1867
33.000000	95.1	-120.1851
33.500000	95.1	-121.1597
34.000000	95.1	-122.1168
34.500000	95.1	-123.0609
35.000000	95.0	-123.9895
35.500000	95.0	-124.8959
36.000000	95.0	-125.7765
36.500000	95.0	-126.6364
37.000000	95.0	-127.4838
37.500000	95.0	-128.3210
38.200001	95.0	-129.4642
38.700001	95.0	-130.2551
39.500000	95.0	-131.4918
40.000000	95.0	-132.2502
40.599998	94.9	-133.1316
41.200001	94.9	-133.9784
