* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), R, volume: 1.000. Timing signal peak level -32.9 dBFS, measurement signal peak level -32.8 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jul 23, 2023 5:11:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0598 ms (-21 mm, -0.81 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -30.3 ppm
* Measurement: Chu 2 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.685	-175.0050
20.299999	81.731	-175.5639
20.600000	81.761	-176.1022
20.900000	81.768	-176.7724
21.200001	81.740	-177.2922
21.400000	81.713	-177.5271
21.799999	81.661	-177.7996
22.000000	81.647	-177.8549
22.400000	81.649	-177.8501
22.700001	81.667	-178.1000
23.000000	81.691	-178.3138
23.299999	81.691	-178.7129
23.600000	81.679	-179.0797
24.000000	81.664	-179.4578
24.299999	81.652	-179.7430
24.700001	81.633	179.9023
25.000000	81.617	179.6359
25.400000	81.587	179.2725
25.799999	81.560	179.0248
26.200001	81.540	178.8224
26.500000	81.532	178.6561
26.900000	81.525	178.4043
27.200001	81.519	178.2554
27.600000	81.533	178.0588
28.000000	81.553	177.7062
28.500000	81.559	177.1768
29.000000	81.562	176.5568
29.500000	81.527	175.9724
30.000000	81.471	175.6210
30.400000	81.472	175.4671
30.700001	81.463	175.2807
31.100000	81.468	175.0199
31.500000	81.455	174.6565
32.000000	81.433	174.3082
32.500000	81.410	173.9442
33.000000	81.389	173.7762
33.500000	81.391	173.3011
34.000000	81.370	172.7812
34.500000	81.316	172.3875
35.000000	81.267	172.2215
35.500000	81.245	172.1424
36.000000	81.289	172.0698
36.500000	81.343	171.4379
37.000000	81.328	170.5869
37.500000	81.260	169.9582
38.200001	81.139	169.8328
38.700001	81.148	170.3680
39.500000	81.333	170.0341
40.000000	81.371	169.0972
40.599998	81.305	168.1968
41.200001	81.203	167.9068
41.799999	81.166	167.9639
42.500000	81.143	167.5462
43.099998	81.045	167.2751
43.700001	80.970	167.5052
44.400002	80.964	167.7590
45.000000	81.014	167.5088
45.500000	81.022	166.8927
46.200001	80.945	165.9370
46.799999	80.824	165.6900
47.500000	80.774	165.9902
48.200001	80.840	165.8697
48.700001	80.874	165.2903
49.400002	80.783	164.4976
50.000000	80.690	164.7430
50.799999	80.785	165.1528
51.500000	80.856	164.0716
52.200001	80.694	163.1124
53.000000	80.542	163.8052
53.799999	80.612	163.8953
54.500000	80.552	163.1459
55.200001	80.449	163.4621
56.000000	80.555	163.6746
57.000000	80.602	162.2565
58.000000	80.548	161.7448
59.000000	80.547	160.4488
60.000000	80.285	159.9687
60.799999	80.254	160.7946
61.500000	80.276	160.5402
62.200001	80.197	160.3808
63.000000	80.168	160.5098
64.000000	80.115	160.1245
65.000000	80.045	159.9597
