* Measurement data measured by REW V5.20
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -35.8 dBFS, measurement signal peak level -23.4 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Sep 11, 2021 9:46:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.3676 ms (-126 mm, -4.96 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Quarks L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.0	-81.5208
20.299999	87.1	-82.5789
20.600000	87.3	-83.8273
20.900000	87.4	-85.2592
21.200001	87.6	-86.7804
21.400000	87.6	-87.7601
21.799999	87.7	-89.5095
22.000000	87.7	-90.2387
22.400000	87.6	-91.4204
22.700001	87.7	-92.1858
23.000000	87.7	-92.9916
23.299999	87.8	-93.9073
23.600000	87.8	-94.9183
24.000000	87.9	-96.3059
24.299999	87.9	-97.2673
24.700001	88.0	-98.3767
25.000000	88.0	-99.1239
25.400000	88.1	-100.1397
25.799999	88.2	-101.2934
26.200001	88.2	-102.5495
26.500000	88.2	-103.4607
26.900000	88.2	-104.5177
27.200001	88.2	-105.1710
27.600000	88.3	-105.9303
28.000000	88.3	-106.7192
28.500000	88.4	-107.8976
29.000000	88.5	-109.2122
29.500000	88.5	-110.4611
30.000000	88.5	-111.5374
30.400000	88.5	-112.3071
30.700001	88.5	-112.8635
31.100000	88.5	-113.6099
31.500000	88.6	-114.3820
32.000000	88.7	-115.4061
32.500000	88.7	-116.4860
33.000000	88.7	-117.5426
33.500000	88.7	-118.4899
34.000000	88.7	-119.3412
34.500000	88.8	-120.2094
35.000000	88.8	-121.1476
35.500000	88.8	-122.0618
36.000000	88.8	-122.8325
36.500000	88.9	-123.4918
37.000000	88.9	-124.2083
37.500000	89.0	-125.0713
38.200001	89.0	-126.3139
38.700001	89.0	-127.0195
39.500000	89.0	-127.9003
40.000000	89.0	-128.5162
40.599998	89.1	-129.4042
41.200001	89.1	-130.3093
41.799999	89.1	-131.0772
42.500000	89.1	-131.8404
43.099998	89.1	-132.5609
43.700001	89.1	-133.3439
44.400002	89.1	-134.0953
45.000000	89.1	-134.5517
45.500000	89.1	-134.9781
46.200001	89.1	-135.8168
46.799999	89.1	-136.6065
47.500000	89.1	-137.3561
48.200001	89.1	-138.0331
48.700001	89.2	-138.5769
49.400002	89.2	-139.3503
50.000000	89.1	-139.8956
50.799999	89.1	-140.4743
51.500000	89.2	-140.9759
52.200001	89.2	-141.5466
53.000000	89.2	-142.3532
53.799999	89.2	-143.2247
54.500000	89.1	-143.7585
55.200001	89.1	-144.1095
56.000000	89.1	-144.7462
57.000000	89.1	-145.7311
58.000000	89.1	-146.2718
59.000000	89.1	-147.1104
60.000000	89.1	-147.9280
60.799999	89.1	-148.3047
61.500000	89.1	-148.7928
62.200001	89.1	-149.3394
63.000000	89.1	-149.7617
64.000000	89.1	-150.3399
65.000000	89.1	-150.9541
66.000000	89.1	-151.2971
67.000000	89.1	-151.8698
68.000000	89.1	-152.5804
69.000000	89.0	-153.1859
70.000000	89.0	-153.5637
71.000000	89.0	-154.0446
72.000000	89.0	-154.6602
73.000000	89.0	-155.1133
74.000000	89.0	-155.5673
75.000000	89.0	-155.9814
76.199997	89.0	-156.5377
77.500000	89.0	-157.1591
78.800003	88.9	-157.6938
80.000000	88.9	-158.1937
81.199997	88.9	-158.6662
82.500000	88.9	-159.1964
83.800003	88.9	-159.5545
85.000000	88.9	-160.1134
86.199997	88.9	-160.6930
87.500000	88.8	-161.0253
