* Measurement data measured by REW V5.20 Beta 59
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.588. Timing signal peak level -19.2 dBFS, measurement signal peak level -7.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Aug 8, 2020 11:56:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.1426 ms (-49 mm, -1.93 in) using estimated IR delay relative to Acoustic reference on HEADPHONE L with no timing offset
* Measurement: E1DA 9038S Gen 3 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.235970	96.1338
20.299999	75.332718	94.6739
20.600000	75.425049	93.2487
20.900000	75.512154	91.8607
21.200001	75.592125	90.5113
21.400000	75.639969	89.6326
21.799999	75.717316	87.9205
22.000000	75.745621	87.0844
22.400000	75.786163	85.4455
22.700001	75.812309	84.2403
23.000000	75.841225	83.0531
23.299999	75.872910	81.8838
23.600000	75.904007	80.7340
24.000000	75.941879	79.2371
24.299999	75.968773	78.1451
24.700001	76.003517	76.7312
25.000000	76.028641	75.6989
25.400000	76.061569	74.3511
25.799999	76.093651	73.0258
26.200001	76.121826	71.7190
26.500000	76.139046	70.7541
26.900000	76.158920	69.4944
27.200001	76.174232	68.5734
27.600000	76.198502	67.3762
28.000000	76.228310	66.2084
28.500000	76.269257	64.7786
29.000000	76.298470	63.3776
29.500000	76.305847	62.0121
30.000000	76.302536	60.6884
30.400000	76.300728	59.6578
30.700001	76.301743	58.8989
31.100000	76.307777	57.9041
31.500000	76.319656	56.9301
32.000000	76.338005	55.7459
32.500000	76.353485	54.5972
33.000000	76.364754	53.4699
33.500000	76.374069	52.3497
34.000000	76.380882	51.2390
34.500000	76.383034	50.1569
35.000000	76.382286	49.1201
35.500000	76.383301	48.1238
36.000000	76.388168	47.1461
36.500000	76.394089	46.1703
37.000000	76.396904	45.2003
37.500000	76.395348	44.2517
38.200001	76.388931	42.9730
38.700001	76.383339	42.0866
39.500000	76.371353	40.6932
40.000000	76.360619	39.8369
40.599998	76.345390	38.8333
41.200001	76.328888	37.8663
41.799999	76.312088	36.9374
42.500000	76.294327	35.8806
43.099998	76.280182	34.9820
43.700001	76.262688	34.1029
44.400002	76.237602	33.1317
45.000000	76.216476	32.3394
45.500000	76.200226	31.6866
46.200001	76.177582	30.7721
46.799999	76.156609	29.9995
47.500000	76.129379	29.1206
48.200001	76.098648	28.2523
48.700001	76.074913	27.6346
49.400002	76.039902	26.7871
50.000000	76.009674	26.0847
50.799999	75.971336	25.1710
51.500000	75.937820	24.3831
52.200001	75.899826	23.6188
53.000000	75.848953	22.7879
53.799999	75.796310	21.9822
54.500000	75.756744	21.2803
55.200001	75.722023	20.5854
56.000000	75.681435	19.8170
57.000000	75.628067	18.9044
58.000000	75.570724	18.0199
59.000000	75.511330	17.1521
60.000000	75.454079	16.3094
60.799999	75.409454	15.6541
61.500000	75.370926	15.1019
62.200001	75.333244	14.5697
63.000000	75.291061	13.9774
64.000000	75.238602	13.2565
65.000000	75.184166	12.5568
66.000000	75.124557	11.8838
67.000000	75.063644	11.2296
68.000000	75.004128	10.5742
69.000000	74.945175	9.9324
70.000000	74.886726	9.3198
71.000000	74.829445	8.7363
72.000000	74.773872	8.1755
73.000000	74.718018	7.6388
74.000000	74.660454	7.1239
75.000000	74.600700	6.6210
76.199997	74.525833	6.0358
77.500000	74.444588	5.4181
78.800003	74.369698	4.8195
80.000000	74.307121	4.2911
81.199997	74.243927	3.7997
82.500000	74.173973	3.2992
83.800003	74.101860	2.8003
85.000000	74.034592	2.3700
86.199997	73.968338	1.9659
87.500000	73.891586	1.5229
88.500000	73.827415	1.1835
90.000000	73.732712	0.7058
91.199997	73.663460	0.3436
92.500000	73.593964	-0.0291
93.800003	73.526779	-0.3784
95.000000	73.465340	-0.6833
96.199997	73.405083	-0.9727
97.500000	73.341042	-1.2743
98.800003	73.275681	-1.5667
100.000000	73.214188	-1.8258
101.500000	73.137955	-2.1334
103.000000	73.063133	-2.4211
104.400002	72.992798	-2.6710
106.000000	72.912537	-2.9362
107.500000	72.838066	-3.1757
109.000000	72.763809	-3.4043
110.599998	72.685562	-3.6307
112.000000	72.619003	-3.8124
113.800003	72.538658	-4.0303
115.000000	72.487770	-4.1671
117.199997	72.395988	-4.3934
118.000000	72.363197	-4.4694
120.599998	72.259079	-4.7098
122.000000	72.203255	-4.8302
124.099998	72.122658	-4.9833
125.000000	72.089844	-5.0403
126.500000	72.037804	-5.1226
128.000000	71.988197	-5.1904
131.500000	71.871346	-5.3099
132.000000	71.854706	-5.3287
134.000000	71.788086	-5.4095
136.000000	71.720818	-5.4746
138.000000	71.648590	-5.5212
140.000000	71.570267	-5.5493
143.000000	71.448189	-5.5605
145.000000	71.372810	-5.5616
147.500000	71.289970	-5.5792
150.000000	71.212845	-5.5536
152.500000	71.136604	-5.5199
155.000000	71.058609	-5.5356
157.500000	70.980408	-5.5223
160.000000	70.912430	-5.4137
162.500000	70.846741	-5.2850
165.000000	70.778603	-5.1691
167.500000	70.713707	-5.0703
170.000000	70.655266	-4.9592
172.500000	70.603836	-4.8400
