* Measurement data measured by REW V5.20 Beta 59
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 0.588. Timing signal peak level -18.7 dBFS, measurement signal peak level -7.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Aug 8, 2020 11:46:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0994 ms (-34 mm, -1.34 in) using estimated IR delay relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: E1DA 9038S Gen 3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.817085	98.5261
20.299999	74.919861	97.0144
20.600000	75.016602	95.5337
20.900000	75.106155	94.0929
21.200001	75.186996	92.7007
21.400000	75.235062	91.8016
21.799999	75.313744	90.0657
22.000000	75.343697	89.2222
22.400000	75.389771	87.5676
22.700001	75.421295	86.3410
23.000000	75.455574	85.1216
23.299999	75.491760	83.9111
23.600000	75.526054	82.7155
24.000000	75.566353	81.1568
24.299999	75.594017	80.0204
24.700001	75.628738	78.5508
25.000000	75.653130	77.4807
25.400000	75.684334	76.0910
25.799999	75.714851	74.7376
26.200001	75.743172	73.4140
26.500000	75.762207	72.4374
26.900000	75.786308	71.1529
27.200001	75.805168	70.2018
27.600000	75.832748	68.9521
28.000000	75.863152	67.7281
28.500000	75.901657	66.2444
29.000000	75.928337	64.8170
29.500000	75.935913	63.4408
30.000000	75.935562	62.1017
30.400000	75.936920	61.0486
30.700001	75.940102	60.2669
31.100000	75.948349	59.2364
31.500000	75.961548	58.2224
32.000000	75.979996	56.9845
32.500000	75.993301	55.7833
33.000000	76.000443	54.6170
33.500000	76.005875	53.4809
34.000000	76.012276	52.3690
34.500000	76.018463	51.2760
35.000000	76.023193	50.1984
35.500000	76.026817	49.1373
36.000000	76.029976	48.0981
36.500000	76.032440	47.0853
37.000000	76.033524	46.0981
37.500000	76.032814	45.1324
38.200001	76.028000	43.8124
38.700001	76.021576	42.8936
39.500000	76.006119	41.4684
40.000000	75.993835	40.6039
40.599998	75.978416	39.5893
41.200001	75.962318	38.5967
41.799999	75.943855	37.6284
42.500000	75.920753	36.5353
43.099998	75.903259	35.6255
43.700001	75.886475	34.7293
44.400002	75.863113	33.7034
45.000000	75.840477	32.8558
45.500000	75.822609	32.1696
46.200001	75.800949	31.2134
46.799999	75.781853	30.3875
47.500000	75.753113	29.4450
48.200001	75.719925	28.5459
48.700001	75.696922	27.9155
49.400002	75.663864	27.0322
50.000000	75.631638	26.2933
50.799999	75.586952	25.3702
51.500000	75.551712	24.6045
52.200001	75.516670	23.8442
53.000000	75.468048	22.9723
53.799999	75.411018	22.1096
54.500000	75.363770	21.3831
55.200001	75.323402	20.6957
56.000000	75.282890	19.9385
57.000000	75.232399	19.0037
58.000000	75.176949	18.1006
59.000000	75.121910	17.2042
60.000000	75.064056	16.3274
60.799999	75.018562	15.6721
61.500000	74.981438	15.1132
62.200001	74.943527	14.5555
63.000000	74.896988	13.9344
64.000000	74.837212	13.1997
65.000000	74.779457	12.4894
66.000000	74.718040	11.7421
67.000000	74.640228	11.0011
68.000000	74.563080	10.4118
69.000000	74.516197	9.8671
70.000000	74.481613	9.1858
71.000000	74.432800	8.4557
72.000000	74.374153	7.7986
73.000000	74.312805	7.2272
74.000000	74.250870	6.7140
75.000000	74.184464	6.2208
76.199997	74.098846	5.7285
77.500000	74.029442	5.2045
78.800003	73.965363	4.5305
80.000000	73.906105	3.9188
81.199997	73.844589	3.3511
82.500000	73.784035	2.7858
83.800003	73.711693	2.1637
85.000000	73.632553	1.7381
86.199997	73.563049	1.3831
87.500000	73.483131	0.9683
88.500000	73.416428	0.6371
90.000000	73.317139	0.1450
91.199997	73.245201	-0.2372
92.500000	73.174454	-0.6388
93.800003	73.106934	-1.0117
95.000000	73.046844	-1.3376
96.199997	72.986618	-1.6562
97.500000	72.920197	-1.9780
98.800003	72.852722	-2.2794
100.000000	72.789879	-2.5443
101.500000	72.712807	-2.8591
103.000000	72.637329	-3.1553
104.400002	72.567108	-3.4101
106.000000	72.489449	-3.6935
107.500000	72.416809	-3.9686
109.000000	72.343544	-4.2325
110.599998	72.265472	-4.4930
112.000000	72.198647	-4.6905
113.800003	72.119331	-4.9158
115.000000	72.069641	-5.0563
117.199997	71.979729	-5.2971
118.000000	71.947296	-5.3862
120.599998	71.839737	-5.6830
122.000000	71.783875	-5.8252
124.099998	71.707764	-6.0112
125.000000	71.677170	-6.0751
126.500000	71.628304	-6.1495
128.000000	71.581512	-6.1812
131.500000	71.482071	-6.3240
132.000000	71.464424	-6.3705
134.000000	71.386978	-6.5049
136.000000	71.316338	-6.5752
138.000000	71.248260	-6.6724
140.000000	71.178787	-6.7988
143.000000	71.064529	-6.9973
145.000000	70.981049	-6.9551
147.500000	70.896965	-6.7878
150.000000	70.817398	-6.7167
152.500000	70.727890	-6.7661
155.000000	70.634933	-6.8351
157.500000	70.571556	-6.7751
160.000000	70.527260	-6.7354
162.500000	70.473099	-6.6758
165.000000	70.412384	-6.6393
167.500000	70.351067	-6.6471
170.000000	70.284966	-6.5974
172.500000	70.226173	-6.4045
175.000000	70.180901	-6.2302
177.500000	70.136047	-6.1434
180.000000	70.088150	-6.0710
182.500000	70.039467	-5.9631
185.000000	69.991203	-5.8250
187.500000	69.940247	-5.6851
190.000000	69.886345	-5.5436
192.500000	69.831062	-5.4005
195.000000	69.773499	-5.2704
197.500000	69.711411	-5.1382
200.000000	69.650970	-4.9899
203.000000	69.587524	-4.8126
