* Measurement data measured by REW V5.20
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 0.250. Timing signal peak level -21.6 dBFS, measurement signal peak level -19.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Apr 10, 2021 8:27:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.3268 ms (-112 mm, -4.41 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Starfield R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.0	-93.4407
20.299999	97.1	-94.4905
20.600000	97.2	-95.4563
20.900000	97.3	-96.3942
21.200001	97.4	-97.3540
21.400000	97.4	-98.0208
21.799999	97.5	-99.4123
22.000000	97.6	-100.1253
22.400000	97.6	-101.5520
22.700001	97.6	-102.5954
23.000000	97.6	-103.6048
23.299999	97.7	-104.5788
23.600000	97.7	-105.5205
24.000000	97.7	-106.7324
24.299999	97.7	-107.6118
24.700001	97.8	-108.7493
25.000000	97.8	-109.5813
25.400000	97.8	-110.6712
25.799999	97.9	-111.7439
26.200001	97.9	-112.7932
26.500000	97.9	-113.5543
26.900000	97.9	-114.5201
27.200001	97.9	-115.2042
27.600000	98.0	-116.0746
28.000000	98.0	-116.9263
28.500000	98.1	-118.0174
29.000000	98.1	-119.1602
29.500000	98.1	-120.3136
30.000000	98.1	-121.4106
30.400000	98.1	-122.2336
30.700001	98.1	-122.8314
31.100000	98.1	-123.6263
31.500000	98.2	-124.4338
32.000000	98.2	-125.4455
32.500000	98.2	-126.4174
33.000000	98.2	-127.3304
33.500000	98.2	-128.2108
34.000000	98.2	-129.0850
34.500000	98.2	-129.9357
35.000000	98.2	-130.7206
35.500000	98.3	-131.4287
36.000000	98.3	-132.1033
36.500000	98.3	-132.8013
37.000000	98.3	-133.5393
37.500000	98.3	-134.2856
38.200001	98.4	-135.2739
38.700001	98.4	-135.9485
39.500000	98.4	-137.0826
40.000000	98.4	-137.8267
40.599998	98.4	-138.6613
41.200001	98.4	-139.3759
41.799999	98.4	-140.0413
42.500000	98.4	-140.8962
43.099998	98.4	-141.6760
43.700001	98.3	-142.3955
44.400002	98.3	-143.1403
45.000000	98.3	-143.7716
45.500000	98.3	-144.3089
46.200001	98.3	-145.0324
46.799999	98.3	-145.6076
47.500000	98.3	-146.2748
48.200001	98.3	-146.9948
48.700001	98.3	-147.5493
49.400002	98.3	-148.3379
50.000000	98.3	-148.9442
50.799999	98.2	-149.5808
51.500000	98.2	-150.0816
52.200001	98.2	-150.6529
53.000000	98.2	-151.3352
53.799999	98.2	-151.9328
54.500000	98.1	-152.4193
55.200001	98.1	-152.9252
56.000000	98.1	-153.5217
57.000000	98.1	-154.2689
58.000000	98.0	-155.0137
59.000000	98.0	-155.7236
60.000000	98.0	-156.4144
60.799999	98.0	-156.9944
61.500000	98.0	-157.4976
62.200001	97.9	-157.9481
63.000000	97.9	-158.3962
64.000000	97.9	-158.9569
65.000000	97.9	-159.5394
66.000000	97.8	-160.0686
67.000000	97.8	-160.5869
68.000000	97.8	-161.1124
69.000000	97.8	-161.6419
70.000000	97.7	-162.1806
71.000000	97.7	-162.6808
72.000000	97.7	-163.1451
73.000000	97.6	-163.5804
74.000000	97.6	-163.9729
75.000000	97.6	-164.3510
76.199997	97.5	-164.8046
77.500000	97.5	-165.2832
78.800003	97.4	-165.7425
80.000000	97.4	-166.1431
81.199997	97.4	-166.5591
82.500000	97.3	-167.0237
83.800003	97.3	-167.4309
85.000000	97.2	-167.7597
86.199997	97.2	-168.0506
87.500000	97.1	-168.3197
88.500000	97.1	-168.6084
90.000000	97.1	-169.1766
91.199997	97.0	-169.6225
92.500000	97.0	-169.9808
93.800003	96.9	-170.1942
95.000000	96.9	-170.3979
96.199997	96.9	-170.6582
97.500000	96.9	-170.9916
98.800003	96.8	-171.3508
100.000000	96.7	-171.6668
101.500000	96.7	-172.0474
103.000000	96.6	-172.4045
104.400002	96.6	-172.7338
106.000000	96.6	-173.0206
107.500000	96.5	-173.2159
109.000000	96.5	-173.4252
110.599998	96.4	-173.6246
112.000000	96.4	-173.7958
113.800003	96.3	-174.0377
115.000000	96.2	-174.1895
117.199997	96.2	-174.4562
118.000000	96.2	-174.5617
120.599998	96.1	-174.8698
122.000000	96.0	-174.9912
124.099998	96.0	-175.2152
125.000000	96.0	-175.3253
126.500000	95.9	-175.4830
128.000000	95.9	-175.5796
131.500000	95.8	-175.7743
132.000000	95.8	-175.8359
134.000000	95.7	-176.1393
136.000000	95.6	-176.4600
138.000000	95.6	-176.5199
140.000000	95.5	-176.3771
143.000000	95.4	-176.3189
145.000000	95.3	-176.3058
147.500000	95.2	-176.3586
150.000000	95.1	-176.4749
152.500000	95.0	-176.3485
155.000000	94.9	-176.0297
157.500000	94.8	-175.6896
160.000000	94.7	-175.2993
162.500000	94.6	-174.8140
165.000000	94.6	-173.8577
167.500000	94.7	-173.2003
170.000000	94.8	-173.1948
172.500000	94.8	-173.3471
175.000000	94.8	-173.5159
177.500000	94.8	-173.7899
180.000000	94.8	-174.0922
182.500000	94.7	-174.1615
185.000000	94.7	-173.9023
187.500000	94.6	-173.6909
190.000000	94.6	-173.5636
192.500000	94.5	-173.4466
195.000000	94.4	-173.3109
197.500000	94.4	-173.1395
200.000000	94.3	-172.9722
203.000000	94.2	-172.7609
206.000000	94.2	-172.4431
209.000000	94.1	-172.1076
212.000000	94.1	-171.8215
214.000000	94.1	-171.6378
218.000000	94.0	-171.2750
220.000000	94.0	-171.1182
224.000000	93.9	-170.8232
227.000000	93.8	-170.6107
230.000000	93.8	-170.3430
233.000000	93.8	-170.0222
236.000000	93.8	-169.7380
240.000000	93.7	-169.4244
243.000000	93.7	-169.1873
247.000000	93.6	-168.8340
250.000000	93.6	-168.5526
254.000000	93.5	-168.1498
258.000000	93.5	-167.7606
262.000000	93.4	-167.3473
265.000000	93.4	-166.9994
269.000000	93.3	-166.5201
272.000000	93.3	-166.1974
276.000000	93.2	-165.8237
280.000000	93.1	-165.4330
285.000000	93.1	-164.9236
290.000000	93.0	-164.3923
295.000000	92.9	-163.8842
300.000000	92.9	-163.3599
304.000000	92.8	-162.9269
307.000000	92.8	-162.6051
311.000000	92.8	-162.1663
315.000000	92.7	-161.7175
320.000000	92.7	-161.1385
325.000000	92.6	-160.5631
330.000000	92.5	-160.0230
335.000000	92.5	-159.4659
340.000000	92.4	-158.9163
345.000000	92.4	-158.3428
350.000000	92.4	-157.7587
355.000000	92.3	-157.1770
360.000000	92.3	-156.5927
365.000000	92.2	-155.9998
370.000000	92.2	-155.3940
375.000000	92.1	-154.8156
382.000000	92.1	-153.9963
387.000000	92.0	-153.3930
395.000000	92.0	-152.4344
400.000000	91.9	-151.8207
406.000000	91.9	-151.0895
412.000000	91.8	-150.3365
418.000000	91.8	-149.5860
425.000000	91.7	-148.7089
431.000000	91.7	-147.9599
437.000000	91.7	-147.2046
444.000000	91.6	-146.3101
450.000000	91.6	-145.5607
455.000000	91.6	-144.9229
462.000000	91.5	-144.0199
468.000000	91.5	-143.2508
475.000000	91.4	-142.3565
482.000000	91.4	-141.4649
487.000000	91.4	-140.8150
494.000000	91.3	-139.9170
500.000000	91.3	-139.1664
