* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (High Definition Audio Device), MICROPHONE (Master Volume), R, volume: 1.000. Timing signal peak level -18.0 dBFS, measurement signal peak level -18.1 dBFS
* Format: 4M Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: Oct 5, 2022 7:48:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0469 ms (-16 mm, -0.63 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset
* Measurement: Stellaris R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.085	22.9803
20.299999	92.110	22.1743
20.600000	92.126	21.3264
20.900000	92.130	20.4736
21.200001	92.120	19.6689
21.400000	92.109	19.1816
21.799999	92.085	18.3245
22.000000	92.077	17.9426
22.400000	92.072	17.2167
22.700001	92.077	16.6558
23.000000	92.083	16.0527
23.299999	92.085	15.4166
23.600000	92.081	14.7711
24.000000	92.067	13.9368
24.299999	92.053	13.3484
24.700001	92.036	12.6056
25.000000	92.027	12.0594
25.400000	92.015	11.3223
25.799999	92.002	10.5725
26.200001	91.984	9.8306
26.500000	91.968	9.2927
26.900000	91.947	8.6058
27.200001	91.932	8.1080
27.600000	91.913	7.4565
28.000000	91.894	6.8122
28.500000	91.869	6.0214
29.000000	91.842	5.2578
29.500000	91.813	4.5231
30.000000	91.783	3.8125
30.400000	91.757	3.2617
30.700001	91.737	2.8611
31.100000	91.710	2.3448
31.500000	91.684	1.8469
32.000000	91.651	1.2425
32.500000	91.620	0.6475
33.000000	91.590	0.0500
33.500000	91.560	-0.5584
34.000000	91.527	-1.1746
34.500000	91.488	-1.7745
35.000000	91.446	-2.3305
35.500000	91.407	-2.8372
36.000000	91.375	-3.3253
36.500000	91.346	-3.8331
37.000000	91.315	-4.3690
37.500000	91.277	-4.9020
38.200001	91.215	-5.5710
38.700001	91.170	-5.9827
39.500000	91.107	-6.5911
40.000000	91.070	-6.9718
40.599998	91.026	-7.4318
41.200001	90.979	-7.8817
41.799999	90.933	-8.3185
42.500000	90.881	-8.8281
43.099998	90.836	-9.2736
43.700001	90.788	-9.7113
44.400002	90.730	-10.1882
45.000000	90.683	-10.5703
45.500000	90.644	-10.8811
46.200001	90.591	-11.3090
46.799999	90.546	-11.6652
47.500000	90.492	-12.0687
48.200001	90.437	-12.4671
48.700001	90.397	-12.7500
49.400002	90.337	-13.1360
50.000000	90.284	-13.4444
50.799999	90.216	-13.8217
51.500000	90.162	-14.1450
52.200001	90.109	-14.4761
53.000000	90.052	-14.8565
53.799999	89.995	-15.2432
54.500000	89.943	-15.5745
55.200001	89.889	-15.8645
56.000000	89.830	-16.1470
57.000000	89.763	-16.4958
58.000000	89.694	-16.8588
59.000000	89.620	-17.2112
60.000000	89.546	-17.5449
60.799999	89.488	-17.8210
61.500000	89.435	-18.0599
62.200001	89.384	-18.2770
63.000000	89.328	-18.5273
64.000000	89.252	-18.8469
65.000000	89.169	-19.0088
66.000000	89.111	-19.0757
67.000000	89.065	-19.2533
68.000000	89.012	-19.4974
69.000000	88.950	-19.8062
70.000000	88.868	-20.1069
71.000000	88.782	-20.2648
72.000000	88.712	-20.3846
73.000000	88.652	-20.5383
74.000000	88.596	-20.7355
75.000000	88.535	-20.9630
76.199997	88.455	-21.1768
77.500000	88.372	-21.3695
78.800003	88.293	-21.5262
80.000000	88.227	-21.6528
81.199997	88.166	-21.7500
82.500000	88.110	-21.8732
83.800003	88.039	-22.0531
85.000000	87.960	-22.1027
86.199997	87.888	-22.1237
87.500000	87.803	-22.2070
88.500000	87.734	-22.2620
90.000000	87.639	-22.3434
91.199997	87.569	-22.4196
92.500000	87.500	-22.4869
93.800003	87.435	-22.5420
95.000000	87.375	-22.5800
96.199997	87.311	-22.6210
97.500000	87.236	-22.6334
98.800003	87.167	-22.6254
100.000000	87.105	-22.6644
101.500000	87.019	-22.7114
103.000000	86.933	-22.6933
104.400002	86.860	-22.6394
106.000000	86.782	-22.5866
107.500000	86.708	-22.5291
109.000000	86.628	-22.4205
110.599998	86.534	-22.2189
112.000000	86.445	-21.9985
113.800003	86.334	-21.7391
115.000000	86.271	-21.6228
117.199997	86.179	-21.5476
118.000000	86.146	-21.4840
120.599998	86.054	-20.5463
122.000000	86.049	-19.6680
124.099998	86.097	-18.5397
125.000000	86.131	-18.2610
126.500000	86.189	-18.1686
128.000000	86.226	-18.4344
131.500000	86.229	-19.1160
132.000000	86.225	-19.1876
134.000000	86.194	-19.4782
136.000000	86.137	-19.7646
138.000000	86.075	-19.9908
140.000000	86.012	-20.1877
143.000000	85.895	-20.2794
145.000000	85.820	-20.2222
147.500000	85.742	-20.1881
150.000000	85.654	-20.1432
152.500000	85.571	-19.9834
155.000000	85.500	-19.8232
157.500000	85.436	-19.6638
160.000000	85.368	-19.4987
162.500000	85.292	-19.3147
165.000000	85.223	-19.1359
167.500000	85.160	-18.9850
170.000000	85.099	-18.8140
172.500000	85.040	-18.6437
175.000000	84.983	-18.4648
177.500000	84.929	-18.2416
180.000000	84.879	-17.9736
182.500000	84.832	-17.7207
185.000000	84.785	-17.5023
187.500000	84.735	-17.2488
190.000000	84.687	-16.9901
192.500000	84.637	-16.8185
195.000000	84.586	-16.6896
197.500000	84.541	-16.5616
200.000000	84.498	-16.4183
203.000000	84.443	-16.2077
206.000000	84.390	-15.9401
209.000000	84.341	-15.6514
212.000000	84.294	-15.3724
214.000000	84.263	-15.2071
218.000000	84.202	-14.8851
220.000000	84.172	-14.7119
224.000000	84.114	-14.3490
227.000000	84.071	-14.0966
230.000000	84.028	-13.8649
233.000000	83.984	-13.6180
236.000000	83.938	-13.3612
240.000000	83.879	-13.0251
243.000000	83.846	-12.7567
247.000000	83.803	-12.3912
250.000000	83.766	-12.1099
254.000000	83.719	-11.7504
258.000000	83.677	-11.3923
262.000000	83.631	-11.0145
265.000000	83.597	-10.7368
269.000000	83.556	-10.3788
272.000000	83.527	-10.1216
276.000000	83.488	-9.7871
280.000000	83.452	-9.4351
