* Measurement data measured by REW V5.20.3
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -37.0 dBFS, measurement signal peak level -24.1 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Oct 2, 2021 10:38:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0876 ms (-30 mm, -1.18 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Neo L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.373	72.3329
20.299999	93.453	70.8755
20.600000	93.513	69.4890
20.900000	93.560	68.2252
21.200001	93.600	67.1056
21.400000	93.627	66.4255
21.799999	93.679	65.1634
22.000000	93.705	64.5452
22.400000	93.753	63.2637
22.700001	93.790	62.2369
23.000000	93.827	61.1579
23.299999	93.860	60.0567
23.600000	93.886	58.9642
24.000000	93.910	57.5624
24.299999	93.925	56.5669
24.700001	93.945	55.3054
25.000000	93.962	54.3896
25.400000	93.986	53.1838
25.799999	94.009	51.9827
26.200001	94.026	50.7960
26.500000	94.035	49.9291
26.900000	94.045	48.8167
27.200001	94.055	48.0135
27.600000	94.079	46.9662
28.000000	94.113	45.9131
28.500000	94.159	44.5539
29.000000	94.187	43.1633
29.500000	94.183	41.8048
30.000000	94.165	40.5296
30.400000	94.154	39.5629
30.700001	94.150	38.8520
31.100000	94.153	37.9030
31.500000	94.162	36.9505
32.000000	94.172	35.7794
32.500000	94.177	34.6627
33.000000	94.181	33.5952
33.500000	94.189	32.5351
34.000000	94.200	31.4481
34.500000	94.206	30.3459
35.000000	94.204	29.2681
35.500000	94.199	28.2441
36.000000	94.198	27.2678
36.500000	94.200	26.3154
37.000000	94.203	25.3716
37.500000	94.203	24.4392
38.200001	94.200	23.1644
38.700001	94.196	22.2731
39.500000	94.183	20.8736
40.000000	94.171	20.0229
40.599998	94.155	19.0315
41.200001	94.140	18.0677
41.799999	94.124	17.1279
42.500000	94.108	16.0458
43.099998	94.096	15.1023
43.700001	94.080	14.1457
44.400002	94.050	13.0690
45.000000	94.022	12.2072
45.500000	94.002	11.5087
46.200001	93.976	10.5287
46.799999	93.954	9.7012
47.500000	93.929	8.7640
48.200001	93.905	7.8123
48.700001	93.884	7.1117
49.400002	93.848	6.1447
50.000000	93.814	5.3696
50.799999	93.771	4.4103
51.500000	93.740	3.6002
52.200001	93.709	2.7894
53.000000	93.666	1.8628
53.799999	93.617	0.9498
54.500000	93.580	0.1530
55.200001	93.547	-0.6364
56.000000	93.511	-1.5005
57.000000	93.473	-2.5857
58.000000	93.423	-3.7402
59.000000	93.358	-4.8409
60.000000	93.294	-5.8583
60.799999	93.247	-6.6200
61.500000	93.212	-7.2599
62.200001	93.182	-7.9068
63.000000	93.147	-8.6553
64.000000	93.104	-9.5803
65.000000	93.059	-10.5149
66.000000	93.004	-11.4359
67.000000	92.944	-12.3264
68.000000	92.885	-13.1879
69.000000	92.830	-14.0217
70.000000	92.779	-14.8331
71.000000	92.734	-15.6415
72.000000	92.691	-16.4984
73.000000	92.637	-17.3575
74.000000	92.575	-18.1616
75.000000	92.510	-18.9167
76.199997	92.433	-19.7561
77.500000	92.360	-20.6438
78.800003	92.294	-21.5973
80.000000	92.231	-22.4352
81.199997	92.176	-23.2222
82.500000	92.119	-24.1306
83.800003	92.049	-25.0951
85.000000	91.976	-25.9107
86.199997	91.907	-26.6509
87.500000	91.830	-27.4315
88.500000	91.769	-28.0156
90.000000	91.683	-28.8953
91.199997	91.617	-29.5966
92.500000	91.549	-30.3626
93.800003	91.478	-31.1299
95.000000	91.410	-31.7844
96.199997	91.349	-32.4113
97.500000	91.286	-33.0989
98.800003	91.218	-33.7723
100.000000	91.154	-34.3787
101.500000	91.071	-35.1292
103.000000	90.990	-35.8521
104.400002	90.919	-36.5344
106.000000	90.837	-37.3177
107.500000	90.760	-38.0148
109.000000	90.685	-38.6759
110.599998	90.604	-39.3599
112.000000	90.533	-39.9475
113.800003	90.445	-40.7069
115.000000	90.388	-41.2155
117.199997	90.282	-42.1346
118.000000	90.245	-42.4631
120.599998	90.125	-43.5601
122.000000	90.061	-44.1228
124.099998	89.973	-44.9126
125.000000	89.937	-45.2335
126.500000	89.876	-45.7658
128.000000	89.814	-46.3174
131.500000	89.672	-47.5728
132.000000	89.657	-47.7394
134.000000	89.608	-48.4045
136.000000	89.547	-49.1226
138.000000	89.437	-49.7587
140.000000	89.323	-50.2856
143.000000	89.178	-51.3094
145.000000	89.082	-52.0129
147.500000	88.974	-52.7401
150.000000	88.889	-53.3986
152.500000	88.797	-54.1232
155.000000	88.677	-54.7754
157.500000	88.561	-55.4072
160.000000	88.461	-56.1202
162.500000	88.375	-56.8441
165.000000	88.292	-57.4946
167.500000	88.199	-57.9951
170.000000	88.104	-58.4651
172.500000	88.019	-59.0624
175.000000	87.953	-59.6890
177.500000	87.884	-60.1732
180.000000	87.782	-60.4535
182.500000	87.680	-60.8724
185.000000	87.592	-61.5474
187.500000	87.518	-62.1725
190.000000	87.429	-62.6519
192.500000	87.316	-63.0765
195.000000	87.213	-63.4847
197.500000	87.123	-63.9091
200.000000	87.009	-64.4428
203.000000	86.843	-65.0212
206.000000	86.746	-65.3226
209.000000	86.714	-65.6719
212.000000	86.689	-66.1564
214.000000	86.670	-66.2650
218.000000	86.577	-65.9796
220.000000	86.516	-66.0051
224.000000	86.697	-67.2101
227.000000	86.925	-68.8390
230.000000	86.868	-69.4199
233.000000	86.583	-69.1321
236.000000	86.323	-68.9385
240.000000	86.223	-69.3942
243.000000	86.234	-70.0118
247.000000	86.167	-70.8961
250.000000	86.053	-71.5339
254.000000	85.943	-72.4312
258.000000	86.077	-73.4668
262.000000	86.063	-74.0539
265.000000	85.923	-74.0471
269.000000	85.820	-74.8132
272.000000	85.787	-75.3648
276.000000	85.719	-75.4598
280.000000	85.566	-75.6792
285.000000	85.395	-75.9839
290.000000	85.374	-75.7741
295.000000	85.270	-76.9011
300.000000	85.176	-77.8537
304.000000	85.125	-78.1830
307.000000	85.088	-78.4283
311.000000	85.003	-78.8823
315.000000	84.929	-79.6210
320.000000	84.867	-80.3815
325.000000	84.722	-80.4237
330.000000	84.546	-80.6437
335.000000	84.429	-80.8920
340.000000	84.458	-81.1187
345.000000	84.479	-81.3054
350.000000	84.501	-81.3360
355.000000	84.488	-81.5579
360.000000	84.401	-82.4036
365.000000	84.358	-83.7039
370.000000	84.358	-84.2131
375.000000	84.340	-83.7942
382.000000	84.299	-83.8788
387.000000	84.231	-84.5837
395.000000	84.069	-85.2445
400.000000	84.038	-85.5681
406.000000	84.045	-85.8539
412.000000	84.020	-86.4056
418.000000	83.966	-86.9897
425.000000	83.915	-87.4460
431.000000	83.878	-87.7723
437.000000	83.832	-88.1370
444.000000	83.792	-88.5706
450.000000	83.774	-89.0175
455.000000	83.752	-89.3448
462.000000	83.722	-89.5780
468.000000	83.706	-89.7263
475.000000	83.684	-90.0477
482.000000	83.652	-90.5208
487.000000	83.629	-90.8516
494.000000	83.605	-91.2360
500.000000	83.596	-91.5303
508.000000	83.579	-91.9099
515.000000	83.562	-92.2336
522.000000	83.549	-92.5666
530.000000	83.533	-92.9225
538.000000	83.520	-93.2888
545.000000	83.508	-93.6396
552.000000	83.497	-93.9889
560.000000	83.486	-94.3713
570.000000	83.470	-94.8491
580.000000	83.458	-95.3002
590.000000	83.448	-95.7369
600.000000	83.437	-96.1575
608.000000	83.426	-96.4783
615.000000	83.413	-96.7498
622.000000	83.399	-97.0118
630.000000	83.381	-97.2850
640.000000	83.365	-97.5674
650.000000	83.354	-97.8271
660.000000	83.346	-98.0487
670.000000	83.343	-98.2114
680.000000	83.346	-98.3168
690.000000	83.357	-98.3983
700.000000	83.376	-98.4866
710.000000	83.399	-98.5785
720.000000	83.426	-98.6620
730.000000	83.456	-98.7482
740.000000	83.489	-98.8426
750.000000	83.528	-98.9529
762.000000	83.582	-99.1058
775.000000	83.646	-99.2979
788.000000	83.713	-99.5096
800.000000	83.781	-99.7161
812.000000	83.854	-99.9304
825.000000	83.936	-100.1760
838.000000	84.020	-100.4272
850.000000	84.098	-100.6602
862.000000	84.178	-100.8981
875.000000	84.265	-101.1519
885.000000	84.333	-101.3522
900.000000	84.438	-101.6535
912.000000	84.525	-101.8896
925.000000	84.624	-102.1451
938.000000	84.728	-102.3963
950.000000	84.830	-102.6260
962.000000	84.937	-102.8733
975.000000	85.053	-103.1940
988.000000	85.172	-103.5771
1000.000000	85.285	-103.9584
1015.000000	85.431	-104.4378
1030.000000	85.587	-104.9097
1044.000000	85.740	-105.3481
1060.000000	85.922	-105.8462
1075.000000	86.098	-106.3007
1090.000000	86.277	-106.7416
1106.000000	86.466	-107.2030
1120.000000	86.632	-107.5995
1138.000000	86.847	-108.0944
1150.000000	86.990	-108.4191
1172.000000	87.255	-109.0159
1180.000000	87.351	-109.2288
1206.000000	87.660	-109.9087
1220.000000	87.821	-110.2764
1241.000000	88.057	-110.8242
1250.000000	88.154	-111.0573
1265.000000	88.309	-111.4449
1280.000000	88.457	-111.8333
1315.000000	88.780	-112.7065
1320.000000	88.823	-112.8248
1340.000000	88.991	-113.2893
1360.000000	89.147	-113.7474
1380.000000	89.296	-114.2032
1400.000000	89.436	-114.6536
1430.000000	89.636	-115.3198
1450.000000	89.763	-115.7600
1475.000000	89.915	-116.3124
1500.000000	90.059	-116.8695
1525.000000	90.196	-117.4428
1550.000000	90.327	-118.0184
1575.000000	90.455	-118.5892
1600.000000	90.584	-119.1744
1625.000000	90.714	-119.7941
1650.000000	90.847	-120.4615
1675.000000	90.983	-121.1666
1700.000000	91.120	-121.9075
1725.000000	91.257	-122.6783
1750.000000	91.394	-123.4937
1775.000000	91.530	-124.3702
1800.000000	91.668	-125.2962
1825.000000	91.807	-126.2618
1850.000000	91.947	-127.2810
1875.000000	92.085	-128.3613
1900.000000	92.220	-129.4873
1925.000000	92.354	-130.6432
1950.000000	92.485	-131.8311
1975.000000	92.612	-133.0616
2000.000000	92.734	-134.3299
2030.000000	92.871	-135.8858
2060.000000	92.995	-137.4864
2090.000000	93.104	-139.1324
2120.000000	93.198	-140.7938
2140.000000	93.253	-141.8949
2180.000000	93.340	-144.0671
2200.000000	93.373	-145.1414
2240.000000	93.419	-147.2603
2270.000000	93.439	-148.8152
2300.000000	93.444	-150.3245
2330.000000	93.435	-151.7668
2360.000000	93.413	-153.1300
2400.000000	93.365	-154.8278
2430.000000	93.318	-156.0166
2470.000000	93.250	-157.4620
2500.000000	93.199	-158.4360
2540.000000	93.136	-159.6421
2580.000000	93.075	-160.8054
2620.000000	93.011	-161.9604
2650.000000	92.959	-162.8127
2690.000000	92.885	-163.9167
2720.000000	92.825	-164.7269
2760.000000	92.745	-165.7803
2800.000000	92.667	-166.7974
2850.000000	92.580	-168.0306
2900.000000	92.514	-169.2371
2950.000000	92.472	-170.4480
3000.000000	92.436	-171.6793
3040.000000	92.398	-172.6786
3070.000000	92.362	-173.4218
3110.000000	92.301	-174.3777
3150.000000	92.226	-175.2745
3200.000000	92.112	-176.3014
3250.000000	91.980	-177.1989
3300.000000	91.836	-177.9243
3350.000000	91.688	-178.4897
3400.000000	91.546	-178.9075
3450.000000	91.416	-179.1693
3500.000000	91.305	-179.3127
3550.000000	91.218	-179.3797
3600.000000	91.157	-179.3648
3650.000000	91.125	-179.2779
3700.000000	91.117	-179.1689
3750.000000	91.134	-179.0885
3820.000000	91.198	-179.0378
3870.000000	91.269	-179.0377
3950.000000	91.425	-179.1718
4000.000000	91.549	-179.4078
4060.000000	91.734	-179.9409
4120.000000	91.952	179.1368
4180.000000	92.189	177.7371
4250.000000	92.470	175.4591
4310.000000	92.682	172.9787
4370.000000	92.819	170.0645
4440.000000	92.837	166.2529
4500.000000	92.714	162.7848
4550.000000	92.520	159.8680
4620.000000	92.132	155.9418
4680.000000	91.713	152.9009
4750.000000	91.147	149.8984
4820.000000	90.525	147.5861
4870.000000	90.063	146.4047
4940.000000	89.414	145.4429
5000.000000	88.866	145.2675
5080.000000	88.150	145.9268
5150.000000	87.547	147.3145
5220.000000	86.986	149.3567
5300.000000	86.419	152.2990
5380.000000	85.946	155.7782
5450.000000	85.613	159.2634
5520.000000	85.360	163.1456
5600.000000	85.196	168.0052
5700.000000	85.228	174.3389
5800.000000	85.496	-179.4706
5900.000000	85.996	-173.7341
6000.000000	86.707	-169.1788
6080.000000	87.413	-167.1377
6150.000000	88.019	-166.9716
6220.000000	88.530	-168.0136
6300.000000	88.964	-169.9702
6400.000000	89.296	-172.4780
6500.000000	89.460	-174.1370
6600.000000	89.550	-174.2969
6700.000000	89.645	-172.8145
6800.000000	89.781	-170.3261
6900.000000	89.979	-167.1078
7000.000000	90.227	-163.1062
7100.000000	90.450	-158.3468
7200.000000	90.539	-152.8950
7300.000000	90.375	-146.8510
7400.000000	89.872	-140.3829
7500.000000	89.055	-133.7044
7620.000000	87.866	-125.8422
7750.000000	86.691	-118.1947
7880.000000	85.914	-112.0179
8000.000000	85.552	-107.7419
8120.000000	85.369	-104.6357
8250.000000	85.173	-102.0945
8380.000000	84.870	-99.7805
8500.000000	84.488	-97.5372
8620.000000	84.049	-95.0712
8750.000000	83.586	-92.1391
8850.000000	83.292	-89.8623
9000.000000	82.957	-86.7694
9120.000000	82.773	-84.6193
9250.000000	82.666	-82.7635
9380.000000	82.648	-81.6986
9500.000000	82.720	-81.7567
9620.000000	82.866	-83.0794
9750.000000	83.003	-86.0236
9880.000000	82.928	-90.2670
10000.000000	82.529	-94.6906
10150.000000	81.528	-99.4416
10300.000000	80.055	-101.6816
10440.000000	78.440	-100.6393
10600.000000	76.601	-95.8375
10750.000000	75.202	-88.5021
10900.000000	74.406	-79.3479
11060.000000	74.364	-69.0094
11200.000000	74.906	-60.7471
11380.000000	75.995	-52.6571
11500.000000	76.736	-49.2288
11720.000000	77.759	-46.4717
11800.000000	77.976	-46.2325
12060.000000	78.105	-46.1592
12200.000000	77.900	-45.6969
12410.000000	77.472	-43.8689
12500.000000	77.319	-42.6899
12650.000000	77.209	-40.3276
12800.000000	77.359	-37.6269
