* Measurement data measured by REW V5.20
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Mar 12, 2021 11:36:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Yume R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.5	-154.4020
20.299999	98.5	-155.6966
20.600000	98.6	-156.9726
20.900000	98.6	-158.2341
21.200001	98.6	-159.4873
21.400000	98.7	-160.3225
21.799999	98.7	-162.0008
22.000000	98.7	-162.8447
22.400000	98.7	-164.5314
22.700001	98.7	-165.7751
23.000000	98.6	-166.9800
23.299999	98.6	-168.1342
23.600000	98.6	-169.2388
24.000000	98.6	-170.6655
24.299999	98.6	-171.7348
24.700001	98.6	-173.1982
25.000000	98.6	-174.3274
25.400000	98.6	-175.8471
25.799999	98.6	-177.3279
26.200001	98.6	-178.7227
26.500000	98.5	-179.7046
26.900000	98.5	179.0530
27.200001	98.5	178.1510
27.600000	98.5	176.9575
28.000000	98.4	175.7546
28.500000	98.4	174.2321
29.000000	98.4	172.7064
29.500000	98.4	171.1934
30.000000	98.3	169.6811
30.400000	98.3	168.4509
30.700001	98.3	167.5101
31.100000	98.3	166.2399
31.500000	98.2	164.9817
32.000000	98.2	163.4845
32.500000	98.2	162.1039
33.000000	98.2	160.8088
33.500000	98.1	159.5372
34.000000	98.1	158.2526
34.500000	98.1	156.9648
35.000000	98.1	155.7037
35.500000	98.0	154.4854
36.000000	98.0	153.3034
36.500000	98.0	152.1375
37.000000	97.9	150.9629
37.500000	97.9	149.7639
38.200001	97.9	148.0658
38.700001	97.8	146.8823
39.500000	97.7	145.0769
40.000000	97.7	143.9651
40.599998	97.6	142.6186
41.200001	97.6	141.3063
41.799999	97.5	140.0674
42.500000	97.5	138.6239
43.099998	97.5	137.3018
43.700001	97.4	135.9853
44.400002	97.3	134.6353
45.000000	97.3	133.5830
45.500000	97.3	132.6641
46.200001	97.3	131.2985
46.799999	97.2	130.1555
47.500000	97.2	128.8777
48.200001	97.1	127.6795
48.700001	97.0	126.9830
49.400002	97.0	126.2029
50.000000	97.0	125.3508
50.799999	97.0	123.5919
51.500000	96.9	121.9576
52.200001	96.8	120.7548
53.000000	96.7	119.6759
53.799999	96.6	118.4819
54.500000	96.6	117.3536
55.200001	96.5	116.2098
56.000000	96.4	114.9262
57.000000	96.4	113.4335
58.000000	96.3	111.9525
59.000000	96.2	110.4919
60.000000	96.1	109.0945
60.799999	96.1	107.9602
61.500000	96.0	106.9727
62.200001	96.0	106.0175
