* Measurement data measured by REW V5.20 Beta 55
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.588. Timing signal peak level -13.9 dBFS, measurement signal peak level -6.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: Jun 17, 2020 12:57:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0518 ms (-18 mm, -0.7 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: VX L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.5	-84.8445
20.299999	72.6	-85.6562
20.600000	72.7	-86.9523
20.900000	72.8	-88.0447
21.200001	72.8	-89.0628
21.400000	72.9	-89.8327
21.799999	72.9	-91.4773
22.000000	73.0	-92.2566
22.400000	73.0	-93.6512
22.700001	73.1	-94.6237
23.000000	73.1	-95.6045
23.299999	73.1	-96.6167
23.600000	73.2	-97.6752
24.000000	73.2	-99.1520
24.299999	73.2	-100.2130
24.700001	73.3	-101.4705
25.000000	73.3	-102.3602
25.400000	73.4	-103.5824
25.799999	73.4	-104.8328
26.200001	73.5	-106.0124
26.500000	73.5	-106.8008
26.900000	73.5	-107.7682
27.200001	73.5	-108.5146
27.600000	73.5	-109.5719
28.000000	73.6	-110.5876
28.500000	73.7	-111.7476
29.000000	73.7	-112.9780
29.500000	73.7	-114.2619
30.000000	73.7	-115.4685
30.400000	73.7	-116.3896
30.700001	73.7	-117.0740
31.100000	73.7	-117.9646
31.500000	73.7	-118.8091
32.000000	73.8	-119.8415
32.500000	73.8	-120.9057
33.000000	73.8	-121.9636
33.500000	73.8	-122.9449
34.000000	73.8	-123.8861
34.500000	73.8	-124.8374
35.000000	73.9	-125.7407
35.500000	73.9	-126.5799
36.000000	73.9	-127.4124
36.500000	73.9	-128.2467
37.000000	73.9	-129.0777
37.500000	73.9	-129.8801
38.200001	73.9	-130.9775
38.700001	73.9	-131.7582
39.500000	73.9	-132.9454
40.000000	74.0	-133.7046
40.599998	74.0	-134.5843
41.200001	74.0	-135.3836
41.799999	74.0	-136.1660
42.500000	74.0	-137.0210
43.099998	74.0	-137.8718
43.700001	74.0	-138.8593
44.400002	73.9	-139.9138
45.000000	73.9	-140.7547
45.500000	73.9	-141.3904
46.200001	73.9	-142.1088
46.799999	74.0	-142.6396
47.500000	74.0	-143.2250
48.200001	74.0	-143.7917
48.700001	74.0	-144.2800
