* Measurement data measured by REW V5.20
* Source: Microphone (Realtek USB2.0 Audio), MICROPHONE (Master Volume), L, volume: 0.250. Timing signal peak level -37.0 dBFS, measurement signal peak level -33.4 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -10.0 dBFS using an acoustic timing reference
* Dated: May 15, 2021 9:21:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0622 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: Tin T5 (Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.774918	-68.0696
20.299999	76.936264	-69.4389
20.600000	77.084373	-70.7730
20.900000	77.219971	-72.0565
21.200001	77.343132	-73.2771
21.400000	77.418312	-74.0522
21.799999	77.552109	-75.5269
22.000000	77.611382	-76.2436
22.400000	77.719795	-77.6885
22.700001	77.797745	-78.8285
23.000000	77.871933	-80.0302
23.299999	77.935524	-81.2715
23.600000	77.981293	-82.4990
24.000000	78.015778	-83.9943
24.299999	78.034622	-84.9472
24.700001	78.074280	-85.9924
25.000000	78.127541	-86.6911
25.400000	78.233017	-87.6838
25.799999	78.356430	-88.9182
26.200001	78.458694	-90.4158
26.500000	78.502731	-91.6133
26.900000	78.516846	-93.0860
27.200001	78.508125	-93.9649
27.600000	78.509247	-94.7694
28.000000	78.562500	-95.2805
28.500000	78.717949	-95.9460
29.000000	78.905205	-97.0804
29.500000	79.038887	-98.6785
30.000000	79.095078	-100.3502
30.400000	79.107216	-101.5205
30.700001	79.113983	-102.2780
31.100000	79.133286	-103.1862
31.500000	79.164978	-104.0587
32.000000	79.206360	-105.1296
32.500000	79.240021	-106.1137
33.000000	79.279243	-106.9959
33.500000	79.336197	-107.8774
34.000000	79.401451	-108.8338
34.500000	79.463654	-109.8082
35.000000	79.532814	-110.7376
35.500000	79.622574	-111.7151
36.000000	79.715736	-112.8957
36.500000	79.772385	-114.2295
37.000000	79.778542	-115.4060
37.500000	79.772934	-116.1702
38.200001	79.842590	-116.8780
38.700001	79.936409	-117.6594
39.500000	79.999161	-119.4824
40.000000	79.960327	-120.3844
40.599998	79.923958	-120.9038
41.200001	79.962898	-121.3030
41.799999	80.028450	-122.0879
42.500000	80.044868	-123.2289
43.099998	80.037041	-123.8831
43.700001	80.084068	-124.3438
44.400002	80.194771	-125.3051
45.000000	80.250038	-126.5816
45.500000	80.238846	-127.6219
46.200001	80.184456	-128.5847
46.799999	80.171989	-129.0116
47.500000	80.217621	-129.5449
48.200001	80.268196	-130.4236
48.700001	80.274582	-131.1686
49.400002	80.242851	-132.0651
50.000000	80.213249	-132.5894
50.799999	80.216568	-133.2152
51.500000	80.234779	-133.9973
52.200001	80.222229	-134.8698
53.000000	80.190086	-135.6134
53.799999	80.204269	-136.1885
54.500000	80.262688	-136.8411
55.200001	80.331825	-137.7145
56.000000	80.378479	-138.8670
57.000000	80.362167	-140.0342
58.000000	80.336639	-140.5843
