* Measurement data measured by REW V5.20.13
* Source: EXCL: Microphone (2- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Jan 30, 2023 3:57:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Variations L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.993	-154.0407
20.299999	84.081	-154.1310
20.600000	84.153	-154.2047
20.900000	84.218	-154.3114
21.200001	84.243	-154.4710
21.400000	84.249	-154.5915
21.799999	84.243	-154.8310
22.000000	84.232	-154.9435
22.400000	84.190	-155.1803
22.700001	84.171	-155.4297
23.000000	84.156	-155.7947
23.299999	84.127	-156.2781
23.600000	84.093	-156.8525
24.000000	84.046	-157.7044
24.299999	84.016	-158.3796
24.700001	84.004	-159.3281
25.000000	84.016	-160.0805
25.400000	84.040	-161.1223
25.799999	84.084	-162.1617
26.200001	84.148	-163.1652
26.500000	84.206	-163.8922
26.900000	84.286	-164.8207
27.200001	84.335	-165.4594
27.600000	84.388	-166.1774
28.000000	84.446	-166.7039
28.500000	84.508	-167.1596
29.000000	84.570	-167.5591
29.500000	84.605	-167.9657
30.000000	84.617	-168.3205
30.400000	84.618	-168.5703
30.700001	84.615	-168.7793
31.100000	84.608	-169.1387
31.500000	84.588	-169.5891
32.000000	84.551	-170.2064
32.500000	84.517	-170.8354
33.000000	84.488	-171.5328
33.500000	84.471	-172.3418
34.000000	84.464	-173.1906
34.500000	84.464	-173.9827
35.000000	84.482	-174.7076
35.500000	84.511	-175.3974
36.000000	84.540	-176.0490
36.500000	84.583	-176.6428
37.000000	84.616	-177.1818
37.500000	84.628	-177.6665
38.200001	84.621	-178.2294
38.700001	84.606	-178.5886
39.500000	84.570	-179.2736
40.000000	84.523	-179.7681
40.599998	84.493	179.6445
41.200001	84.467	179.0700
41.799999	84.450	178.4802
42.500000	84.438	177.7750
43.099998	84.428	177.1584
43.700001	84.420	176.5434
44.400002	84.417	175.8698
45.000000	84.403	175.3317
45.500000	84.389	174.8999
46.200001	84.378	174.3222
46.799999	84.364	173.8348
47.500000	84.338	173.2653
48.200001	84.313	172.7342
48.700001	84.291	172.3546
49.400002	84.249	171.7630
50.000000	84.216	171.2529
50.799999	84.199	170.6437
51.500000	84.186	170.0988
52.200001	84.161	169.5755
53.000000	84.119	169.0880
53.799999	84.078	168.5619
54.500000	84.047	168.0423
55.200001	84.012	167.5714
56.000000	83.984	167.0549
57.000000	83.938	166.2712
58.000000	83.872	165.4840
59.000000	83.824	164.8469
60.000000	83.791	164.2457
60.799999	83.754	163.7935
61.500000	83.714	163.4004
62.200001	83.672	163.0034
63.000000	83.632	162.5368
64.000000	83.579	161.9551
65.000000	83.523	161.4078
66.000000	83.475	160.7674
67.000000	83.434	160.1907
68.000000	83.393	159.6877
69.000000	83.336	159.1696
70.000000	83.257	158.7012
71.000000	83.190	158.2766
72.000000	83.118	157.7878
73.000000	83.040	157.3172
74.000000	82.989	156.8594
75.000000	82.945	156.3875
76.199997	82.879	155.8576
77.500000	82.806	155.3023
78.800003	82.716	154.7263
80.000000	82.628	154.3079
81.199997	82.559	153.8204
82.500000	82.470	153.3031
83.800003	82.391	152.8642
85.000000	82.318	152.4552
86.199997	82.244	152.0804
87.500000	82.162	151.5988
88.500000	82.090	151.2522
90.000000	81.974	150.8095
91.199997	81.902	150.4535
92.500000	81.810	150.0440
93.800003	81.726	149.7481
95.000000	81.652	149.3792
96.199997	81.577	149.1040
97.500000	81.500	148.6446
98.800003	81.416	148.4162
100.000000	81.339	147.9298
101.500000	81.205	147.7650
103.000000	81.100	147.4777
104.400002	81.023	147.3514
106.000000	80.915	146.9606
107.500000	80.817	146.6550
109.000000	80.705	146.4323
110.599998	80.591	146.1197
112.000000	80.489	145.9435
113.800003	80.368	145.6766
115.000000	80.282	145.6100
117.199997	80.144	145.2945
118.000000	80.096	145.2869
120.599998	79.900	145.0190
122.000000	79.818	144.8727
124.099998	79.711	144.7709
125.000000	79.657	144.6837
126.500000	79.550	144.5738
128.000000	79.428	144.4869
131.500000	79.168	144.3516
132.000000	79.139	144.3898
134.000000	79.034	144.3526
136.000000	78.924	144.3290
138.000000	78.791	144.3800
140.000000	78.641	144.3688
143.000000	78.456	144.4951
145.000000	78.345	144.5067
147.500000	78.187	144.7245
150.000000	78.028	144.8901
152.500000	77.883	145.0352
155.000000	77.754	145.1834
157.500000	77.634	145.5394
160.000000	77.507	145.7812
162.500000	77.372	146.1569
165.000000	77.265	146.4938
167.500000	77.116	146.9356
170.000000	76.956	147.2097
172.500000	76.770	147.7149
175.000000	76.602	147.9170
177.500000	76.433	148.4672
180.000000	76.263	148.8941
182.500000	76.168	149.3497
185.000000	76.102	149.8885
187.500000	76.075	150.3052
190.000000	76.003	151.0020
192.500000	75.918	151.3812
195.000000	75.839	152.0484
197.500000	75.765	152.5482
200.000000	75.674	153.2693
203.000000	75.546	153.7807
206.000000	75.441	154.4558
209.000000	75.350	155.1789
212.000000	75.253	155.9041
214.000000	75.185	156.3974
218.000000	75.105	157.3598
220.000000	75.047	157.8358
224.000000	74.952	158.7793
227.000000	74.899	159.5085
230.000000	74.821	160.3127
233.000000	74.774	161.1392
236.000000	74.744	161.7200
240.000000	74.692	162.7649
243.000000	74.664	163.3726
247.000000	74.624	164.3220
250.000000	74.577	165.0218
254.000000	74.539	165.9075
258.000000	74.519	166.6933
262.000000	74.478	167.6723
265.000000	74.490	168.3743
269.000000	74.452	169.0622
272.000000	74.448	169.7857
276.000000	74.432	170.6614
280.000000	74.431	171.2707
285.000000	74.434	172.3994
290.000000	74.437	173.2810
295.000000	74.439	174.3043
300.000000	74.465	175.0007
304.000000	74.458	175.6294
307.000000	74.467	176.1187
311.000000	74.527	176.5627
315.000000	74.559	177.3100
320.000000	74.569	178.0213
325.000000	74.583	178.7515
330.000000	74.597	179.3490
335.000000	74.631	-179.9220
340.000000	74.673	-179.4853
345.000000	74.690	-178.6895
350.000000	74.696	-178.2355
355.000000	74.748	-177.7346
360.000000	74.794	-177.1793
365.000000	74.812	-176.5731
370.000000	74.833	-176.2416
375.000000	74.873	-175.5757
382.000000	74.909	-175.0969
387.000000	74.939	-174.4308
395.000000	74.988	-173.9013
400.000000	75.010	-173.5822
406.000000	75.049	-173.0396
412.000000	75.087	-172.6886
418.000000	75.096	-172.2699
425.000000	75.167	-171.6864
431.000000	75.210	-171.3043
437.000000	75.238	-170.9657
444.000000	75.266	-170.3146
450.000000	75.320	-170.0541
455.000000	75.338	-169.8772
462.000000	75.365	-169.4429
468.000000	75.400	-168.9835
475.000000	75.438	-168.6301
482.000000	75.481	-168.2566
487.000000	75.489	-167.8290
494.000000	75.521	-167.6620
500.000000	75.526	-167.3151
508.000000	75.576	-166.9034
515.000000	75.637	-166.6206
522.000000	75.628	-166.2021
530.000000	75.665	-165.7458
538.000000	75.704	-165.4352
545.000000	75.716	-165.0414
552.000000	75.759	-164.7271
560.000000	75.751	-164.3366
570.000000	75.798	-163.9269
580.000000	75.849	-163.3864
590.000000	75.892	-163.0774
600.000000	75.912	-162.5358
608.000000	75.925	-162.1377
615.000000	75.982	-161.7426
622.000000	75.984	-161.4146
630.000000	76.016	-161.0515
640.000000	76.079	-160.6951
650.000000	76.080	-160.1007
660.000000	76.117	-159.6893
670.000000	76.136	-159.2254
680.000000	76.181	-158.7594
690.000000	76.205	-158.2658
700.000000	76.253	-157.7729
710.000000	76.274	-157.2968
720.000000	76.304	-156.8610
730.000000	76.339	-156.2950
740.000000	76.376	-155.7999
750.000000	76.439	-155.2712
762.000000	76.481	-154.7167
775.000000	76.539	-154.0414
788.000000	76.592	-153.3950
800.000000	76.652	-152.7242
812.000000	76.702	-152.1892
825.000000	76.762	-151.4085
838.000000	76.840	-150.8257
850.000000	76.901	-150.1607
862.000000	76.977	-149.6294
875.000000	77.034	-148.9481
885.000000	77.128	-148.4495
900.000000	77.202	-147.8381
912.000000	77.297	-147.1651
925.000000	77.376	-146.6548
938.000000	77.487	-146.0830
950.000000	77.582	-145.5012
962.000000	77.673	-145.0671
975.000000	77.783	-144.6490
988.000000	77.896	-144.1580
1000.000000	77.939	-144.2785
1015.000000	78.137	-143.3831
1030.000000	78.260	-143.0464
1044.000000	78.383	-142.7116
1060.000000	78.513	-142.3684
1075.000000	78.644	-142.2445
1090.000000	78.764	-141.9347
1106.000000	78.900	-141.8434
1120.000000	79.047	-141.6998
1138.000000	79.205	-141.5838
1150.000000	79.306	-141.6085
1172.000000	79.481	-141.5904
1180.000000	79.541	-141.4492
1206.000000	79.736	-141.6302
