* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 10 Mar, 2023 5:55:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 10 17:55:24
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 68.965, 51.730
10.293, 68.991, 51.187
10.443, 69.017, 50.457
10.595, 69.055, 49.502
10.749, 69.094, 48.509
10.905, 69.119, 47.759
11.064, 69.139, 47.102
11.225, 69.162, 46.367
11.388, 69.186, 45.607
11.554, 69.209, 44.892
11.722, 69.232, 44.209
11.892, 69.256, 43.542
12.065, 69.282, 42.890
12.241, 69.310, 42.223
12.419, 69.339, 41.551
12.599, 69.367, 40.892
12.782, 69.396, 40.235
12.968, 69.424, 39.561
13.157, 69.452, 38.888
13.348, 69.478, 38.224
13.543, 69.502, 37.565
13.740, 69.526, 36.912
13.939, 69.550, 36.267
14.142, 69.573, 35.631
14.348, 69.597, 35.001
14.557, 69.620, 34.374
14.768, 69.642, 33.748
14.983, 69.664, 33.127
15.201, 69.685, 32.511
15.422, 69.705, 31.901
15.646, 69.725, 31.302
15.874, 69.744, 30.713
16.105, 69.763, 30.134
16.339, 69.782, 29.562
16.577, 69.802, 28.992
16.818, 69.823, 28.422
17.063, 69.843, 27.849
17.311, 69.861, 27.276
17.563, 69.879, 26.706
17.818, 69.895, 26.144
18.077, 69.910, 25.593
18.340, 69.926, 25.052
18.607, 69.942, 24.514
18.877, 69.959, 23.977
19.152, 69.974, 23.438
19.431, 69.989, 22.900
19.713, 70.002, 22.374
20.000, 70.014, 21.865
20.291, 70.029, 21.374
20.586, 70.047, 20.887
20.885, 70.069, 20.385
21.189, 70.092, 19.848
21.497, 70.112, 19.276
21.810, 70.125, 18.692
22.127, 70.130, 18.136
22.449, 70.133, 17.636
22.776, 70.140, 17.193
23.107, 70.158, 16.765
23.443, 70.184, 16.295
23.784, 70.211, 15.747
24.130, 70.229, 15.134
24.481, 70.232, 14.525
24.837, 70.224, 13.996
25.198, 70.218, 13.577
25.565, 70.226, 13.223
25.937, 70.249, 12.841
26.314, 70.279, 12.363
26.697, 70.301, 11.794
27.085, 70.308, 11.213
27.479, 70.305, 10.701
27.879, 70.305, 10.276
28.284, 70.316, 9.877
28.696, 70.336, 9.432
29.113, 70.354, 8.921
29.537, 70.365, 8.386
29.966, 70.369, 7.880
