* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 21 Feb, 2023 6:40:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 21 18:40:25
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 69.648, 64.719
10.293, 69.678, 63.953
10.443, 69.709, 62.926
10.595, 69.758, 61.587
10.749, 69.809, 60.192
10.905, 69.848, 59.134
11.064, 69.882, 58.194
11.225, 69.921, 57.118
11.388, 69.961, 55.982
11.554, 69.999, 54.884
11.722, 70.035, 53.808
11.892, 70.069, 52.741
12.065, 70.101, 51.682
12.241, 70.133, 50.602
12.419, 70.162, 49.516
12.599, 70.189, 48.458
12.782, 70.213, 47.413
12.968, 70.236, 46.356
13.157, 70.255, 45.310
13.348, 70.273, 44.287
13.543, 70.288, 43.277
13.740, 70.302, 42.279
13.939, 70.315, 41.298
14.142, 70.327, 40.333
14.348, 70.339, 39.381
14.557, 70.351, 38.436
14.768, 70.364, 37.494
14.983, 70.375, 36.553
15.201, 70.386, 35.611
15.422, 70.395, 34.665
15.646, 70.401, 33.722
15.874, 70.405, 32.784
16.105, 70.406, 31.858
16.339, 70.404, 30.952
16.577, 70.401, 30.068
16.818, 70.399, 29.205
17.063, 70.398, 28.358
17.311, 70.399, 27.513
17.563, 70.402, 26.657
17.818, 70.406, 25.781
18.077, 70.407, 24.876
18.340, 70.403, 23.952
18.607, 70.391, 23.025
18.877, 70.371, 22.119
19.152, 70.345, 21.259
19.431, 70.316, 20.464
19.713, 70.290, 19.731
20.000, 70.270, 19.041
20.291, 70.259, 18.361
20.586, 70.256, 17.655
20.885, 70.255, 16.900
21.189, 70.250, 16.093
21.497, 70.238, 15.260
21.810, 70.217, 14.439
22.127, 70.190, 13.661
22.449, 70.161, 12.939
22.776, 70.136, 12.261
23.107, 70.118, 11.593
23.443, 70.104, 10.903
23.784, 70.091, 10.171
24.130, 70.073, 9.401
24.481, 70.048, 8.619
24.837, 70.014, 7.853
25.198, 69.975, 7.125
25.565, 69.935, 6.439
25.937, 69.896, 5.785
26.314, 69.859, 5.141
26.697, 69.825, 4.491
27.085, 69.790, 3.827
27.479, 69.752, 3.156
27.879, 69.711, 2.493
28.284, 69.669, 1.844
28.696, 69.628, 1.202
29.113, 69.587, 0.552
29.537, 69.544, -0.116
29.966, 69.495, -0.780
30.402, 69.439, -1.397
30.844, 69.384, -1.936
31.293, 69.339, -2.416
31.748, 69.308, -2.904
32.210, 69.285, -3.467
32.678, 69.257, -4.112
33.154, 69.215, -4.780
33.636, 69.163, -5.394
34.125, 69.109, -5.929
34.621, 69.061, -6.426
35.125, 69.019, -6.945
35.636, 68.973, -7.506
36.154, 68.917, -8.076
36.680, 68.853, -8.606
37.214, 68.787, -9.080
37.755, 68.725, -9.536
38.304, 68.663, -10.011
38.861, 68.594, -10.481
39.427, 68.521, -10.892
40.000, 68.455, -11.246
40.582, 68.400, -11.620
41.172, 68.341, -12.038
41.771, 68.274, -12.407
42.379, 68.215, -12.674
42.995, 68.176, -12.945
43.620, 68.140, -13.318
44.255, 68.094, -13.722
44.898, 68.044, -14.071
45.552, 68.000, -14.420
46.214, 67.955, -14.824
46.886, 67.904, -15.237
47.568, 67.853, -15.662
48.260, 67.799, -16.165
48.962, 67.728, -16.689
49.674, 67.648, -17.107
50.397, 67.584, -17.476
51.130, 67.523, -17.941
51.874, 67.445, -18.394
52.628, 67.370, -18.693
53.394, 67.316, -19.029
54.170, 67.246, -19.481
54.958, 67.155, -19.818
55.758, 67.066, -20.089
56.569, 66.959, -20.279
57.391, 66.875, -20.209
58.226, 66.844, -20.378
59.073, 66.772, -20.871
59.932, 66.678, -21.102
60.804, 66.624, -21.369
61.688, 66.552, -21.773
62.586, 66.485, -22.049
63.496, 66.421, -22.448
64.420, 66.333, -22.729
65.357, 66.263, -22.953
66.307, 66.171, -23.320
67.272, 66.054, -23.490
68.250, 65.953, -23.601
69.243, 65.851, -23.758
70.250, 65.749, -23.959
71.272, 65.630, -24.179
72.309, 65.503, -24.235
73.360, 65.389, -24.204
74.427, 65.277, -24.164
75.510, 65.156, -24.084
76.608, 65.032, -23.878
77.723, 64.922, -23.663
78.853, 64.803, -23.416
80.000, 64.704, -23.024
81.164, 64.621, -22.679
82.344, 64.546, -22.273
83.542, 64.474, -21.883
84.757, 64.400, -21.386
85.990, 64.334, -20.861
87.241, 64.271, -20.188
88.510, 64.257, -19.399
89.797, 64.279, -18.787
91.103, 64.315, -18.192
92.428, 64.395, -17.760
93.773, 64.481, -17.709
95.137, 64.545, -18.050
96.520, 64.572, -18.557
97.924, 64.577, -19.247
99.349, 64.535, -19.915
100.794, 64.471, -20.335
102.260, 64.376, -20.683
103.747, 64.257, -20.426
105.256, 64.208, -20.362
106.787, 64.086, -20.304
108.340, 63.996, -19.840
109.916, 63.938, -19.298
111.515, 63.883, -18.764
113.137, 63.846, -18.054
114.783, 63.863, -17.448
116.452, 63.937, -17.155
118.146, 64.047, -17.278
119.865, 64.142, -17.594
121.608, 64.229, -18.010
123.377, 64.267, -18.649
125.171, 64.266, -19.294
126.992, 64.230, -20.027
128.839, 64.193, -20.572
130.713, 64.136, -21.193
132.615, 64.061, -21.635
134.543, 63.982, -22.065
136.500, 63.897, -22.508
138.486, 63.799, -22.922
140.500, 63.697, -23.237
142.544, 63.586, -23.480
144.617, 63.477, -23.665
146.721, 63.366, -23.812
148.855, 63.256, -23.884
151.020, 63.146, -23.895
153.217, 63.032, -23.867
155.445, 62.916, -23.798
157.706, 62.805, -23.679
160.000, 62.702, -23.541
162.327, 62.598, -23.306
164.688, 62.493, -22.977
167.084, 62.395, -22.584
169.514, 62.313, -22.243
171.980, 62.231, -21.877
174.481, 62.177, -21.485
177.019, 62.123, -21.144
179.594, 62.076, -20.819
182.206, 62.029, -20.506
