* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 21 Mar, 2023 2:05:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 21 14:05:03
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 63.470, -115.721
10.293, 63.506, -116.252
10.443, 63.543, -116.966
10.595, 63.600, -117.902
10.749, 63.659, -118.877
10.905, 63.703, -119.620
11.064, 63.741, -120.279
11.225, 63.784, -121.026
11.388, 63.828, -121.807
11.554, 63.870, -122.554
11.722, 63.910, -123.277
11.892, 63.951, -123.985
12.065, 63.990, -124.681
12.241, 64.031, -125.385
12.419, 64.071, -126.090
12.599, 64.111, -126.774
12.782, 64.151, -127.451
12.968, 64.191, -128.139
13.157, 64.230, -128.826
13.348, 64.269, -129.505
13.543, 64.306, -130.183
13.740, 64.342, -130.861
13.939, 64.378, -131.535
14.142, 64.411, -132.205
14.348, 64.444, -132.867
14.557, 64.475, -133.522
14.768, 64.505, -134.170
14.983, 64.534, -134.807
15.201, 64.563, -135.435
15.422, 64.591, -136.055
15.646, 64.618, -136.667
15.874, 64.646, -137.272
16.105, 64.673, -137.872
16.339, 64.700, -138.467
16.577, 64.726, -139.058
16.818, 64.752, -139.647
17.063, 64.778, -140.232
17.311, 64.802, -140.815
17.563, 64.826, -141.393
17.818, 64.849, -141.967
18.077, 64.871, -142.535
18.340, 64.892, -143.097
18.607, 64.912, -143.652
18.877, 64.932, -144.200
19.152, 64.952, -144.741
19.431, 64.971, -145.277
19.713, 64.990, -145.810
20.000, 65.009, -146.339
20.291, 65.028, -146.866
20.586, 65.045, -147.391
20.885, 65.062, -147.912
21.189, 65.078, -148.429
21.497, 65.093, -148.941
21.810, 65.108, -149.447
22.127, 65.122, -149.949
22.449, 65.135, -150.448
22.776, 65.148, -150.943
23.107, 65.160, -151.436
23.443, 65.170, -151.924
23.784, 65.180, -152.406
24.130, 65.188, -152.882
24.481, 65.196, -153.349
24.837, 65.202, -153.810
25.198, 65.209, -154.266
25.565, 65.214, -154.716
25.937, 65.219, -155.161
26.314, 65.222, -155.601
26.697, 65.225, -156.035
27.085, 65.227, -156.463
27.479, 65.227, -156.885
27.879, 65.227, -157.298
28.284, 65.225, -157.704
28.696, 65.223, -158.100
29.113, 65.220, -158.486
29.537, 65.216, -158.858
29.966, 65.211, -159.214
30.402, 65.207, -159.550
30.844, 65.205, -159.870
31.293, 65.206, -160.180
31.748, 65.209, -160.491
32.210, 65.215, -160.811
32.678, 65.222, -161.148
33.154, 65.229, -161.509
33.636, 65.234, -161.895
34.125, 65.235, -162.301
34.621, 65.231, -162.712
35.125, 65.220, -163.113
35.636, 65.205, -163.495
36.154, 65.187, -163.858
36.680, 65.164, -164.200
37.214, 65.136, -164.510
37.755, 65.106, -164.773
38.304, 65.074, -164.987
38.861, 65.041, -165.153
39.427, 65.008, -165.267
40.000, 64.976, -165.311
40.582, 64.947, -165.269
41.172, 64.927, -165.142
41.771, 64.919, -164.936
42.379, 64.929, -164.654
42.995, 64.967, -164.331
43.620, 65.038, -164.065
44.255, 65.136, -163.968
44.898, 65.246, -164.107
45.552, 65.353, -164.485
46.214, 65.442, -165.054
46.886, 65.507, -165.727
47.568, 65.551, -166.433
48.260, 65.578, -167.144
48.962, 65.593, -167.840
49.674, 65.598, -168.521
50.397, 65.591, -169.200
51.130, 65.569, -169.823
51.874, 65.542, -170.361
52.628, 65.510, -170.881
53.394, 65.460, -171.288
54.170, 65.427, -171.491
54.958, 65.425, -171.824
55.758, 65.392, -172.393
56.569, 65.315, -172.730
57.391, 65.263, -172.791
58.226, 65.238, -172.923
59.073, 65.213, -173.110
59.932, 65.192, -173.310
60.804, 65.169, -173.550
