* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 9 Mar, 2023 2:57:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 9 14:57:08
* Smoothing: 1/48 octave
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.094, 62.473, -87.929
10.430, 62.657, -89.894
10.767, 62.919, -93.156
11.103, 63.061, -95.655
11.440, 63.178, -98.216
11.776, 63.263, -100.361
12.112, 63.350, -102.111
12.449, 63.471, -103.660
12.785, 63.627, -105.109
13.122, 63.812, -106.709
13.458, 63.998, -108.486
13.795, 64.164, -110.422
14.131, 64.298, -112.394
14.468, 64.401, -114.279
14.804, 64.487, -116.012
15.141, 64.567, -117.583
15.477, 64.652, -119.048
15.813, 64.741, -120.469
16.150, 64.830, -121.888
16.486, 64.912, -123.307
16.823, 64.983, -124.695
17.159, 65.044, -126.021
17.496, 65.100, -127.272
17.832, 65.154, -128.456
18.169, 65.208, -129.599
18.505, 65.263, -130.725
18.842, 65.315, -131.847
19.178, 65.361, -132.959
19.514, 65.402, -134.051
19.851, 65.436, -135.108
20.187, 65.467, -136.126
20.524, 65.496, -137.105
20.860, 65.525, -138.051
21.197, 65.554, -138.974
21.533, 65.583, -139.884
21.870, 65.613, -140.789
22.206, 65.641, -141.694
22.543, 65.667, -142.596
22.879, 65.688, -143.490
23.215, 65.706, -144.363
23.552, 65.722, -145.209
23.888, 65.735, -146.023
24.225, 65.749, -146.811
24.561, 65.763, -147.580
24.898, 65.777, -148.338
25.234, 65.791, -149.088
25.571, 65.802, -149.827
25.907, 65.811, -150.551
26.244, 65.818, -151.256
26.580, 65.824, -151.941
26.917, 65.829, -152.607
27.253, 65.834, -153.258
27.589, 65.838, -153.897
27.926, 65.842, -154.526
28.262, 65.844, -155.146
28.599, 65.845, -155.755
28.935, 65.846, -156.353
29.272, 65.845, -156.938
29.608, 65.844, -157.513
29.945, 65.843, -158.081
30.281, 65.842, -158.645
30.618, 65.839, -159.208
30.954, 65.835, -159.766
31.290, 65.829, -160.316
31.627, 65.821, -160.851
31.963, 65.812, -161.367
32.300, 65.803, -161.864
32.636, 65.795, -162.345
32.973, 65.788, -162.818
33.309, 65.783, -163.288
33.646, 65.777, -163.759
33.982, 65.771, -164.231
34.319, 65.763, -164.700
34.655, 65.754, -165.163
34.991, 65.744, -165.614
35.328, 65.733, -166.052
35.664, 65.722, -166.479
36.001, 65.711, -166.897
36.337, 65.700, -167.311
36.674, 65.690, -167.722
37.010, 65.678, -168.129
37.347, 65.665, -168.528
37.683, 65.652, -168.917
38.020, 65.639, -169.294
38.356, 65.626, -169.664
38.692, 65.615, -170.031
39.029, 65.604, -170.402
39.365, 65.593, -170.776
39.702, 65.580, -171.153
40.038, 65.565, -171.525
40.375, 65.549, -171.887
40.711, 65.533, -172.237
41.048, 65.517, -172.576
41.384, 65.501, -172.908
41.721, 65.485, -173.235
42.057, 65.470, -173.560
42.393, 65.455, -173.880
42.730, 65.439, -174.196
43.066, 65.423, -174.507
43.403, 65.407, -174.815
43.739, 65.391, -175.119
44.076, 65.375, -175.421
44.412, 65.359, -175.718
44.749, 65.342, -176.009
45.085, 65.324, -176.293
45.422, 65.308, -176.572
45.758, 65.291, -176.846
46.095, 65.275, -177.118
46.431, 65.259, -177.391
46.767, 65.242, -177.662
47.104, 65.225, -177.929
47.440, 65.207, -178.187
47.777, 65.189, -178.435
48.113, 65.172, -178.674
48.450, 65.157, -178.913
48.786, 65.143, -179.157
49.123, 65.129, -179.412
49.459, 65.113, -179.672
49.796, 65.094, -179.928
50.132, 65.074, 179.831
50.468, 65.054, 179.610
50.805, 65.035, 179.401
51.141, 65.019, 179.190
51.478, 65.004, 178.966
51.814, 64.987, 178.730
52.151, 64.966, 178.494
52.487, 64.942, 178.279
52.824, 64.918, 178.095
53.160, 64.897, 177.937
53.497, 64.882, 177.783
53.833, 64.870, 177.605
54.169, 64.859, 177.391
54.506, 64.844, 177.150
54.842, 64.823, 176.906
55.179, 64.798, 176.686
55.515, 64.772, 176.501
55.852, 64.749, 176.344
56.188, 64.731, 176.191
56.525, 64.716, 176.022
56.861, 64.701, 175.830
57.198, 64.684, 175.624
57.534, 64.664, 175.418
57.870, 64.642, 175.225
58.207, 64.620, 175.048
58.543, 64.599, 174.880
58.880, 64.579, 174.717
59.216, 64.560, 174.555
59.553, 64.540, 174.397
59.889, 64.521, 174.246
60.226, 64.502, 174.100
60.562, 64.485, 173.955
60.899, 64.468, 173.806
61.235, 64.451, 173.654
61.572, 64.432, 173.505
61.908, 64.414, 173.364
62.244, 64.396, 173.231
62.581, 64.380, 173.098
62.917, 64.365, 172.955
63.254, 64.349, 172.797
63.590, 64.331, 172.629
63.927, 64.309, 172.464
64.263, 64.286, 172.316
64.600, 64.262, 172.191
64.936, 64.241, 172.081
65.273, 64.223, 171.969
65.609, 64.208, 171.839
65.945, 64.192, 171.685
66.282, 64.174, 171.513
66.618, 64.152, 171.337
66.955, 64.126, 171.174
67.291, 64.098, 171.035
67.628, 64.071, 170.923
67.964, 64.046, 170.830
68.301, 64.024, 170.747
68.637, 64.005, 170.663
68.974, 63.987, 170.574
69.310, 63.971, 170.477
69.646, 63.956, 170.374
69.983, 63.940, 170.267
70.319, 63.924, 170.159
70.656, 63.908, 170.051
70.992, 63.893, 169.942
71.329, 63.877, 169.831
71.665, 63.861, 169.718
72.002, 63.845, 169.606
72.338, 63.827, 169.497
72.675, 63.809, 169.396
73.011, 63.792, 169.301
73.347, 63.775, 169.210
73.684, 63.758, 169.120
74.020, 63.742, 169.028
74.357, 63.725, 168.932
74.693, 63.707, 168.835
75.030, 63.689, 168.742
75.366, 63.670, 168.657
75.703, 63.650, 168.581
76.039, 63.632, 168.513
76.376, 63.615, 168.446
76.712, 63.600, 168.376
77.048, 63.584, 168.299
77.385, 63.569, 168.215
77.721, 63.552, 168.130
78.058, 63.535, 168.047
78.394, 63.517, 167.970
78.731, 63.500, 167.901
79.067, 63.484, 167.834
79.404, 63.469, 167.763
79.740, 63.455, 167.685
80.077, 63.440, 167.599
80.413, 63.424, 167.509
80.750, 63.407, 167.420
81.086, 63.389, 167.338
81.422, 63.372, 167.264
81.759, 63.354, 167.194
82.095, 63.338, 167.124
82.432, 63.322, 167.052
82.768, 63.306, 166.977
83.105, 63.289, 166.903
83.441, 63.272, 166.833
83.778, 63.255, 166.767
84.114, 63.239, 166.702
84.451, 63.224, 166.634
84.787, 63.210, 166.558
85.123, 63.195, 166.472
85.460, 63.179, 166.381
85.796, 63.161, 166.291
86.133, 63.141, 166.207
86.469, 63.121, 166.135
86.806, 63.101, 166.075
87.142, 63.082, 166.026
87.479, 63.065, 165.981
87.815, 63.050, 165.934
88.152, 63.036, 165.878
88.488, 63.023, 165.808
88.824, 63.009, 165.723
89.161, 62.993, 165.627
89.497, 62.974, 165.531
89.834, 62.952, 165.444
90.170, 62.928, 165.376
90.507, 62.904, 165.329
90.843, 62.882, 165.301
91.180, 62.862, 165.284
91.516, 62.845, 165.265
91.853, 62.829, 165.239
92.189, 62.814, 165.202
92.525, 62.799, 165.155
92.862, 62.783, 165.105
93.198, 62.766, 165.055
93.535, 62.749, 165.006
93.871, 62.733, 164.957
94.208, 62.716, 164.906
94.544, 62.698, 164.853
94.881, 62.680, 164.800
95.217, 62.662, 164.750
95.554, 62.643, 164.705
95.890, 62.624, 164.667
96.227, 62.606, 164.631
96.563, 62.589, 164.596
96.899, 62.572, 164.558
97.236, 62.555, 164.517
97.572, 62.537, 164.478
97.909, 62.519, 164.444
98.245, 62.501, 164.417
98.582, 62.484, 164.394
98.918, 62.468, 164.371
99.255, 62.453, 164.344
99.591, 62.439, 164.310
99.928, 62.423, 164.270
100.264, 62.407, 164.229
100.600, 62.389, 164.191
100.937, 62.371, 164.160
101.273, 62.353, 164.134
101.610, 62.336, 164.112
101.946, 62.319, 164.089
102.283, 62.304, 164.062
102.619, 62.288, 164.030
102.956, 62.272, 163.993
103.292, 62.255, 163.953
103.629, 62.237, 163.912
103.965, 62.218, 163.874
104.301, 62.198, 163.841
104.638, 62.178, 163.815
104.974, 62.159, 163.798
105.311, 62.140, 163.787
105.647, 62.123, 163.779
105.984, 62.107, 163.770
106.320, 62.092, 163.756
106.657, 62.077, 163.737
106.993, 62.062, 163.713
107.330, 62.046, 163.689
107.666, 62.030, 163.666
108.002, 62.015, 163.647
108.339, 61.999, 163.628
108.675, 61.984, 163.608
109.012, 61.970, 163.583
109.348, 61.955, 163.553
109.685, 61.939, 163.520
110.021, 61.921, 163.488
110.358, 61.903, 163.461
110.694, 61.883, 163.444
111.031, 61.864, 163.435
111.367, 61.846, 163.433
111.703, 61.828, 163.435
112.040, 61.812, 163.436
112.376, 61.796, 163.434
112.713, 61.781, 163.428
113.049, 61.766, 163.417
113.386, 61.751, 163.401
113.722, 61.736, 163.380
114.059, 61.720, 163.356
114.395, 61.703, 163.331
114.732, 61.686, 163.309
115.068, 61.668, 163.292
115.405, 61.650, 163.282
115.741, 61.632, 163.277
116.077, 61.615, 163.277
116.414, 61.598, 163.279
116.750, 61.582, 163.283
117.087, 61.567, 163.290
117.423, 61.552, 163.300
117.760, 61.538, 163.312
118.096, 61.525, 163.321
118.433, 61.513, 163.322
118.769, 61.501, 163.309
119.106, 61.488, 163.283
119.442, 61.472, 163.250
119.778, 61.452, 163.223
120.115, 61.430, 163.211
120.451, 61.406, 163.223
120.788, 61.384, 163.255
121.124, 61.363, 163.302
121.461, 61.345, 163.351
121.797, 61.329, 163.395
122.134, 61.314, 163.429
122.470, 61.298, 163.453
122.807, 61.282, 163.473
123.143, 61.265, 163.493
123.479, 61.248, 163.515
123.816, 61.231, 163.540
124.152, 61.214, 163.565
124.489, 61.198, 163.590
124.825, 61.182, 163.613
125.162, 61.167, 163.634
125.498, 61.151, 163.654
125.835, 61.135, 163.673
126.171, 61.119, 163.692
126.508, 61.103, 163.713
126.844, 61.087, 163.737
127.180, 61.070, 163.764
127.517, 61.054, 163.795
127.853, 61.037, 163.830
128.190, 61.021, 163.869
128.526, 61.005, 163.910
128.863, 60.989, 163.955
129.199, 60.974, 164.001
129.536, 60.959, 164.048
129.872, 60.944, 164.095
130.209, 60.929, 164.141
130.545, 60.914, 164.186
130.882, 60.899, 164.229
131.218, 60.884, 164.272
131.554, 60.869, 164.316
131.891, 60.854, 164.361
132.227, 60.840, 164.407
132.564, 60.825, 164.454
132.900, 60.812, 164.501
133.237, 60.799, 164.545
133.573, 60.787, 164.584
133.910, 60.776, 164.618
134.246, 60.765, 164.646
134.583, 60.753, 164.668
134.919, 60.742, 164.687
135.255, 60.729, 164.706
135.592, 60.716, 164.729
135.928, 60.702, 164.756
136.265, 60.689, 164.790
136.601, 60.676, 164.829
136.938, 60.664, 164.871
137.274, 60.653, 164.914
137.611, 60.641, 164.955
137.947, 60.629, 164.998
138.284, 60.617, 165.042
138.620, 60.604, 165.092
138.956, 60.591, 165.149
