* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 6 Mar, 2023 1:25:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 6 13:25:04
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 60.365, -120.970
10.293, 60.392, -121.471
10.443, 60.419, -122.143
10.595, 60.462, -123.020
10.749, 60.506, -123.931
10.905, 60.539, -124.617
11.064, 60.568, -125.223
11.225, 60.601, -125.915
11.388, 60.635, -126.642
11.554, 60.668, -127.341
11.722, 60.699, -128.022
11.892, 60.728, -128.691
12.065, 60.756, -129.347
12.241, 60.783, -130.004
12.419, 60.809, -130.651
12.599, 60.833, -131.261
12.782, 60.858, -131.847
12.968, 60.884, -132.423
13.157, 60.912, -132.984
13.348, 60.942, -133.527
13.543, 60.974, -134.071
13.740, 61.008, -134.621
13.939, 61.043, -135.182
14.142, 61.076, -135.753
14.348, 61.108, -136.332
14.557, 61.136, -136.908
14.768, 61.161, -137.476
14.983, 61.184, -138.019
15.201, 61.206, -138.541
15.422, 61.229, -139.038
15.646, 61.254, -139.526
15.874, 61.282, -140.015
16.105, 61.310, -140.519
16.339, 61.337, -141.045
16.577, 61.359, -141.582
16.818, 61.375, -142.115
17.063, 61.383, -142.613
17.311, 61.390, -143.049
17.563, 61.400, -143.421
17.818, 61.418, -143.736
18.077, 61.452, -144.044
18.340, 61.500, -144.416
18.607, 61.555, -144.902
18.877, 61.608, -145.535
19.152, 61.644, -146.305
19.431, 61.651, -147.134
19.713, 61.628, -147.909
20.000, 61.580, -148.524
20.291, 61.522, -148.903
20.586, 61.477, -149.036
20.885, 61.461, -148.997
21.189, 61.487, -148.925
21.497, 61.546, -148.971
21.810, 61.622, -149.219
22.127, 61.695, -149.672
22.449, 61.750, -150.262
22.776, 61.783, -150.891
23.107, 61.797, -151.476
23.443, 61.801, -151.971
23.784, 61.804, -152.373
24.130, 61.812, -152.705
24.481, 61.827, -152.998
24.837, 61.852, -153.286
25.198, 61.883, -153.603
25.565, 61.918, -153.981
25.937, 61.946, -154.426
26.314, 61.962, -154.905
26.697, 61.962, -155.346
27.085, 61.953, -155.685
27.479, 61.949, -155.908
27.879, 61.960, -156.074
28.284, 61.986, -156.273
28.696, 62.018, -156.557
29.113, 62.046, -156.917
29.537, 62.065, -157.307
29.966, 62.077, -157.693
30.402, 62.085, -158.065
30.844, 62.087, -158.408
31.293, 62.087, -158.691
31.748, 62.093, -158.903
32.210, 62.115, -159.102
32.678, 62.147, -159.390
33.154, 62.173, -159.799
33.636, 62.179, -160.240
34.125, 62.168, -160.577
34.621, 62.161, -160.770
35.125, 62.173, -160.922
35.636, 62.198, -161.153
36.154, 62.217, -161.482
36.680, 62.223, -161.823
37.214, 62.221, -162.096
37.755, 62.224, -162.305
38.304, 62.238, -162.513
38.861, 62.257, -162.774
39.427, 62.272, -163.088
40.000, 62.279, -163.411
40.582, 62.282, -163.694
41.172, 62.286, -163.940
41.771, 62.294, -164.176
42.379, 62.303, -164.412
42.995, 62.312, -164.643
43.620, 62.323, -164.885
44.255, 62.332, -165.140
44.898, 62.337, -165.384
45.552, 62.344, -165.621
46.214, 62.350, -165.879
46.886, 62.352, -166.139
47.568, 62.354, -166.367
48.260, 62.363, -166.610
48.962, 62.368, -166.912
49.674, 62.361, -167.195
50.397, 62.355, -167.377
51.130, 62.366, -167.542
51.874, 62.381, -167.820
52.628, 62.379, -168.135
53.394, 62.371, -168.358
54.170, 62.370, -168.555
54.958, 62.370, -168.726
55.758, 62.390, -168.844
56.569, 62.431, -169.205
57.391, 62.429, -169.769
58.226, 62.395, -170.067
59.073, 62.390, -170.224
59.932, 62.389, -170.472
60.804, 62.387, -170.662
61.688, 62.395, -170.960
62.586, 62.371, -171.328
63.496, 62.341, -171.457
64.420, 62.344, -171.613
65.357, 62.336, -171.959
66.307, 62.310, -172.252
67.272, 62.287, -172.506
68.250, 62.257, -172.710
69.243, 62.244, -172.858
70.250, 62.226, -173.124
71.272, 62.190, -173.242
72.309, 62.179, -173.320
73.360, 62.158, -173.492
74.427, 62.138, -173.576
75.510, 62.125, -173.738
76.608, 62.106, -173.944
77.723, 62.071, -174.214
78.853, 62.019, -174.308
80.000, 61.989, -174.362
81.164, 61.953, -174.435
82.344, 61.923, -174.489
83.542, 61.885, -174.544
84.757, 61.845, -174.565
85.990, 61.800, -174.459
87.241, 61.775, -174.337
88.510, 61.745, -174.184
89.797, 61.729, -174.099
91.103, 61.680, -173.952
92.428, 61.673, -173.653
93.773, 61.653, -173.696
95.137, 61.582, -173.486
96.520, 61.544, -172.867
97.924, 61.565, -172.297
99.349, 61.601, -171.880
100.794, 61.638, -171.550
102.260, 61.693, -171.095
103.747, 61.762, -170.860
105.256, 61.832, -170.502
106.787, 61.899, -170.372
108.340, 61.980, -170.070
109.916, 62.103, -170.170
111.515, 62.223, -170.511
113.137, 62.336, -171.122
114.783, 62.392, -171.721
116.452, 62.422, -172.118
118.146, 62.436, -172.628
119.865, 62.431, -172.959
121.608, 62.482, -173.881
123.377, 62.462, -174.745
125.171, 62.453, -175.341
126.992, 62.431, -175.759
