* Measurement data measured by REW V5.19
* Source: In 1-2 (MOTU M Series), LINE_IN (Master Volume), L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 24 May, 2023 2:52:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: May 24 14:52:52
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 70.450, 54.487
10.293, 70.450, 53.777
10.443, 70.449, 52.824
10.595, 70.447, 51.580
10.749, 70.445, 50.285
10.905, 70.441, 49.305
11.064, 70.436, 48.438
11.225, 70.429, 47.452
11.388, 70.421, 46.419
11.554, 70.412, 45.432
11.722, 70.402, 44.478
11.892, 70.391, 43.546
12.065, 70.378, 42.634
12.241, 70.366, 41.716
12.419, 70.353, 40.804
12.599, 70.339, 39.929
12.782, 70.326, 39.074
12.968, 70.312, 38.217
13.157, 70.299, 37.374
13.348, 70.285, 36.556
13.543, 70.273, 35.751
13.740, 70.262, 34.957
13.939, 70.252, 34.173
14.142, 70.244, 33.398
14.348, 70.239, 32.628
14.557, 70.234, 31.856
14.768, 70.231, 31.078
14.983, 70.228, 30.298
15.201, 70.224, 29.516
15.422, 70.220, 28.733
15.646, 70.214, 27.961
15.874, 70.209, 27.203
16.105, 70.203, 26.462
16.339, 70.200, 25.738
16.577, 70.199, 25.028
16.818, 70.201, 24.325
17.063, 70.207, 23.622
17.311, 70.215, 22.915
17.563, 70.224, 22.203
17.818, 70.235, 21.488
18.077, 70.248, 20.776
18.340, 70.262, 20.069
18.607, 70.279, 19.363
18.877, 70.300, 18.653
19.152, 70.324, 17.928
19.431, 70.350, 17.180
19.713, 70.376, 16.408
20.000, 70.401, 15.618
20.291, 70.425, 14.820
20.586, 70.448, 14.020
20.885, 70.472, 13.216
21.189, 70.497, 12.396
21.497, 70.522, 11.548
21.810, 70.543, 10.675
22.127, 70.557, 9.798
22.449, 70.567, 8.953
22.776, 70.576, 8.170
23.107, 70.595, 7.446
23.443, 70.630, 6.735
23.784, 70.684, 5.958
24.130, 70.749, 5.043
24.481, 70.812, 3.966
24.837, 70.862, 2.767
25.198, 70.892, 1.532
25.565, 70.910, 0.346
25.937, 70.927, -0.762
26.314, 70.954, -1.827
26.697, 70.995, -2.923
27.085, 71.043, -4.112
27.479, 71.088, -5.396
27.879, 71.122, -6.720
28.284, 71.148, -8.017
28.696, 71.175, -9.256
29.113, 71.213, -10.467
29.537, 71.264, -11.728
29.966, 71.320, -13.106
30.402, 71.366, -14.599
30.844, 71.395, -16.135
31.293, 71.408, -17.620
31.748, 71.420, -19.019
32.210, 71.442, -20.385
32.678, 71.474, -21.810
33.154, 71.503, -23.326
33.636, 71.524, -24.889
34.125, 71.538, -26.441
34.621, 71.556, -27.993
35.125, 71.579, -29.603
35.636, 71.597, -31.289
36.154, 71.607, -33.003
36.680, 71.614, -34.706
37.214, 71.626, -36.421
37.755, 71.640, -38.195
38.304, 71.650, -40.027
38.861, 71.654, -41.877
39.427, 71.657, -43.739
40.000, 71.659, -45.630
40.582, 71.659, -47.556
41.172, 71.656, -49.499
41.771, 71.652, -51.462
42.379, 71.647, -53.453
42.995, 71.642, -55.480
43.620, 71.635, -57.551
44.255, 71.623, -59.665
44.898, 71.606, -61.795
45.552, 71.590, -63.934
46.214, 71.573, -66.127
46.886, 71.550, -68.376
47.568, 71.519, -70.621
48.260, 71.492, -72.867
48.962, 71.467, -75.192
49.674, 71.431, -77.568
50.397, 71.392, -79.920
51.130, 71.362, -82.300
51.874, 71.331, -84.768
52.628, 71.295, -87.276
53.394, 71.260, -89.844
54.170, 71.214, -92.515
54.958, 71.149, -95.161
55.758, 71.085, -97.719
56.569, 71.033, -100.318
57.391, 70.980, -103.000
58.226, 70.924, -105.726
59.073, 70.864, -108.508
59.932, 70.797, -111.316
60.804, 70.730, -114.138
61.688, 70.661, -117.015
62.586, 70.584, -119.935
63.496, 70.502, -122.868
64.420, 70.422, -125.821
65.357, 70.345, -128.860
66.307, 70.260, -131.970
67.272, 70.173, -135.087
68.250, 70.086, -138.253
69.243, 69.993, -141.461
70.250, 69.894, -144.650
71.272, 69.808, -147.913
72.309, 69.699, -151.437
73.360, 69.555, -154.761
74.427, 69.451, -158.116
75.510, 69.295, -161.531
76.608, 69.180, -164.356
77.723, 69.106, -167.578
78.853, 68.949, -170.437
80.000, 68.858, -172.818
81.164, 68.779, -175.602
82.344, 68.627, -178.250
83.542, 68.540, 179.359
84.757, 68.447, 176.163
85.990, 68.227, 173.288
87.241, 68.052, 171.145
88.510, 67.964, 168.881
89.797, 67.867, 166.054
91.103, 67.694, 163.012
92.428, 67.490, 160.086
93.773, 67.307, 157.139
95.137, 67.135, 154.090
96.520, 66.969, 151.248
97.924, 66.843, 148.461
99.349, 66.694, 145.568
100.794, 66.517, 142.760
102.260, 66.338, 139.912
103.747, 66.157, 136.936
105.256, 65.973, 133.922
106.787, 65.786, 130.941
108.340, 65.591, 128.032
109.916, 65.398, 125.113
111.515, 65.185, 122.096
113.137, 64.976, 119.134
114.783, 64.773, 116.128
116.452, 64.570, 113.113
118.146, 64.340, 109.985
119.865, 64.086, 107.161
121.608, 63.852, 104.478
123.377, 63.648, 101.975
125.171, 63.430, 99.618
126.992, 63.205, 97.525
128.839, 62.989, 95.521
130.713, 62.774, 93.412
132.615, 62.562, 91.358
134.543, 62.366, 89.281
136.500, 62.157, 87.088
138.486, 61.894, 85.217
140.500, 61.684, 83.158
142.544, 61.401, 80.800
144.617, 61.145, 79.269
146.721, 61.020, 77.580
148.855, 60.809, 75.410
151.020, 60.558, 73.864
153.217, 60.319, 72.088
155.445, 60.068, 70.382
157.706, 59.855, 68.823
160.000, 59.659, 67.155
162.327, 59.447, 65.546
164.688, 59.193, 64.169
167.084, 58.994, 63.027
169.514, 58.793, 61.845
171.980, 58.647, 61.208
174.481, 58.553, 60.484
177.019, 58.467, 59.384
179.594, 58.415, 58.364
182.206, 58.419, 57.317
184.856, 58.486, 56.211
