* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 8 Mar, 2023 4:47:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 8 16:47:01
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 65.218, -88.814
10.293, 65.287, -89.558
10.443, 65.359, -90.562
10.595, 65.467, -91.878
10.749, 65.578, -93.251
10.905, 65.660, -94.299
11.064, 65.730, -95.229
11.225, 65.808, -96.277
11.388, 65.889, -97.367
11.554, 65.966, -98.403
11.722, 66.041, -99.402
11.892, 66.116, -100.378
12.065, 66.192, -101.335
12.241, 66.270, -102.310
12.419, 66.349, -103.291
12.599, 66.427, -104.255
12.782, 66.504, -105.218
12.968, 66.581, -106.207
13.157, 66.656, -107.201
13.348, 66.728, -108.188
13.543, 66.797, -109.173
13.740, 66.863, -110.153
13.939, 66.927, -111.120
14.142, 66.989, -112.073
14.348, 67.051, -113.010
14.557, 67.111, -113.938
14.768, 67.172, -114.861
14.983, 67.233, -115.781
15.201, 67.292, -116.701
15.422, 67.350, -117.625
15.646, 67.406, -118.549
15.874, 67.459, -119.468
16.105, 67.510, -120.381
16.339, 67.559, -121.281
16.577, 67.606, -122.169
16.818, 67.653, -123.043
17.063, 67.699, -123.908
17.311, 67.745, -124.768
17.563, 67.791, -125.625
17.818, 67.836, -126.481
18.077, 67.879, -127.336
18.340, 67.922, -128.189
18.607, 67.962, -129.039
18.877, 68.002, -129.884
19.152, 68.040, -130.723
19.431, 68.076, -131.555
19.713, 68.112, -132.378
20.000, 68.146, -133.188
20.291, 68.181, -133.986
20.586, 68.216, -134.775
20.885, 68.252, -135.561
21.189, 68.288, -136.355
21.497, 68.324, -137.161
21.810, 68.357, -137.974
22.127, 68.386, -138.781
22.449, 68.411, -139.567
22.776, 68.436, -140.323
23.107, 68.463, -141.058
23.443, 68.494, -141.794
23.784, 68.527, -142.554
24.130, 68.557, -143.348
24.481, 68.580, -144.160
24.837, 68.595, -144.958
25.198, 68.605, -145.715
25.565, 68.614, -146.426
25.937, 68.627, -147.112
26.314, 68.642, -147.802
26.697, 68.657, -148.505
27.085, 68.669, -149.210
27.479, 68.678, -149.900
27.879, 68.689, -150.573
28.284, 68.701, -151.251
28.696, 68.713, -151.950
29.113, 68.721, -152.659
29.537, 68.723, -153.345
29.966, 68.725, -153.989
30.402, 68.733, -154.609
30.844, 68.746, -155.249
