* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 8 Mar, 2023 4:30:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 8 16:30:33
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 63.443, -91.626
10.293, 63.503, -92.337
10.443, 63.566, -93.293
10.595, 63.666, -94.544
10.749, 63.771, -95.855
10.905, 63.855, -96.869
11.064, 63.932, -97.786
11.225, 64.016, -98.846
11.388, 64.103, -99.974
11.554, 64.183, -101.074
11.722, 64.259, -102.159
11.892, 64.331, -103.229
12.065, 64.399, -104.287
12.241, 64.466, -105.348
12.419, 64.529, -106.400
12.599, 64.591, -107.408
12.782, 64.650, -108.392
12.968, 64.711, -109.375
13.157, 64.772, -110.345
13.348, 64.832, -111.295
13.543, 64.894, -112.243
13.740, 64.955, -113.193
13.939, 65.016, -114.146
14.142, 65.076, -115.102
14.348, 65.135, -116.060
14.557, 65.191, -117.019
14.768, 65.246, -117.980
14.983, 65.297, -118.932
15.201, 65.346, -119.876
15.422, 65.393, -120.809
15.646, 65.439, -121.726
15.874, 65.484, -122.629
16.105, 65.528, -123.519
16.339, 65.573, -124.401
16.577, 65.619, -125.280
16.818, 65.664, -126.160
17.063, 65.709, -127.046
17.311, 65.751, -127.938
17.563, 65.791, -128.830
17.818, 65.828, -129.716
18.077, 65.861, -130.585
18.340, 65.891, -131.429
18.607, 65.922, -132.246
18.877, 65.953, -133.037
19.152, 65.986, -133.813
19.431, 66.023, -134.589
19.713, 66.062, -135.380
20.000, 66.099, -136.193
20.291, 66.135, -137.029
20.586, 66.164, -137.881
20.885, 66.187, -138.732
21.189, 66.203, -139.565
21.497, 66.213, -140.362
21.810, 66.220, -141.112
22.127, 66.227, -141.812
22.449, 66.236, -142.466
22.776, 66.251, -143.090
23.107, 66.273, -143.707
23.443, 66.302, -144.346
23.784, 66.335, -145.033
24.130, 66.368, -145.781
24.481, 66.395, -146.586
24.837, 66.412, -147.419
25.198, 66.419, -148.240
25.565, 66.420, -149.016
25.937, 66.419, -149.733
26.314, 66.423, -150.410
26.697, 66.433, -151.084
27.085, 66.448, -151.795
27.479, 66.459, -152.547
27.879, 66.461, -153.307
28.284, 66.456, -154.019
28.696, 66.451, -154.652
29.113, 66.456, -155.233
29.537, 66.473, -155.843
