* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 14 Mar, 2023 4:54:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 14 16:54:56
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 68.378, 44.790
10.293, 68.390, 44.002
10.443, 68.403, 42.940
10.595, 68.423, 41.544
10.749, 68.442, 40.081
10.905, 68.454, 38.950
11.064, 68.461, 37.932
11.225, 68.468, 36.774
11.388, 68.471, 35.557
11.554, 68.471, 34.391
11.722, 68.466, 33.259
11.892, 68.459, 32.158
12.065, 68.448, 31.085
12.241, 68.437, 30.017
12.419, 68.426, 28.964
12.599, 68.414, 27.958
12.782, 68.403, 26.976
12.968, 68.393, 25.989
13.157, 68.384, 25.008
13.348, 68.376, 24.039
13.543, 68.368, 23.065
13.740, 68.359, 22.084
13.939, 68.348, 21.099
14.142, 68.336, 20.113
14.348, 68.320, 19.129
14.557, 68.301, 18.151
14.768, 68.280, 17.180
14.983, 68.256, 16.226
15.201, 68.230, 15.289
15.422, 68.202, 14.367
15.646, 68.173, 13.464
15.874, 68.144, 12.575
16.105, 68.116, 11.697
16.339, 68.087, 10.824
16.577, 68.059, 9.954
16.818, 68.031, 9.084
17.063, 68.001, 8.210
17.311, 67.970, 7.337
17.563, 67.937, 6.467
17.818, 67.902, 5.603
18.077, 67.867, 4.750
18.340, 67.830, 3.908
18.607, 67.794, 3.072
18.877, 67.757, 2.241
19.152, 67.720, 1.411
19.431, 67.681, 0.583
19.713, 67.640, -0.233
20.000, 67.598, -1.029
20.291, 67.556, -1.797
20.586, 67.516, -2.539
20.885, 67.480, -3.271
21.189, 67.449, -4.017
21.497, 67.420, -4.798
21.810, 67.386, -5.619
22.127, 67.344, -6.460
22.449, 67.291, -7.282
22.776, 67.229, -8.043
23.107, 67.165, -8.722
23.443, 67.104, -9.329
23.784, 67.052, -9.903
24.130, 67.008, -10.490
24.481, 66.966, -11.116
24.837, 66.921, -11.783
25.198, 66.868, -12.469
25.565, 66.807, -13.143
25.937, 66.741, -13.779
26.314, 66.672, -14.357
26.697, 66.609, -14.879
27.085, 66.558, -15.386
27.479, 66.521, -15.957
27.879, 66.487, -16.672
28.284, 66.435, -17.530
28.696, 66.350, -18.402
29.113, 66.236, -19.083
29.537, 66.125, -19.446
29.966, 66.057, -19.604
30.402, 66.044, -19.850
30.844, 66.053, -20.427
31.293, 66.033, -21.286
31.748, 65.964, -22.135
32.210, 65.873, -22.722
32.678, 65.802, -23.073
33.154, 65.767, -23.434
33.636, 65.741, -23.982
34.125, 65.693, -24.643
34.621, 65.624, -25.238
35.125, 65.553, -25.711
35.636, 65.493, -26.157
36.154, 65.434, -26.650
36.680, 65.369, -27.152
37.214, 65.302, -27.617
37.755, 65.241, -28.077
38.304, 65.181, -28.573
38.861, 65.117, -29.081
39.427, 65.052, -29.559
40.000, 64.990, -30.016
40.582, 64.932, -30.487
41.172, 64.872, -30.961
41.771, 64.812, -31.414
42.379, 64.753, -31.850
42.995, 64.695, -32.295
43.620, 64.634, -32.744
44.255, 64.570, -33.169
44.898, 64.508, -33.570
45.552, 64.450, -33.982
46.214, 64.390, -34.418
46.886, 64.327, -34.850
47.568, 64.266, -35.277
48.260, 64.204, -35.717
48.962, 64.140, -36.145
49.674, 64.077, -36.544
50.397, 64.017, -36.949
51.130, 63.956, -37.356
51.874, 63.896, -37.751
52.628, 63.838, -38.175
53.394, 63.775, -38.614
54.170, 63.711, -39.040
54.958, 63.643, -39.492
55.758, 63.564, -39.863
56.569, 63.502, -40.079
57.391, 63.469, -40.372
58.226, 63.429, -40.831
59.073, 63.369, -41.221
59.932, 63.322, -41.525
60.804, 63.281, -41.947
61.688, 63.218, -42.393
62.586, 63.153, -42.735
63.496, 63.095, -43.112
64.420, 63.031, -43.474
65.357, 62.977, -43.826
66.307, 62.919, -44.240
67.272, 62.861, -44.581
68.250, 62.813, -44.971
69.243, 62.754, -45.373
70.250, 62.700, -45.739
71.272, 62.642, -46.140
72.309, 62.583, -46.509
73.360, 62.528, -46.908
74.427, 62.469, -47.307
75.510, 62.410, -47.689
76.608, 62.355, -48.032
77.723, 62.305, -48.403
78.853, 62.249, -48.787
80.000, 62.192, -49.143
81.164, 62.135, -49.511
82.344, 62.075, -49.864
83.542, 62.018, -50.211
84.757, 61.962, -50.570
