* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 13 Mar, 2023 1:07:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 13 13:07:11
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 55.891, -65.066
10.293, 56.005, -65.622
10.443, 56.124, -66.390
10.595, 56.303, -67.419
10.749, 56.487, -68.518
10.905, 56.626, -69.414
11.064, 56.745, -70.251
11.225, 56.873, -71.186
11.388, 57.000, -72.164
11.554, 57.117, -73.094
11.722, 57.225, -73.989
11.892, 57.327, -74.841
12.065, 57.425, -75.652
12.241, 57.524, -76.435
12.419, 57.622, -77.185
12.599, 57.721, -77.882
12.782, 57.821, -78.546
12.968, 57.927, -79.202
13.157, 58.038, -79.852
13.348, 58.152, -80.495
13.543, 58.271, -81.162
13.740, 58.393, -81.857
13.939, 58.517, -82.595
14.142, 58.639, -83.377
14.348, 58.757, -84.207
14.557, 58.868, -85.069
14.768, 58.970, -85.954
14.983, 59.060, -86.825
15.201, 59.141, -87.655
15.422, 59.214, -88.419
15.646, 59.286, -89.089
15.874, 59.363, -89.672
16.105, 59.450, -90.176
16.339, 59.555, -90.656
16.577, 59.677, -91.163
16.818, 59.813, -91.748
17.063, 59.957, -92.464
17.311, 60.097, -93.316
17.563, 60.225, -94.282
17.818, 60.334, -95.323
18.077, 60.420, -96.362
18.340, 60.487, -97.331
18.607, 60.543, -98.191
18.877, 60.597, -98.923
19.152, 60.659, -99.546
19.431, 60.736, -100.115
19.713, 60.827, -100.690
20.000, 60.928, -101.318
20.291, 61.034, -102.021
20.586, 61.137, -102.795
20.885, 61.232, -103.614
21.189, 61.318, -104.444
21.497, 61.396, -105.251
21.810, 61.470, -106.014
22.127, 61.542, -106.723
22.449, 61.618, -107.379
22.776, 61.700, -108.000
23.107, 61.792, -108.615
23.443, 61.890, -109.260
23.784, 61.990, -109.957
24.130, 62.086, -110.706
24.481, 62.171, -111.470
24.837, 62.245, -112.198
25.198, 62.313, -112.854
25.565, 62.384, -113.441
25.937, 62.462, -114.007
26.314, 62.544, -114.602
26.697, 62.621, -115.245
27.085, 62.687, -115.898
27.479, 62.744, -116.503
27.879, 62.801, -117.038
28.284, 62.867, -117.550
28.696, 62.941, -118.112
29.113, 63.015, -118.762
29.537, 63.081, -119.465
29.966, 63.138, -120.158
30.402, 63.197, -120.826
30.844, 63.259, -121.507
31.293, 63.318, -122.217
31.748, 63.367, -122.870
32.210, 63.418, -123.341
32.678, 63.503, -123.650
33.154, 63.640, -124.031
33.636, 63.798, -124.759
34.125, 63.917, -125.810
34.621, 63.969, -126.806
35.125, 63.992, -127.364
35.636, 64.057, -127.574
36.154, 64.181, -127.965
36.680, 64.292, -128.865
37.214, 64.308, -129.968
37.755, 64.242, -130.602
38.304, 64.196, -130.548
38.861, 64.249, -130.375
39.427, 64.357, -130.717
40.000, 64.427, -131.576
40.582, 64.434, -132.447
41.172, 64.429, -133.079
41.771, 64.449, -133.621
42.379, 64.485, -134.242
42.995, 64.522, -134.891
43.620, 64.566, -135.496
44.255, 64.621, -136.097
44.898, 64.677, -136.713
45.552, 64.730, -137.304
46.214, 64.780, -137.850
46.886, 64.827, -138.368
47.568, 64.870, -138.861
48.260, 64.910, -139.340
48.962, 64.949, -139.836
49.674, 64.983, -140.368
50.397, 65.010, -140.912
51.130, 65.039, -141.441
51.874, 65.073, -141.993
52.628, 65.106, -142.590
53.394, 65.132, -143.157
54.170, 65.163, -143.664
54.958, 65.198, -144.164
55.758, 65.231, -144.660
56.569, 65.262, -145.132
57.391, 65.291, -145.608
58.226, 65.314, -146.076
59.073, 65.337, -146.528
59.932, 65.360, -146.989
60.804, 65.380, -147.438
61.688, 65.407, -147.853
62.586, 65.444, -148.313
63.496, 65.474, -148.812
64.420, 65.504, -149.239
65.357, 65.548, -149.704
66.307, 65.581, -150.271
67.272, 65.598, -150.769
68.250, 65.619, -151.200
69.243, 65.647, -151.652
70.250, 65.673, -152.165
