* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 7 Feb, 2023 4:02:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 7 16:02:24
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 64.530, -91.684
10.293, 64.576, -92.362
10.443, 64.625, -93.266
10.595, 64.703, -94.437
10.749, 64.788, -95.658
10.905, 64.861, -96.586
11.064, 64.931, -97.423
11.225, 65.010, -98.420
11.388, 65.093, -99.503
11.554, 65.171, -100.583
11.722, 65.246, -101.674
11.892, 65.316, -102.770
12.065, 65.382, -103.871
12.241, 65.444, -104.982
12.419, 65.502, -106.088
12.599, 65.557, -107.146
12.782, 65.611, -108.173
12.968, 65.667, -109.191
13.157, 65.724, -110.191
13.348, 65.784, -111.168
13.543, 65.847, -112.147
13.740, 65.912, -113.133
13.939, 65.977, -114.131
14.142, 66.042, -115.138
14.348, 66.105, -116.154
14.557, 66.164, -117.171
14.768, 66.220, -118.184
14.983, 66.273, -119.176
15.201, 66.323, -120.145
15.422, 66.371, -121.086
15.646, 66.419, -121.998
15.874, 66.469, -122.889
16.105, 66.520, -123.765
16.339, 66.574, -124.642
16.577, 66.628, -125.529
16.818, 66.681, -126.432
17.063, 66.732, -127.354
17.311, 66.777, -128.283
17.563, 66.817, -129.209
17.818, 66.852, -130.118
18.077, 66.884, -130.999
18.340, 66.916, -131.851
18.607, 66.948, -132.685
18.877, 66.983, -133.514
19.152, 67.020, -134.356
19.431, 67.056, -135.223
19.713, 67.089, -136.109
20.000, 67.118, -137.001
20.291, 67.142, -137.881
20.586, 67.163, -138.734
20.885, 67.184, -139.556
21.189, 67.207, -140.359
21.497, 67.233, -141.161
21.810, 67.261, -141.974
22.127, 67.286, -142.794
22.449, 67.309, -143.608
22.776, 67.330, -144.398
23.107, 67.352, -145.163
23.443, 67.378, -145.921
23.784, 67.407, -146.700
24.130, 67.435, -147.524
24.481, 67.455, -148.388
24.837, 67.463, -149.257
25.198, 67.460, -150.084
25.565, 67.450, -150.833
25.937, 67.442, -151.507
26.314, 67.442, -152.140
26.697, 67.450, -152.783
27.085, 67.461, -153.471
27.479, 67.469, -154.206
27.879, 67.470, -154.959
28.284, 67.464, -155.688
28.696, 67.457, -156.363
29.113, 67.454, -156.989
29.537, 67.462, -157.605
29.966, 67.478, -158.267
30.402, 67.493, -159.000
30.844, 67.498, -159.767
31.293, 67.490, -160.487
31.748, 67.481, -161.104
32.210, 67.484, -161.653
32.678, 67.500, -162.242
33.154, 67.516, -162.941
33.636, 67.516, -163.707
34.125, 67.497, -164.429
34.621, 67.473, -165.054
35.125, 67.455, -165.635
35.636, 67.443, -166.243
36.154, 67.427, -166.885
36.680, 67.409, -167.522
37.214, 67.395, -168.160
37.755, 67.384, -168.847
38.304, 67.368, -169.589
38.861, 67.340, -170.315
39.427, 67.306, -170.949
40.000, 67.278, -171.472
40.582, 67.264, -171.949
41.172, 67.258, -172.460
41.771, 67.247, -173.012
42.379, 67.226, -173.543
42.995, 67.200, -174.059
43.620, 67.165, -174.605
44.255, 67.113, -175.117
44.898, 67.064, -175.569
45.552, 67.020, -176.136
46.214, 66.944, -176.767
46.886, 66.859, -177.048
47.568, 66.859, -177.136
48.260, 66.927, -177.797
48.962, 66.933, -178.949
49.674, 66.875, -179.773
50.397, 66.845, 179.793
51.130, 66.846, 179.382
51.874, 66.852, 178.959
52.628, 66.848, 178.417
53.394, 66.790, 177.897
54.170, 66.712, 177.711
54.958, 66.661, 177.573
55.758, 66.623, 177.233
56.569, 66.568, 176.445
57.391, 66.382, 175.665
58.226, 66.229, 176.412
59.073, 66.437, 176.766
59.932, 66.569, 174.513
60.804, 66.338, 172.991
61.688, 66.225, 173.413
62.586, 66.269, 173.238
63.496, 66.240, 172.889
64.420, 66.230, 172.704
65.357, 66.198, 172.287
66.307, 66.149, 171.956
67.272, 66.106, 171.424
68.250, 66.033, 170.832
69.243, 65.961, 170.358
70.250, 65.911, 169.908
71.272, 65.863, 169.385
72.309, 65.805, 168.973
73.360, 65.756, 168.600
74.427, 65.689, 168.218
75.510, 65.621, 167.914
76.608, 65.546, 167.542
77.723, 65.464, 167.223
78.853, 65.391, 166.873
80.000, 65.318, 166.487
81.164, 65.241, 166.129
82.344, 65.173, 165.853
83.542, 65.114, 165.522
84.757, 65.038, 165.228
85.990, 64.971, 165.047
87.241, 64.901, 164.859
88.510, 64.849, 164.603
89.797, 64.747, 164.183
91.103, 64.647, 164.109
92.428, 64.561, 163.951
93.773, 64.470, 163.855
95.137, 64.373, 163.869
96.520, 64.289, 163.838
97.924, 64.166, 163.601
99.349, 63.961, 163.810
100.794, 63.884, 164.408
102.260, 63.804, 164.377
103.747, 63.712, 164.625
105.256, 63.654, 165.062
106.787, 63.594, 165.564
108.340, 63.587, 166.298
109.916, 63.611, 166.672
111.515, 63.640, 166.826
113.137, 63.693, 166.762
114.783, 63.719, 166.350
116.452, 63.703, 166.097
118.146, 63.686, 165.777
119.865, 63.597, 165.171
121.608, 63.448, 165.072
123.377, 63.364, 165.096
125.171, 63.292, 165.161
126.992, 63.265, 165.636
128.839, 63.189, 165.768
130.713, 63.084, 166.944
132.615, 63.123, 167.592
134.543, 63.124, 167.728
136.500, 63.169, 168.029
138.486, 63.260, 168.199
140.500, 63.347, 168.164
142.544, 63.411, 167.697
144.617, 63.435, 166.947
146.721, 63.428, 166.193
148.855, 63.418, 165.532
151.020, 63.352, 164.850
153.217, 63.254, 164.284
155.445, 63.151, 163.867
157.706, 63.053, 163.611
160.000, 62.954, 163.497
162.327, 62.857, 163.454
164.688, 62.771, 163.483
167.084, 62.692, 163.546
169.514, 62.620, 163.601
171.980, 62.554, 163.576
174.481, 62.490, 163.523
177.019, 62.414, 163.496
179.594, 62.343, 163.572
182.206, 62.275, 163.651
184.856, 62.209, 163.736
187.545, 62.138, 163.773
190.273, 62.065, 163.847
193.041, 62.010, 163.948
195.849, 61.957, 164.068
198.697, 61.914, 164.302
201.587, 61.850, 164.293
204.520, 61.792, 164.337
207.494, 61.736, 164.222
210.512, 61.665, 164.216
213.574, 61.587, 164.190
216.681, 61.503, 164.180
219.833, 61.421, 164.259
223.030, 61.335, 164.343
226.274, 61.255, 164.452
229.565, 61.176, 164.586
232.905, 61.084, 164.705
236.292, 60.995, 164.808
239.729, 60.910, 164.948
243.216, 60.812, 165.133
246.754, 60.704, 165.291
250.343, 60.603, 165.601
253.984, 60.501, 165.927
257.678, 60.398, 166.294
261.426, 60.300, 166.789
265.229, 60.211, 167.227
269.087, 60.131, 167.723
273.001, 60.057, 168.303
276.972, 59.987, 168.809
281.000, 59.935, 169.280
285.088, 59.878, 169.665
289.234, 59.811, 169.957
293.441, 59.743, 170.365
297.710, 59.661, 170.625
302.040, 59.575, 170.906
306.433, 59.494, 171.363
310.890, 59.391, 171.798
315.412, 59.280, 172.237
320.000, 59.173, 172.845
324.655, 59.063, 173.444
329.377, 58.952, 174.047
334.168, 58.840, 174.825
339.028, 58.731, 175.739
343.959, 58.624, 176.640
348.962, 58.514, 177.608
354.038, 58.413, 178.700
