* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 128k Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 8 Mar, 2023 3:42:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 8 15:42:55
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 69.909, -119.604
10.293, 69.908, -119.882
10.443, 69.908, -120.210
10.595, 69.922, -120.566
10.749, 69.955, -120.899
10.905, 70.017, -121.069
11.064, 70.103, -121.211
11.225, 70.205, -121.565
11.388, 70.322, -122.086
11.554, 70.438, -122.799
11.722, 70.552, -123.702
11.892, 70.643, -124.776
12.065, 70.711, -126.010
12.241, 70.744, -127.314
12.419, 70.743, -128.658
12.599, 70.710, -129.898
12.782, 70.650, -131.019
12.968, 70.576, -131.945
13.157, 70.501, -132.692
13.348, 70.439, -133.234
13.543, 70.403, -133.704
13.740, 70.398, -134.136
13.939, 70.421, -134.694
14.142, 70.464, -135.405
14.348, 70.513, -136.347
14.557, 70.552, -137.469
14.768, 70.573, -138.751
14.983, 70.567, -140.063
15.201, 70.541, -141.335
15.422, 70.500, -142.494
15.646, 70.461, -143.500
15.874, 70.433, -144.389
16.105, 70.427, -145.199
16.339, 70.443, -146.039
16.577, 70.471, -146.947
16.818, 70.504, -147.949
17.063, 70.526, -149.015
17.311, 70.535, -150.060
17.563, 70.532, -151.021
17.818, 70.523, -151.842
18.077, 70.522, -152.519
18.340, 70.537, -153.115
18.607, 70.566, -153.699
18.877, 70.603, -154.328
19.152, 70.637, -155.026
19.431, 70.655, -155.745
19.713, 70.658, -156.411
20.000, 70.650, -156.965
20.291, 70.645, -157.394
20.586, 70.653, -157.745
20.885, 70.680, -158.108
21.189, 70.720, -158.582
21.497, 70.762, -159.225
21.810, 70.790, -160.026
22.127, 70.796, -160.930
22.449, 70.775, -161.858
22.776, 70.733, -162.734
23.107, 70.678, -163.502
23.443, 70.621, -164.137
23.784, 70.575, -164.660
24.130, 70.550, -165.130
24.481, 70.547, -165.636
24.837, 70.557, -166.246
25.198, 70.566, -166.972
25.565, 70.563, -167.753
25.937, 70.546, -168.496
26.314, 70.523, -169.132
26.697, 70.506, -169.665
27.085, 70.503, -170.160
27.479, 70.506, -170.687
27.879, 70.506, -171.261
28.284, 70.496, -171.839
28.696, 70.479, -172.375
29.113, 70.460, -172.862
29.537, 70.445, -173.343
29.966, 70.431, -173.866
30.402, 70.412, -174.441
30.844, 70.383, -175.037
31.293, 70.348, -175.610
31.748, 70.313, -176.143
32.210, 70.285, -176.665
32.678, 70.264, -177.224
33.154, 70.242, -177.832
33.636, 70.214, -178.446
34.125, 70.184, -179.006
34.621, 70.158, -179.511
35.125, 70.141, 179.987
35.636, 70.124, 179.460
36.154, 70.103, 178.939
36.680, 70.082, 178.447
37.214, 70.066, 177.941
37.755, 70.045, 177.370
38.304, 70.010, 176.774
38.861, 69.964, 176.246
39.427, 69.921, 175.800
40.000, 69.889, 175.358
40.582, 69.860, 174.866
41.172, 69.826, 174.357
41.771, 69.788, 173.880
42.379, 69.753, 173.432
42.995, 69.719, 172.967
43.620, 69.675, 172.480
44.255, 69.617, 172.079
44.898, 69.566, 171.844
45.552, 69.552, 171.583
46.214, 69.547, 170.995
46.886, 69.494, 170.216
47.568, 69.405, 169.716
48.260, 69.362, 169.429
48.962, 69.354, 168.797
49.674, 69.287, 167.920
50.397, 69.173, 167.479
51.130, 69.112, 167.431
51.874, 69.101, 167.184
52.628, 69.068, 166.758
53.394, 69.023, 166.436
54.170, 68.987, 166.091
54.958, 68.936, 165.662
55.758, 68.873, 165.291
56.569, 68.814, 164.951
57.391, 68.760, 164.585
58.226, 68.710, 164.180
59.073, 68.654, 163.727
59.932, 68.589, 163.324
60.804, 68.529, 162.990
61.688, 68.472, 162.636
62.586, 68.406, 162.315
63.496, 68.346, 162.056
64.420, 68.290, 161.738
65.357, 68.226, 161.423
66.307, 68.170, 161.125
67.272, 68.106, 160.730
68.250, 68.024, 160.436
69.243, 67.955, 160.219
70.250, 67.886, 159.974
71.272, 67.826, 159.745
72.309, 67.763, 159.384
73.360, 67.680, 159.100
74.427, 67.615, 158.878
75.510, 67.544, 158.563
76.608, 67.472, 158.326
