* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 14 Mar, 2023 4:31:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 14 16:31:24
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 67.255, 46.755
10.293, 67.275, 46.215
10.443, 67.296, 45.489
10.595, 67.326, 44.537
10.749, 67.356, 43.545
10.905, 67.373, 42.794
11.064, 67.384, 42.133
11.225, 67.397, 41.399
11.388, 67.409, 40.644
11.554, 67.420, 39.939
11.722, 67.430, 39.273
11.892, 67.442, 38.632
12.065, 67.455, 38.014
12.241, 67.470, 37.389
12.419, 67.487, 36.764
12.599, 67.506, 36.152
12.782, 67.525, 35.539
12.968, 67.545, 34.902
13.157, 67.564, 34.256
13.348, 67.581, 33.608
13.543, 67.596, 32.957
13.740, 67.608, 32.304
13.939, 67.617, 31.663
14.142, 67.624, 31.037
14.348, 67.629, 30.433
14.557, 67.635, 29.847
14.768, 67.643, 29.278
14.983, 67.653, 28.717
15.201, 67.665, 28.155
15.422, 67.680, 27.580
15.646, 67.696, 26.984
15.874, 67.710, 26.367
16.105, 67.722, 25.728
16.339, 67.730, 25.082
16.577, 67.733, 24.443
16.818, 67.732, 23.822
17.063, 67.729, 23.232
17.311, 67.727, 22.672
17.563, 67.726, 22.138
17.818, 67.729, 21.618
18.077, 67.734, 21.099
18.340, 67.740, 20.578
18.607, 67.746, 20.057
18.877, 67.751, 19.546
19.152, 67.756, 19.055
19.431, 67.763, 18.588
19.713, 67.776, 18.130
20.000, 67.793, 17.657
20.291, 67.811, 17.145
20.586, 67.827, 16.587
20.885, 67.834, 15.997
21.189, 67.828, 15.420
21.497, 67.810, 14.914
21.810, 67.791, 14.516
22.127, 67.778, 14.217
22.449, 67.782, 13.962
22.776, 67.801, 13.670
23.107, 67.828, 13.280
23.443, 67.850, 12.782
23.784, 67.859, 12.223
24.130, 67.853, 11.680
24.481, 67.838, 11.204
24.837, 67.827, 10.794
25.198, 67.824, 10.401
25.565, 67.828, 9.966
25.937, 67.830, 9.470
26.314, 67.824, 8.946
26.697, 67.811, 8.446
27.085, 67.797, 7.996
27.479, 67.788, 7.579
27.879, 67.786, 7.153
28.284, 67.787, 6.696
28.696, 67.784, 6.223
29.113, 67.780, 5.763
29.537, 67.775, 5.331
29.966, 67.774, 4.908
30.402, 67.775, 4.476
30.844, 67.774, 4.035
31.293, 67.769, 3.605
31.748, 67.763, 3.206
32.210, 67.759, 2.832
32.678, 67.758, 2.455
33.154, 67.759, 2.052
33.636, 67.756, 1.619
34.125, 67.748, 1.177
34.621, 67.734, 0.756
35.125, 67.721, 0.364
35.636, 67.712, -0.022
36.154, 67.706, -0.431
36.680, 67.698, -0.866
37.214, 67.686, -1.303
37.755, 67.674, -1.726
38.304, 67.663, -2.137
38.861, 67.653, -2.546
