* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 7 Feb, 2023 4:08:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 7 16:08:30
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 80.309, 14.260
10.293, 80.286, 13.569
10.443, 80.261, 12.637
10.595, 80.222, 11.413
10.749, 80.178, 10.135
10.905, 80.142, 9.155
11.064, 80.106, 8.280
11.225, 80.064, 7.290
11.388, 80.018, 6.253
11.554, 79.971, 5.264
11.722, 79.923, 4.306
11.892, 79.874, 3.371
12.065, 79.824, 2.456
12.241, 79.772, 1.534
12.419, 79.719, 0.617
12.599, 79.667, -0.267
12.782, 79.614, -1.136
12.968, 79.560, -2.012
13.157, 79.506, -2.881
13.348, 79.451, -3.732
13.543, 79.394, -4.578
13.740, 79.337, -5.419
13.939, 79.278, -6.250
14.142, 79.219, -7.072
14.348, 79.158, -7.881
14.557, 79.096, -8.680
14.768, 79.033, -9.469
14.983, 78.970, -10.246
15.201, 78.906, -11.018
15.422, 78.842, -11.786
15.646, 78.777, -12.553
15.874, 78.710, -13.319
16.105, 78.640, -14.082
16.339, 78.567, -14.834
16.577, 78.492, -15.569
16.818, 78.413, -16.281
17.063, 78.334, -16.964
17.311, 78.255, -17.621
17.563, 78.179, -18.259
17.818, 78.104, -18.889
18.077, 78.032, -19.523
18.340, 77.959, -20.168
18.607, 77.885, -20.822
18.877, 77.808, -21.480
19.152, 77.727, -22.128
19.431, 77.645, -22.756
19.713, 77.561, -23.361
20.000, 77.479, -23.945
20.291, 77.398, -24.520
20.586, 77.318, -25.094
20.885, 77.239, -25.673
21.189, 77.158, -26.255
21.497, 77.074, -26.830
21.810, 76.989, -27.387
22.127, 76.904, -27.923
22.449, 76.820, -28.441
22.776, 76.738, -28.952
23.107, 76.657, -29.469
23.443, 76.575, -29.997
23.784, 76.491, -30.531
24.130, 76.401, -31.056
24.481, 76.307, -31.554
24.837, 76.212, -32.012
25.198, 76.118, -32.434
25.565, 76.028, -32.840
25.937, 75.941, -33.250
26.314, 75.853, -33.675
26.697, 75.762, -34.107
27.085, 75.668, -34.522
27.479, 75.572, -34.903
27.879, 75.480, -35.258
28.284, 75.393, -35.614
28.696, 75.310, -36.004
29.113, 75.225, -36.435
29.537, 75.134, -36.885
29.966, 75.036, -37.316
30.402, 74.935, -37.702
30.844, 74.837, -38.046
31.293, 74.744, -38.375
31.748, 74.655, -38.716
32.210, 74.565, -39.080
32.678, 74.472, -39.452
33.154, 74.373, -39.804
33.636, 74.272, -40.118
34.125, 74.173, -40.403
34.621, 74.076, -40.688
35.125, 73.979, -40.988
35.636, 73.876, -41.283
36.154, 73.774, -41.546
36.680, 73.677, -41.804
37.214, 73.584, -42.124
37.755, 73.480, -42.503
38.304, 73.361, -42.835
38.861, 73.242, -43.030
39.427, 73.140, -43.153
40.000, 73.052, -43.331
40.582, 72.961, -43.565
41.172, 72.862, -43.771
41.771, 72.762, -43.939
42.379, 72.656, -44.086
42.995, 72.544, -44.165
43.620, 72.436, -44.203
44.255, 72.326, -44.301
44.898, 72.194, -44.379
45.552, 72.064, -44.282
46.214, 71.972, -44.196
46.886, 71.894, -44.412
47.568, 71.785, -44.762
48.260, 71.668, -44.900
48.962, 71.601, -44.915
49.674, 71.577, -45.128
50.397, 71.551, -45.520
51.130, 71.515, -45.853
51.874, 71.478, -46.158
52.628, 71.398, -46.328
53.394, 71.311, -45.821
54.170, 71.353, -45.146
54.958, 71.423, -45.565
55.758, 71.316, -46.459
56.569, 71.120, -46.725
57.391, 70.933, -46.859
58.226, 70.712, -46.825
59.073, 70.555, -46.467
59.932, 70.464, -46.566
60.804, 70.354, -46.859
61.688, 70.268, -47.136
62.586, 70.175, -47.497
63.496, 70.085, -47.614
64.420, 70.018, -47.781
65.357, 69.920, -47.985
66.307, 69.800, -48.046
67.272, 69.672, -47.995
68.250, 69.557, -47.911
69.243, 69.449, -47.938
70.250, 69.342, -48.016
71.272, 69.236, -48.099
72.309, 69.136, -48.111
73.360, 69.044, -48.120
74.427, 68.948, -48.101
75.510, 68.849, -48.062
76.608, 68.744, -48.051
77.723, 68.634, -48.052
78.853, 68.527, -48.055
80.000, 68.427, -48.102
81.164, 68.322, -48.141
82.344, 68.218, -48.068
83.542, 68.120, -47.968
84.757, 68.029, -47.844
85.990, 67.932, -47.898
87.241, 67.827, -47.968
88.510, 67.693, -48.206
89.797, 67.568, -47.911
91.103, 67.522, -47.990
92.428, 67.412, -48.124
93.773, 67.314, -48.032
95.137, 67.211, -48.008
96.520, 67.101, -47.993
97.924, 66.986, -48.112
99.349, 66.845, -48.285
100.794, 66.698, -48.231
102.260, 66.572, -48.120
103.747, 66.451, -47.997
105.256, 66.316, -47.876
106.787, 66.178, -47.729
108.340, 66.036, -47.572
109.916, 65.895, -47.416
111.515, 65.755, -47.194
113.137, 65.625, -46.930
114.783, 65.487, -46.698
116.452, 65.337, -46.386
118.146, 65.184, -46.071
119.865, 65.029, -45.716
121.608, 64.877, -45.336
123.377, 64.729, -44.929
125.171, 64.574, -44.485
126.992, 64.418, -43.959
128.839, 64.257, -43.331
130.713, 64.111, -42.741
132.615, 63.931, -42.062
134.543, 63.773, -41.273
136.500, 63.592, -40.460
138.486, 63.407, -39.374
140.500, 63.255, -38.047
142.544, 63.114, -36.569
144.617, 62.979, -34.841
146.721, 62.866, -32.780
148.855, 62.821, -30.368
151.020, 62.887, -28.099
153.217, 63.044, -25.932
155.445, 63.321, -24.183
157.706, 63.664, -23.279
160.000, 63.992, -23.283
162.327, 64.267, -24.039
164.688, 64.443, -25.255
167.084, 64.507, -26.606
169.514, 64.493, -27.804
171.980, 64.426, -28.755
174.481, 64.342, -29.412
177.019, 64.251, -29.892
179.594, 64.146, -30.229
182.206, 64.040, -30.488
184.856, 63.932, -30.743
187.545, 63.821, -30.914
190.273, 63.708, -30.933
193.041, 63.592, -30.856
195.849, 63.472, -30.811
198.697, 63.362, -30.752
201.587, 63.255, -30.575
204.520, 63.158, -30.350
207.494, 63.053, -30.200
210.512, 62.937, -30.065
213.574, 62.821, -29.872
216.681, 62.698, -29.631
219.833, 62.569, -29.335
223.030, 62.442, -28.985
226.274, 62.313, -28.565
229.565, 62.184, -28.093
232.905, 62.059, -27.569
236.292, 61.940, -26.992
239.729, 61.819, -26.377
243.216, 61.712, -25.694
246.754, 61.608, -24.979
250.343, 61.504, -24.224
253.984, 61.414, -23.459
257.678, 61.335, -22.669
261.426, 61.256, -21.951
265.229, 61.182, -21.225
269.087, 61.113, -20.515
273.001, 61.044, -19.797
276.972, 60.969, -19.123
281.000, 60.900, -18.441
285.088, 60.827, -17.732
289.234, 60.747, -17.016
293.441, 60.675, -16.219
297.710, 60.608, -15.408
302.040, 60.532, -14.665
306.433, 60.460, -13.863
310.890, 60.390, -13.012
315.412, 60.322, -12.149
320.000, 60.255, -11.236
324.655, 60.187, -10.341
329.377, 60.123, -9.447
334.168, 60.058, -8.452
339.028, 60.002, -7.444
343.959, 59.937, -6.358
348.962, 59.877, -5.265
354.038, 59.822, -4.127
359.188, 59.769, -2.968
364.412, 59.721, -1.718
369.713, 59.676, -0.385
375.090, 59.642, 1.042
380.546, 59.615, 2.566
386.081, 59.613, 4.172
391.697, 59.633, 5.876
397.395, 59.682, 7.597
403.175, 59.774, 9.297
409.039, 59.899, 10.912
414.989, 60.050, 12.367
421.025, 60.218, 13.577
427.149, 60.402, 14.576
433.362, 60.585, 15.345
439.665, 60.755, 15.875
446.060, 60.912, 16.243
452.548, 61.048, 16.521
459.131, 61.158, 16.750
465.809, 61.249, 16.902
472.584, 61.322, 17.121
479.458, 61.378, 17.409
486.432, 61.432, 17.762
493.507, 61.485, 18.167
500.686, 61.535, 18.655
507.968, 61.594, 19.153
515.357, 61.660, 19.680
522.853, 61.733, 20.179
530.458, 61.817, 20.629
538.174, 61.900, 21.029
546.002, 61.979, 21.375
553.943, 62.055, 21.660
562.001, 62.124, 21.922
570.175, 62.185, 22.167
578.469, 62.243, 22.417
586.883, 62.296, 22.670
595.419, 62.342, 22.946
604.080, 62.385, 23.222
612.866, 62.427, 23.527
621.780, 62.467, 23.845
630.824, 62.505, 24.182
640.000, 62.540, 24.555
649.309, 62.576, 24.952
658.753, 62.611, 25.385
668.335, 62.652, 25.844
678.056, 62.699, 26.319
687.919, 62.751, 26.810
697.925, 62.807, 27.273
708.076, 62.869, 27.725
718.376, 62.933, 28.157
728.825, 62.995, 28.550
739.426, 63.060, 28.926
750.181, 63.123, 29.253
761.093, 63.183, 29.588
772.163, 63.243, 29.895
783.394, 63.300, 30.162
794.789, 63.338, 30.490
806.349, 63.386, 30.928
818.078, 63.446, 31.308
829.977, 63.500, 31.636
842.050, 63.544, 31.989
854.297, 63.592, 32.417
866.724, 63.649, 32.850
879.330, 63.709, 33.273
892.120, 63.769, 33.684
905.097, 63.831, 34.091
918.262, 63.894, 34.498
931.618, 63.957, 34.896
945.169, 64.021, 35.298
958.917, 64.087, 35.692
972.864, 64.154, 36.086
987.015, 64.222, 36.472
1001.371, 64.293, 36.854
1015.937, 64.364, 37.236
1030.714, 64.435, 37.613
1045.706, 64.507, 37.978
1060.916, 64.580, 38.341
1076.347, 64.653, 38.699
1092.003, 64.727, 39.053
1107.887, 64.803, 39.400
1124.001, 64.880, 39.740
1140.350, 64.958, 40.080
1156.937, 65.037, 40.406
1173.765, 65.117, 40.724
1190.838, 65.198, 41.035
1208.159, 65.278, 41.336
1225.732, 65.359, 41.627
1243.561, 65.440, 41.911
1261.649, 65.521, 42.182
1280.000, 65.602, 42.446
1298.618, 65.682, 42.701
1317.507, 65.761, 42.951
1336.670, 65.839, 43.191
1356.113, 65.916, 43.430
1375.838, 65.992, 43.668
1395.850, 66.065, 43.903
1416.153, 66.138, 44.146
1436.751, 66.210, 44.398
1457.649, 66.282, 44.664
1478.851, 66.354, 44.945
1500.362, 66.427, 45.230
1522.185, 66.500, 45.527
1544.326, 66.575, 45.834
1566.789, 66.651, 46.148
1589.578, 66.728, 46.471
1612.699, 66.805, 46.799
1636.156, 66.885, 47.143
1659.955, 66.964, 47.505
1684.099, 67.046, 47.885
1708.595, 67.131, 48.280
1733.447, 67.219, 48.692
1758.661, 67.312, 49.119
1784.241, 67.409, 49.554
1810.193, 67.511, 49.994
1836.523, 67.618, 50.437
1863.236, 67.729, 50.886
1890.338, 67.845, 51.341
1917.833, 67.967, 51.804
1945.729, 68.096, 52.268
1974.030, 68.231, 52.731
2002.743, 68.375, 53.193
2031.873, 68.526, 53.644
2061.428, 68.687, 54.080
2091.412, 68.857, 54.495
2121.832, 69.037, 54.878
2152.695, 69.227, 55.226
2184.007, 69.427, 55.529
2215.774, 69.637, 55.775
2248.003, 69.856, 55.961
2280.701, 70.084, 56.066
2313.874, 70.319, 56.093
2347.530, 70.563, 56.029
2381.676, 70.813, 55.863
2416.318, 71.068, 55.582
2451.464, 71.327, 55.184
2487.122, 71.587, 54.655
2523.298, 71.846, 53.988
2560.000, 72.101, 53.180
2597.236, 72.350, 52.227
2635.014, 72.588, 51.130
2673.341, 72.812, 49.899
2712.226, 73.019, 48.545
2751.676, 73.204, 47.086
2791.700, 73.365, 45.549
2832.306, 73.501, 43.965
2873.503, 73.609, 42.376
2915.299, 73.690, 40.822
2957.703, 73.746, 39.346
3000.724, 73.783, 37.987
3044.370, 73.806, 36.784
3088.652, 73.825, 35.767
3133.577, 73.849, 34.950
3179.156, 73.888, 34.335
3225.398, 73.958, 33.896
3272.312, 74.075, 33.585
3319.909, 74.253, 33.304
3368.198, 74.505, 32.907
3417.190, 74.841, 32.175
3466.894, 75.255, 30.806
3517.321, 75.716, 28.458
3568.482, 76.156, 24.833
3620.387, 76.472, 19.892
3673.046, 76.560, 14.071
3726.472, 76.371, 8.239
3780.675, 75.944, 3.293
3835.666, 75.380, -0.266
3891.457, 74.784, -2.409
3948.060, 74.236, -3.391
4005.486, 73.779, -3.549
4063.747, 73.430, -3.195
4122.855, 73.193, -2.589
4182.824, 73.066, -1.945
4243.664, 73.043, -1.465
4305.390, 73.117, -1.353
4368.013, 73.272, -1.842
4431.547, 73.480, -3.192
4496.005, 73.684, -5.669
4561.401, 73.795, -9.401
4627.749, 73.691, -14.115
4695.061, 73.274, -18.886
4763.352, 72.555, -22.341
4832.637, 71.680, -23.456
4902.929, 70.864, -22.142
4974.244, 70.279, -19.151
5046.596, 69.987, -15.573
5120.000, 69.947, -12.336
5194.472, 70.071, -9.915
5270.027, 70.279, -8.434
5346.682, 70.511, -7.806
5424.451, 70.725, -7.867
5503.352, 70.898, -8.398
5583.399, 71.023, -9.203
5664.612, 71.100, -10.115
5747.006, 71.136, -10.987
5830.598, 71.146, -11.731
5915.406, 71.146, -12.315
6001.447, 71.149, -12.732
6088.740, 71.166, -13.002
6177.303, 71.208, -13.163
6267.154, 71.284, -13.301
6358.312, 71.393, -13.486
6450.796, 71.538, -13.801
6544.625, 71.713, -14.344
6639.818, 71.908, -15.173
6736.397, 72.114, -16.392
6834.380, 72.302, -18.047
6933.789, 72.450, -20.086
7034.643, 72.538, -22.427
7136.964, 72.558, -24.933
7240.773, 72.499, -27.509
7346.093, 72.353, -30.008
7452.944, 72.119, -32.251
7561.350, 71.805, -34.013
7671.332, 71.443, -35.092
7782.915, 71.078, -35.518
7896.120, 70.721, -35.397
8010.971, 70.381, -34.706
8127.493, 70.081, -33.490
8245.711, 69.836, -31.818
8365.647, 69.660, -29.795
8487.328, 69.562, -27.532
8610.779, 69.549, -25.139
8736.026, 69.629, -22.755
8863.095, 69.808, -20.557
8992.011, 70.089, -18.867
9122.803, 70.382, -18.044
9255.497, 70.702, -17.381
9390.121, 71.093, -17.821
9526.704, 71.412, -19.597
9665.273, 71.563, -22.419
9805.857, 71.473, -25.705
9948.487, 71.123, -28.598
10093.191, 70.570, -30.282
10240.000, 69.929, -30.314
10388.944, 69.328, -28.764
10540.055, 68.859, -26.036
10693.363, 68.596, -22.689
10848.902, 68.521, -19.722
11006.703, 68.547, -17.382
11166.799, 68.624, -15.805
11329.224, 68.692, -15.018
11494.012, 68.705, -14.910
11661.195, 68.633, -15.326
11830.812, 68.454, -16.119
12002.895, 68.144, -17.105
12177.480, 67.684, -18.030
12354.606, 67.070, -18.571
12534.309, 66.318, -18.385
12716.624, 65.466, -17.188
12901.592, 64.562, -14.817
13089.250, 63.663, -11.262
13279.637, 62.816, -6.608
13472.794, 62.060, -1.008
13668.760, 61.415, 5.415
13867.577, 60.912, 12.551
14069.285, 60.585, 20.231
14273.928, 60.468, 28.168
14481.547, 60.596, 35.970
14692.186, 60.985, 43.080
14905.889, 61.620, 48.808
15122.700, 62.444, 52.398
15342.664, 63.351, 53.040
15565.829, 64.143, 49.936
15792.239, 64.491, 43.058
16021.942, 64.074, 34.374
16254.986, 62.828, 27.474
16491.422, 61.121, 25.097
16731.295, 59.328, 26.526
16974.656, 57.667, 31.555
17221.559, 56.331, 38.416
17472.053, 55.260, 46.028
17726.189, 54.394, 54.136
17984.021, 53.725, 62.552
18245.605, 53.266, 71.047
18510.994, 53.039, 79.395
18780.242, 53.074, 87.228
19053.408, 53.398, 94.023
19330.547, 54.009, 99.011
19611.715, 54.836, 101.124
19896.975, 55.600, 99.933
