* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 6 Mar, 2023 3:48:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 6 15:48:01
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 64.346, 85.091
10.293, 64.411, 84.314
10.443, 64.479, 83.269
10.595, 64.583, 81.898
10.749, 64.690, 80.466
10.905, 64.773, 79.366
11.064, 64.845, 78.380
11.225, 64.926, 77.254
11.388, 65.010, 76.067
11.554, 65.090, 74.917
11.722, 65.166, 73.790
11.892, 65.240, 72.675
12.065, 65.312, 71.569
12.241, 65.383, 70.447
12.419, 65.453, 69.321
12.599, 65.520, 68.226
12.782, 65.586, 67.143
12.968, 65.651, 66.049
13.157, 65.715, 64.961
13.348, 65.777, 63.889
13.543, 65.838, 62.819
13.740, 65.898, 61.749
13.939, 65.956, 60.683
14.142, 66.013, 59.622
14.348, 66.067, 58.567
14.557, 66.120, 57.519
14.768, 66.171, 56.480
14.983, 66.221, 55.456
15.201, 66.269, 54.446
15.422, 66.317, 53.448
15.646, 66.366, 52.462
15.874, 66.415, 51.481
16.105, 66.465, 50.500
16.339, 66.514, 49.514
16.577, 66.563, 48.521
16.818, 66.609, 47.522
17.063, 66.653, 46.522
17.311, 66.695, 45.526
17.563, 66.733, 44.540
17.818, 66.771, 43.567
18.077, 66.807, 42.604
18.340, 66.844, 41.644
18.607, 66.880, 40.684
18.877, 66.915, 39.718
19.152, 66.947, 38.748
19.431, 66.976, 37.781
19.713, 67.003, 36.826
20.000, 67.028, 35.885
20.291, 67.054, 34.955
20.586, 67.080, 34.025
20.885, 67.107, 33.082
21.189, 67.132, 32.118
21.497, 67.152, 31.140
21.810, 67.166, 30.169
22.127, 67.173, 29.234
22.449, 67.180, 28.352
22.776, 67.191, 27.519
23.107, 67.209, 26.706
23.443, 67.236, 25.873
23.784, 67.266, 24.990
24.130, 67.294, 24.055
24.481, 67.315, 23.092
24.837, 67.329, 22.139
25.198, 67.338, 21.218
25.565, 67.348, 20.328
25.937, 67.360, 19.447
26.314, 67.373, 18.556
26.697, 67.383, 17.656
27.085, 67.388, 16.765
27.479, 67.392, 15.902
27.879, 67.396, 15.067
28.284, 67.403, 14.235
28.696, 67.412, 13.386
29.113, 67.417, 12.518
29.537, 67.418, 11.651
29.966, 67.416, 10.807
30.402, 67.415, 9.982
30.844, 67.416, 9.155
31.293, 67.416, 8.311
31.748, 67.413, 7.460
32.210, 67.407, 6.621
32.678, 67.401, 5.800
33.154, 67.397, 4.979
33.636, 67.394, 4.139
34.125, 67.387, 3.282
34.621, 67.375, 2.433
35.125, 67.361, 1.608
35.636, 67.348, 0.801
36.154, 67.337, -0.005
36.680, 67.326, -0.819
37.214, 67.313, -1.635
37.755, 67.299, -2.444
38.304, 67.287, -3.251
38.861, 67.274, -4.069
39.427, 67.260, -4.902
40.000, 67.242, -5.732
40.582, 67.221, -6.538
41.172, 67.202, -7.321
41.771, 67.186, -8.108
42.379, 67.168, -8.911
42.995, 67.148, -9.709
43.620, 67.129, -10.497
44.255, 67.109, -11.300
44.898, 67.084, -12.110
45.552, 67.055, -12.880
46.214, 67.033, -13.617
46.886, 67.017, -14.397
47.568, 66.996, -15.236
48.260, 66.967, -16.060
48.962, 66.938, -16.848
49.674, 66.912, -17.647
50.397, 66.883, -18.461
51.130, 66.851, -19.264
51.874, 66.817, -20.054
52.628, 66.782, -20.819
53.394, 66.750, -21.574
54.170, 66.718, -22.346
54.958, 66.684, -23.107
55.758, 66.652, -23.865
56.569, 66.617, -24.660
57.391, 66.574, -25.414
58.226, 66.540, -26.116
59.073, 66.513, -26.889
59.932, 66.475, -27.695
60.804, 66.434, -28.446
61.688, 66.400, -29.191
62.586, 66.368, -29.972
63.496, 66.335, -30.787
64.420, 66.297, -31.616
65.357, 66.255, -32.439
66.307, 66.211, -33.249
67.272, 66.166, -34.042
68.250, 66.120, -34.816
69.243, 66.076, -35.589
70.250, 66.028, -36.379
71.272, 65.978, -37.143
72.309, 65.931, -37.913
73.360, 65.883, -38.703
74.427, 65.834, -39.512
75.510, 65.778, -40.314
76.608, 65.723, -41.063
77.723, 65.672, -41.811
78.853, 65.623, -42.566
80.000, 65.571, -43.365
81.164, 65.512, -44.160
82.344, 65.451, -44.937
83.542, 65.390, -45.689
84.757, 65.335, -46.445
85.990, 65.277, -47.216
87.241, 65.217, -47.947
88.510, 65.161, -48.686
89.797, 65.099, -49.442
91.103, 65.039, -50.175
92.428, 64.976, -50.965
93.773, 64.908, -51.705
95.137, 64.846, -52.452
96.520, 64.774, -53.186
97.924, 64.712, -53.878
