* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 7 Feb, 2023 4:16:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 7 16:16:11
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 68.736, -107.931
10.293, 68.775, -108.670
10.443, 68.815, -109.668
10.595, 68.878, -110.980
10.749, 68.942, -112.354
10.905, 68.989, -113.417
11.064, 69.029, -114.372
11.225, 69.073, -115.455
11.388, 69.117, -116.591
11.554, 69.157, -117.680
11.722, 69.195, -118.736
11.892, 69.231, -119.771
12.065, 69.266, -120.787
12.241, 69.303, -121.814
12.419, 69.339, -122.841
12.599, 69.375, -123.841
12.782, 69.410, -124.831
12.968, 69.444, -125.837
13.157, 69.478, -126.841
13.348, 69.510, -127.831
13.543, 69.540, -128.816
13.740, 69.569, -129.797
13.939, 69.597, -130.766
14.142, 69.624, -131.725
14.348, 69.650, -132.673
14.557, 69.675, -133.614
14.768, 69.699, -134.552
14.983, 69.723, -135.483
15.201, 69.745, -136.411
15.422, 69.765, -137.335
15.646, 69.783, -138.251
15.874, 69.799, -139.157
16.105, 69.814, -140.052
16.339, 69.827, -140.934
16.577, 69.839, -141.803
16.818, 69.850, -142.660
17.063, 69.860, -143.509
17.311, 69.869, -144.350
17.563, 69.878, -145.185
17.818, 69.886, -146.015
18.077, 69.893, -146.841
18.340, 69.899, -147.663
18.607, 69.903, -148.481
18.877, 69.905, -149.293
19.152, 69.906, -150.096
19.431, 69.905, -150.888
19.713, 69.903, -151.665
20.000, 69.901, -152.431
20.291, 69.900, -153.187
20.586, 69.899, -153.941
20.885, 69.898, -154.697
21.189, 69.896, -155.457
21.497, 69.892, -156.215
21.810, 69.885, -156.961
22.127, 69.876, -157.685
22.449, 69.869, -158.386
22.776, 69.863, -159.076
23.107, 69.860, -159.770
23.443, 69.858, -160.486
23.784, 69.853, -161.226
24.130, 69.841, -161.973
24.481, 69.822, -162.699
24.837, 69.799, -163.377
25.198, 69.776, -164.000
25.565, 69.759, -164.589
25.937, 69.747, -165.182
26.314, 69.739, -165.808
26.697, 69.727, -166.470
27.085, 69.708, -167.142
27.479, 69.684, -167.787
27.879, 69.659, -168.393
28.284, 69.636, -168.978
28.696, 69.616, -169.572
29.113, 69.595, -170.185
29.537, 69.569, -170.794
29.966, 69.541, -171.370
30.402, 69.517, -171.919
30.844, 69.497, -172.478
31.293, 69.475, -173.071
31.748, 69.444, -173.660
32.210, 69.409, -174.175
32.678, 69.382, -174.604
33.154, 69.375, -175.040
33.636, 69.375, -175.603
34.125, 69.361, -176.295
34.621, 69.320, -176.977
35.125, 69.267, -177.511
35.636, 69.225, -177.926
36.154, 69.197, -178.368
36.680, 69.167, -178.894
37.214, 69.124, -179.413
37.755, 69.081, -179.848
38.304, 69.052, 179.720
38.861, 69.026, 179.174
39.427, 68.983, 178.579
40.000, 68.929, 178.081
40.582, 68.888, 177.673
41.172, 68.859, 177.212
41.771, 68.824, 176.694
42.379, 68.782, 176.241
42.995, 68.749, 175.836
43.620, 68.717, 175.373
44.255, 68.669, 174.925
44.898, 68.619, 174.594
45.552, 68.580, 174.258
46.214, 68.529, 173.850
46.886, 68.463, 173.563
47.568, 68.422, 173.364
48.260, 68.400, 172.928
48.962, 68.343, 172.337
49.674, 68.273, 171.964
50.397, 68.249, 171.625
51.130, 68.232, 170.942
51.874, 68.159, 170.278
52.628, 68.090, 170.132
53.394, 68.110, 170.056
54.170, 68.145, 169.464
54.958, 68.107, 168.780
55.758, 68.048, 168.414
56.569, 67.989, 168.042
57.391, 67.889, 167.768
58.226, 67.800, 167.811
59.073, 67.748, 167.719
59.932, 67.680, 167.454
60.804, 67.614, 167.210
61.688, 67.554, 166.864
62.586, 67.489, 166.510
63.496, 67.429, 166.221
64.420, 67.384, 165.977
65.357, 67.347, 165.615
66.307, 67.275, 165.241
67.272, 67.203, 165.124
68.250, 67.155, 164.938
69.243, 67.092, 164.680
70.250, 67.035, 164.458
71.272, 66.979, 164.165
72.309, 66.919, 163.893
73.360, 66.858, 163.635
74.427, 66.792, 163.434
75.510, 66.730, 163.260
76.608, 66.663, 163.071
77.723, 66.598, 162.907
78.853, 66.536, 162.687
80.000, 66.467, 162.472
81.164, 66.404, 162.342
82.344, 66.349, 162.169
83.542, 66.278, 162.025
84.757, 66.209, 161.950
85.990, 66.134, 161.835
87.241, 66.060, 161.652
88.510, 65.951, 161.546
89.797, 65.903, 161.650
91.103, 65.853, 161.339
92.428, 65.780, 161.150
93.773, 65.701, 160.981
95.137, 65.631, 160.979
96.520, 65.606, 160.740
97.924, 65.516, 160.378
99.349, 65.455, 160.192
100.794, 65.313, 160.182
102.260, 65.247, 160.649
103.747, 65.170, 160.801
105.256, 65.092, 160.946
106.787, 65.002, 160.921
