* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 7 Feb, 2023 3:36:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 7 15:36:59
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 68.580, 65.078
10.293, 68.613, 64.330
10.443, 68.647, 63.325
10.595, 68.697, 62.005
10.749, 68.748, 60.628
10.905, 68.781, 59.579
11.064, 68.807, 58.647
11.225, 68.837, 57.599
11.388, 68.867, 56.507
11.554, 68.894, 55.468
11.722, 68.920, 54.464
11.892, 68.945, 53.479
12.065, 68.970, 52.510
12.241, 68.996, 51.522
12.419, 69.022, 50.529
12.599, 69.045, 49.558
12.782, 69.067, 48.594
12.968, 69.087, 47.616
13.157, 69.104, 46.646
13.348, 69.118, 45.697
13.543, 69.131, 44.765
13.740, 69.142, 43.848
13.939, 69.153, 42.951
14.142, 69.164, 42.071
14.348, 69.176, 41.204
14.557, 69.190, 40.339
14.768, 69.203, 39.472
14.983, 69.217, 38.601
15.201, 69.229, 37.726
15.422, 69.238, 36.848
15.646, 69.245, 35.976
15.874, 69.250, 35.117
16.105, 69.253, 34.274
16.339, 69.255, 33.449
16.577, 69.258, 32.640
16.818, 69.261, 31.840
17.063, 69.264, 31.040
17.311, 69.267, 30.237
17.563, 69.268, 29.430
17.818, 69.266, 28.625
18.077, 69.259, 27.833
18.340, 69.250, 27.066
18.607, 69.238, 26.329
18.877, 69.227, 25.624
19.152, 69.216, 24.943
19.431, 69.208, 24.273
19.713, 69.201, 23.604
20.000, 69.193, 22.932
20.291, 69.183, 22.262
20.586, 69.172, 21.599
20.885, 69.160, 20.948
21.189, 69.148, 20.302
21.497, 69.136, 19.646
21.810, 69.122, 18.971
22.127, 69.102, 18.283
22.449, 69.074, 17.610
22.776, 69.038, 16.991
23.107, 69.003, 16.455
23.443, 68.977, 15.993
23.784, 68.966, 15.547
24.130, 68.971, 15.037
24.481, 68.981, 14.406
24.837, 68.981, 13.659
25.198, 68.963, 12.864
25.565, 68.925, 12.119
25.937, 68.879, 11.488
26.314, 68.837, 10.969
26.697, 68.807, 10.498
27.085, 68.786, 10.010
27.479, 68.764, 9.486
27.879, 68.737, 8.959
28.284, 68.706, 8.473
28.696, 68.677, 8.029
29.113, 68.655, 7.587
29.537, 68.636, 7.102
29.966, 68.610, 6.574
30.402, 68.576, 6.043
30.844, 68.536, 5.554
31.293, 68.499, 5.111
31.748, 68.469, 4.678
32.210, 68.445, 4.209
32.678, 68.422, 3.688
33.154, 68.394, 3.140
33.636, 68.361, 2.612
34.125, 68.326, 2.134
34.621, 68.297, 1.702
35.125, 68.273, 1.288
35.636, 68.251, 0.871
36.154, 68.227, 0.451
36.680, 68.196, 0.044
37.214, 68.156, -0.318
37.755, 68.113, -0.612
38.304, 68.075, -0.865
38.861, 68.043, -1.177
39.427, 68.005, -1.604
40.000, 67.947, -2.078
40.582, 67.879, -2.484
41.172, 67.823, -2.853
41.771, 67.781, -3.288
42.379, 67.741, -3.785
42.995, 67.705, -4.259
43.620, 67.679, -4.705
44.255, 67.657, -5.102
44.898, 67.642, -5.378
45.552, 67.643, -5.592
46.214, 67.635, -5.844
46.886, 67.594, -5.908
47.568, 67.573, -5.565
48.260, 67.645, -5.373
48.962, 67.723, -6.245
49.674, 67.609, -7.816
50.397, 67.319, -8.295
51.130, 67.200, -7.529
51.874, 67.296, -8.226
52.628, 67.121, -10.408
53.394, 66.702, -9.962
54.170, 66.792, -7.548
54.958, 67.186, -8.364
55.758, 67.136, -10.753
56.569, 66.902, -10.607
57.391, 66.917, -9.782
58.226, 66.917, -9.867
59.073, 66.849, -9.639
59.932, 66.819, -9.593
60.804, 66.730, -9.884
61.688, 66.621, -10.047
62.586, 66.518, -10.260
63.496, 66.430, -10.250
64.420, 66.423, -10.256
65.357, 66.427, -10.676
66.307, 66.384, -11.057
67.272, 66.340, -11.236
68.250, 66.282, -11.432
69.243, 66.210, -11.481
70.250, 66.158, -11.590
71.272, 66.090, -11.823
72.309, 66.026, -11.948
73.360, 65.980, -12.133
74.427, 65.920, -12.279
75.510, 65.871, -12.257
76.608, 65.835, -12.343
77.723, 65.770, -12.484
78.853, 65.701, -12.483
80.000, 65.655, -12.498
81.164, 65.620, -12.633
82.344, 65.576, -12.875
83.542, 65.508, -13.000
84.757, 65.447, -13.009
85.990, 65.377, -12.997
87.241, 65.312, -13.049
88.510, 65.216, -13.062
89.797, 65.165, -12.955
91.103, 65.106, -13.164
92.428, 65.018, -13.270
93.773, 64.924, -13.255
95.137, 64.847, -12.996
96.520, 64.842, -13.062
97.924, 64.790, -13.317
99.349, 64.725, -13.783
100.794, 64.557, -13.337
102.260, 64.537, -12.640
103.747, 64.492, -12.354
105.256, 64.408, -12.197
106.787, 64.315, -11.884
108.340, 64.245, -11.718
109.916, 64.173, -11.438
111.515, 64.130, -11.225
113.137, 64.058, -10.932
114.783, 63.994, -10.542
116.452, 63.913, -10.238
118.146, 63.839, -9.917
119.865, 63.762, -9.693
121.608, 63.691, -9.389
123.377, 63.616, -8.982
125.171, 63.515, -8.410
126.992, 63.408, -7.505
128.839, 63.326, -6.634
130.713, 63.229, -5.609
132.615, 63.207, -4.361
134.543, 63.218, -3.009
136.500, 63.274, -1.691
138.486, 63.360, -0.352
140.500, 63.507, 0.606
142.544, 63.672, 1.169
144.617, 63.852, 1.389
146.721, 63.999, 1.320
148.855, 64.083, 1.047
151.020, 64.096, 0.684
153.217, 64.069, 0.742
155.445, 64.075, 1.076
157.706, 64.112, 1.655
160.000, 64.205, 2.284
162.327, 64.345, 2.655
164.688, 64.507, 2.676
167.084, 64.666, 2.391
169.514, 64.798, 1.809
171.980, 64.888, 1.046
174.481, 64.950, 0.217
177.019, 64.978, -0.659
179.594, 64.966, -1.445
