* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 20 Mar, 2023 11:51:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Mar 20 11:51:20
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 62.761, -109.248
10.293, 62.792, -109.858
10.443, 62.824, -110.675
10.595, 62.874, -111.742
10.749, 62.926, -112.852
10.905, 62.965, -113.691
11.064, 63.000, -114.432
11.225, 63.038, -115.276
11.388, 63.078, -116.160
11.554, 63.115, -117.006
11.722, 63.151, -117.825
11.892, 63.186, -118.627
12.065, 63.220, -119.414
12.241, 63.255, -120.209
12.419, 63.289, -121.002
12.599, 63.321, -121.766
12.782, 63.353, -122.517
12.968, 63.385, -123.273
13.157, 63.416, -124.020
13.348, 63.446, -124.749
13.543, 63.476, -125.470
13.740, 63.505, -126.182
13.939, 63.533, -126.883
14.142, 63.561, -127.573
14.348, 63.589, -128.253
14.557, 63.617, -128.926
14.768, 63.644, -129.592
14.983, 63.672, -130.250
15.201, 63.698, -130.902
15.422, 63.725, -131.549
15.646, 63.750, -132.188
15.874, 63.775, -132.820
16.105, 63.799, -133.444
16.339, 63.823, -134.059
16.577, 63.846, -134.664
16.818, 63.869, -135.260
17.063, 63.891, -135.846
17.311, 63.914, -136.424
17.563, 63.937, -136.995
17.818, 63.960, -137.560
18.077, 63.982, -138.121
18.340, 64.005, -138.679
18.607, 64.027, -139.234
18.877, 64.048, -139.785
19.152, 64.068, -140.327
19.431, 64.088, -140.859
19.713, 64.107, -141.379
20.000, 64.126, -141.888
20.291, 64.146, -142.390
20.586, 64.167, -142.887
20.885, 64.188, -143.383
21.189, 64.208, -143.877
21.497, 64.228, -144.369
21.810, 64.246, -144.853
22.127, 64.264, -145.328
22.449, 64.282, -145.793
22.776, 64.299, -146.247
23.107, 64.318, -146.694
23.443, 64.336, -147.136
23.784, 64.356, -147.577
24.130, 64.375, -148.018
24.481, 64.393, -148.461
24.837, 64.411, -148.901
25.198, 64.426, -149.332
25.565, 64.441, -149.750
25.937, 64.457, -150.153
26.314, 64.474, -150.544
26.697, 64.493, -150.933
27.085, 64.513, -151.328
27.479, 64.533, -151.732
27.879, 64.553, -152.143
28.284, 64.571, -152.554
28.696, 64.589, -152.960
29.113, 64.605, -153.362
29.537, 64.622, -153.758
29.966, 64.638, -154.148
30.402, 64.654, -154.532
30.844, 64.670, -154.911
31.293, 64.686, -155.287
31.748, 64.702, -155.659
32.210, 64.718, -156.027
32.678, 64.733, -156.391
33.154, 64.748, -156.749
33.636, 64.762, -157.099
34.125, 64.777, -157.441
34.621, 64.792, -157.782
35.125, 64.808, -158.133
35.636, 64.821, -158.491
36.154, 64.830, -158.838
36.680, 64.839, -159.153
37.214, 64.853, -159.451
37.755, 64.871, -159.768
38.304, 64.888, -160.119
38.861, 64.899, -160.475
39.427, 64.909, -160.800
40.000, 64.922, -161.102
40.582, 64.938, -161.415
41.172, 64.954, -161.742
41.771, 64.968, -162.057
42.379, 64.984, -162.356
42.995, 65.004, -162.668
43.620, 65.023, -163.005
44.255, 65.040, -163.347
44.898, 65.055, -163.687
45.552, 65.069, -164.031
46.214, 65.080, -164.375
46.886, 65.090, -164.705
47.568, 65.101, -165.028
48.260, 65.111, -165.354
48.962, 65.121, -165.677
49.674, 65.132, -165.999
50.397, 65.142, -166.330
51.130, 65.148, -166.649
51.874, 65.156, -166.942
52.628, 65.167, -167.250
53.394, 65.174, -167.572
54.170, 65.178, -167.858
54.958, 65.191, -168.143
55.758, 65.202, -168.502
56.569, 65.200, -168.863
57.391, 65.197, -169.138
58.226, 65.205, -169.390
59.073, 65.218, -169.702
59.932, 65.225, -170.038
60.804, 65.228, -170.340
61.688, 65.235, -170.627
62.586, 65.242, -170.922
63.496, 65.248, -171.219
64.420, 65.254, -171.513
