* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 8 May, 2023 5:32:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: May 8 17:32:34
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 66.498, -100.050
10.293, 66.550, -100.789
10.443, 66.605, -101.781
10.595, 66.690, -103.079
10.749, 66.779, -104.434
10.905, 66.847, -105.469
11.064, 66.907, -106.395
11.225, 66.974, -107.457
11.388, 67.043, -108.580
11.554, 67.109, -109.668
11.722, 67.171, -110.736
11.892, 67.229, -111.792
12.065, 67.286, -112.837
12.241, 67.340, -113.892
12.419, 67.393, -114.945
12.599, 67.443, -115.960
12.782, 67.492, -116.956
12.968, 67.540, -117.954
13.157, 67.588, -118.941
13.348, 67.635, -119.908
13.543, 67.683, -120.872
13.740, 67.730, -121.835
13.939, 67.776, -122.798
14.142, 67.821, -123.760
14.348, 67.865, -124.721
14.557, 67.906, -125.679
14.768, 67.946, -126.635
14.983, 67.984, -127.581
15.201, 68.020, -128.517
15.422, 68.055, -129.443
15.646, 68.089, -130.359
15.874, 68.123, -131.268
16.105, 68.155, -132.173
16.339, 68.187, -133.075
16.577, 68.218, -133.975
16.818, 68.247, -134.872
17.063, 68.274, -135.762
17.311, 68.299, -136.642
17.563, 68.323, -137.509
17.818, 68.346, -138.364
18.077, 68.369, -139.207
18.340, 68.393, -140.043
18.607, 68.416, -140.878
18.877, 68.440, -141.716
19.152, 68.462, -142.558
19.431, 68.482, -143.404
19.713, 68.499, -144.250
20.000, 68.513, -145.087
20.291, 68.524, -145.909
20.586, 68.533, -146.710
20.885, 68.542, -147.488
21.189, 68.551, -148.245
21.497, 68.563, -148.993
21.810, 68.577, -149.745
22.127, 68.591, -150.515
22.449, 68.603, -151.307
22.776, 68.611, -152.113
23.107, 68.611, -152.914
23.443, 68.606, -153.683
23.784, 68.599, -154.404
24.130, 68.594, -155.077
24.481, 68.595, -155.729
24.837, 68.602, -156.393
25.198, 68.612, -157.098
25.565, 68.618, -157.845
25.937, 68.617, -158.608
26.314, 68.608, -159.348
26.697, 68.597, -160.041
27.085, 68.588, -160.695
27.479, 68.585, -161.344
27.879, 68.585, -162.019
28.284, 68.582, -162.727
28.696, 68.573, -163.443
29.113, 68.559, -164.133
29.537, 68.544, -164.785
29.966, 68.532, -165.418
30.402, 68.523, -166.063
30.844, 68.512, -166.728
31.293, 68.496, -167.390
31.748, 68.476, -168.014
32.210, 68.457, -168.593
32.678, 68.446, -169.157
33.154, 68.440, -169.750
33.636, 68.433, -170.389
34.125, 68.418, -171.054
34.621, 68.397, -171.701
35.125, 68.372, -172.306
35.636, 68.350, -172.878
36.154, 68.331, -173.447
36.680, 68.312, -174.031
37.214, 68.291, -174.623
37.755, 68.268, -175.208
38.304, 68.245, -175.784
38.861, 68.221, -176.364
39.427, 68.193, -176.941
40.000, 68.164, -177.494
40.582, 68.136, -178.027
41.172, 68.111, -178.570
41.771, 68.083, -179.131
42.379, 68.051, -179.683
42.995, 68.019, 179.779
43.620, 67.985, 179.234
44.255, 67.946, 178.707
44.898, 67.907, 178.243
45.552, 67.881, 177.787
46.214, 67.858, 177.243
46.886, 67.822, 176.652
47.568, 67.778, 176.133
48.260, 67.742, 175.655
48.962, 67.708, 175.127
49.674, 67.666, 174.630
50.397, 67.637, 174.214
51.130, 67.627, 173.647
51.874, 67.589, 172.855
52.628, 67.499, 172.234
53.394, 67.423, 171.981
54.170, 67.391, 171.713
54.958, 67.360, 171.251
55.758, 67.313, 170.800
56.569, 67.267, 170.373
57.391, 67.217, 169.944
58.226, 67.172, 169.544
59.073, 67.128, 169.054
59.932, 67.062, 168.584
60.804, 67.004, 168.262
61.688, 66.962, 167.867
62.586, 66.907, 167.424
63.496, 66.853, 167.051
64.420, 66.805, 166.646
65.357, 66.753, 166.239
66.307, 66.701, 165.824
67.272, 66.642, 165.425
68.250, 66.590, 165.068
69.243, 66.539, 164.627
70.250, 66.473, 164.172
71.272, 66.399, 163.755
72.309, 66.323, 163.383
73.360, 66.247, 163.024
74.427, 66.174, 162.719
75.510, 66.116, 162.364
76.608, 66.045, 161.950
77.723, 65.977, 161.604
78.853, 65.905, 161.207
80.000, 65.825, 160.880
81.164, 65.746, 160.553
82.344, 65.664, 160.264
83.542, 65.587, 159.959
84.757, 65.505, 159.622
85.990, 65.420, 159.316
87.241, 65.334, 159.024
88.510, 65.248, 158.776
89.797, 65.161, 158.542
91.103, 65.081, 158.298
92.428, 64.976, 157.960
93.773, 64.873, 157.883
95.137, 64.792, 157.658
96.520, 64.700, 157.432
97.924, 64.612, 157.206
99.349, 64.518, 156.927
100.794, 64.412, 156.767
102.260, 64.314, 156.625
103.747, 64.214, 156.517
105.256, 64.105, 156.344
106.787, 63.986, 156.275
108.340, 63.882, 156.129
109.916, 63.743, 155.929
111.515, 63.621, 156.030
113.137, 63.515, 156.057
114.783, 63.417, 156.084
116.452, 63.299, 156.073
118.146, 63.175, 156.089
119.865, 63.040, 156.138
121.608, 62.924, 156.175
123.377, 62.808, 156.142
125.171, 62.684, 156.212
126.992, 62.600, 156.572
128.839, 62.518, 156.750
130.713, 62.337, 156.889
132.615, 62.190, 157.238
134.543, 61.978, 157.410
136.500, 61.832, 157.659
138.486, 61.657, 158.075
140.500, 61.619, 158.702
142.544, 61.367, 159.098
144.617, 61.296, 160.438
146.721, 61.155, 160.545
148.855, 61.007, 161.599
151.020, 60.911, 162.389
153.217, 60.768, 163.582
155.445, 60.709, 164.876
157.706, 60.684, 165.684
160.000, 60.637, 166.342
162.327, 60.581, 167.088
164.688, 60.510, 167.790
167.084, 60.443, 168.688
169.514, 60.371, 169.536
171.980, 60.296, 170.638
174.481, 60.261, 171.623
177.019, 60.225, 172.563
179.594, 60.214, 173.607
182.206, 60.205, 174.575
184.856, 60.176, 175.535
187.545, 60.164, 176.644
190.273, 60.172, 177.779
193.041, 60.194, 179.079
195.849, 60.247, -179.590
198.697, 60.333, -178.377
201.587, 60.448, -177.343
204.520, 60.586, -176.538
207.494, 60.735, -175.889
210.512, 60.889, -175.426
213.574, 61.036, -175.139
216.681, 61.165, -175.087
219.833, 61.278, -175.176
223.030, 61.372, -175.443
226.274, 61.430, -175.813
229.565, 61.471, -176.102
232.905, 61.494, -176.367
236.292, 61.485, -176.526
239.729, 61.478, -176.716
243.216, 61.476, -176.837
246.754, 61.459, -176.739
250.343, 61.437, -176.848
253.984, 61.386, -176.914
257.678, 61.379, -176.687
261.426, 61.349, -176.706
265.229, 61.287, -176.438
269.087, 61.261, -176.180
273.001, 61.228, -176.004
276.972, 61.190, -175.659
281.000, 61.161, -175.264
285.088, 61.141, -175.064
289.234, 61.101, -174.819
293.441, 61.094, -174.418
297.710, 61.055, -174.251
302.040, 61.038, -174.333
306.433, 61.048, -173.836
310.890, 60.970, -173.415
315.412, 60.975, -173.165
320.000, 60.927, -172.432
324.655, 60.860, -172.371
329.377, 60.802, -171.944
334.168, 60.738, -171.590
339.028, 60.711, -171.105
343.959, 60.663, -170.502
348.962, 60.625, -169.971
354.038, 60.574, -169.467
359.188, 60.526, -168.843
364.412, 60.474, -168.186
369.713, 60.409, -167.483
375.090, 60.352, -166.659
380.546, 60.285, -165.640
386.081, 60.231, -164.616
391.697, 60.186, -163.428
397.395, 60.153, -162.068
403.175, 60.157, -160.564
409.039, 60.191, -159.031
414.989, 60.276, -157.440
421.025, 60.380, -156.046
427.149, 60.505, -154.791
433.362, 60.658, -153.656
439.665, 60.821, -152.740
446.060, 60.983, -151.949
452.548, 61.146, -151.279
459.131, 61.316, -150.818
465.809, 61.461, -150.543
472.584, 61.611, -150.157
479.458, 61.759, -149.970
486.432, 61.881, -149.895
493.507, 61.985, -149.916
500.686, 62.071, -149.911
507.968, 62.151, -149.820
515.357, 62.217, -149.736
522.853, 62.275, -149.593
530.458, 62.326, -149.376
538.174, 62.381, -149.127
546.002, 62.438, -148.840
553.943, 62.499, -148.515
562.001, 62.567, -148.176
570.175, 62.643, -147.859
578.469, 62.722, -147.562
586.883, 62.802, -147.308
595.419, 62.880, -147.092
604.080, 62.955, -146.904
612.866, 63.026, -146.728
621.780, 63.095, -146.578
