* Measurement data measured by REW V5.20.7
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 04-Dec-2023 17:29:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiR Audio e12 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.427	54.8442
20.299999	90.471	53.8082
20.600000	90.513	52.8085
20.900000	90.556	51.8415
21.200001	90.599	50.8956
21.400000	90.629	50.2676
21.799999	90.686	49.0103
22.000000	90.712	48.3820
22.400000	90.757	47.1439
22.700001	90.784	46.2571
23.000000	90.809	45.4268
23.299999	90.835	44.6511
23.600000	90.867	43.9082
24.000000	90.917	42.9177
24.299999	90.958	42.1375
24.700001	91.005	41.0365
25.000000	91.030	40.1946
25.400000	91.047	39.1177
25.799999	91.054	38.1571
26.200001	91.067	37.3116
26.500000	91.084	36.7094
26.900000	91.118	35.8798
27.200001	91.145	35.2058
27.600000	91.174	34.2418
28.000000	91.188	33.2625
28.500000	91.187	32.1251
29.000000	91.184	31.1299
29.500000	91.193	30.2167
30.000000	91.211	29.2920
30.400000	91.226	28.5193
30.700001	91.234	27.9296
31.100000	91.240	27.1548
31.500000	91.241	26.4136
32.000000	91.242	25.5464
32.500000	91.246	24.7272
33.000000	91.253	23.9225
33.500000	91.261	23.1129
34.000000	91.265	22.3036
34.500000	91.266	21.5131
35.000000	91.265	20.7520
35.500000	91.264	20.0136
36.000000	91.263	19.2848
36.500000	91.262	18.5592
37.000000	91.260	17.8381
37.500000	91.257	17.1227
38.200001	91.251	16.1286
38.700001	91.243	15.4279
39.500000	91.225	14.3590
40.000000	91.214	13.7382
40.599998	91.204	13.0291
41.200001	91.198	12.3237
41.799999	91.193	11.6014
42.500000	91.180	10.7573
43.099998	91.165	10.0633
43.700001	91.149	9.4011
44.400002	91.131	8.6493
45.000000	91.118	8.0052
45.500000	91.107	7.4587
46.200001	91.088	6.6725
46.799999	91.066	5.9961
47.500000	91.032	5.2505
48.200001	90.996	4.5838
48.700001	90.972	4.1564
49.400002	90.949	3.6032
50.000000	90.938	3.1296
50.799999	90.928	2.4420
51.500000	90.913	1.8085
52.200001	90.892	1.2014
53.000000	90.866	0.5421
53.799999	90.839	-0.1130
54.500000	90.812	-0.6719
55.200001	90.784	-1.2114
56.000000	90.753	-1.8297
57.000000	90.710	-2.6080
58.000000	90.664	-3.3500
59.000000	90.622	-4.0646
