* Measurement data measured by REW V5.20.7
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 17-Jul-2023 13:41:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nostalgia Tesseract R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	82.002	-95.1173
20.299999	82.093	-96.1782
20.600000	82.172	-97.2456
20.900000	82.238	-98.2718
21.200001	82.293	-99.2048
21.400000	82.330	-99.7649
21.799999	82.410	-100.7714
22.000000	82.456	-101.2465
22.400000	82.560	-102.2152
22.700001	82.640	-102.9934
23.000000	82.714	-103.8125
23.299999	82.777	-104.6359
23.600000	82.832	-105.4305
24.000000	82.896	-106.4129
24.299999	82.943	-107.0953
24.700001	83.008	-107.9645
25.000000	83.058	-108.6077
25.400000	83.123	-109.4621
25.799999	83.185	-110.3005
26.200001	83.245	-111.1129
26.500000	83.291	-111.7104
26.900000	83.352	-112.5048
27.200001	83.397	-113.1046
27.600000	83.455	-113.9048
28.000000	83.510	-114.6910
28.500000	83.576	-115.6428
29.000000	83.642	-116.5765
29.500000	83.706	-117.5081
30.000000	83.763	-118.4189
30.400000	83.806	-119.1098
30.700001	83.837	-119.6014
31.100000	83.881	-120.2314
31.500000	83.927	-120.8496
32.000000	83.985	-121.6257
32.500000	84.040	-122.4040
33.000000	84.091	-123.1678
33.500000	84.138	-123.9084
34.000000	84.183	-124.6285
34.500000	84.227	-125.3312
35.000000	84.268	-126.0148
35.500000	84.309	-126.6803
36.000000	84.350	-127.3364
36.500000	84.392	-127.9927
37.000000	84.431	-128.6509
37.500000	84.468	-129.3055
38.200001	84.515	-130.2013
38.700001	84.547	-130.8165
39.500000	84.597	-131.7550
40.000000	84.630	-132.3312
40.599998	84.667	-133.0261
41.200001	84.700	-133.6993
41.799999	84.731	-134.3248
42.500000	84.774	-135.0355
43.099998	84.810	-135.6743
43.700001	84.839	-136.3074
44.400002	84.871	-136.9951
45.000000	84.902	-137.5757
45.500000	84.926	-138.0712
46.200001	84.957	-138.7498
46.799999	84.984	-139.3198
47.500000	85.013	-140.0088
48.200001	85.030	-140.6443
48.700001	85.046	-141.0292
49.400002	85.083	-141.5736
50.000000	85.114	-142.1136
50.799999	85.142	-142.8105
51.500000	85.170	-143.3645
52.200001	85.200	-143.9719
53.000000	85.219	-144.6506
53.799999	85.244	-145.2644
54.500000	85.266	-145.8726
55.200001	85.271	-146.4537
56.000000	85.286	-146.9747
57.000000	85.330	-147.7842
58.000000	85.338	-148.6307
59.000000	85.368	-149.2410
60.000000	85.407	-150.0870
60.799999	85.407	-150.6355
61.500000	85.433	-150.9583
62.200001	85.476	-151.4776
63.000000	85.478	-152.1868
64.000000	85.471	-152.6043
65.000000	85.522	-153.2060
66.000000	85.518	-153.9745
67.000000	85.526	-154.4855
68.000000	85.544	-155.1741
69.000000	85.548	-155.8334
70.000000	85.549	-156.4460
71.000000	85.563	-156.9407
72.000000	85.590	-157.5804
73.000000	85.589	-158.1931
74.000000	85.599	-158.6860
75.000000	85.611	-159.2533
76.199997	85.615	-159.9142
77.500000	85.626	-160.5824
78.800003	85.634	-161.3181
80.000000	85.643	-161.9327
81.199997	85.644	-162.5504
82.500000	85.662	-163.1659
83.800003	85.659	-163.8748
85.000000	85.653	-164.4365
86.199997	85.659	-164.9092
87.500000	85.671	-165.6498
88.500000	85.668	-166.0851
90.000000	85.666	-166.9172
91.199997	85.672	-167.3281
92.500000	85.663	-168.0281
93.800003	85.688	-168.4343
95.000000	85.674	-169.1763
96.199997	85.686	-169.5397
97.500000	85.666	-170.3345
98.800003	85.673	-170.6739
100.000000	85.659	-171.3476
101.500000	85.674	-171.7941
103.000000	85.650	-172.5641
104.400002	85.666	-173.0605
106.000000	85.641	-173.7734
107.500000	85.650	-174.3806
109.000000	85.626	-174.9728
110.599998	85.633	-175.5681
112.000000	85.620	-176.1542
113.800003	85.614	-176.8120
115.000000	85.604	-177.2758
117.199997	85.595	-178.0658
118.000000	85.590	-178.3793
120.599998	85.571	-179.3510
122.000000	85.561	-179.8843
124.099998	85.545	179.3964
125.000000	85.540	179.0485
126.500000	85.522	178.5063
128.000000	85.510	178.0137
131.500000	85.485	176.7809
132.000000	85.480	176.6146
134.000000	85.466	175.9229
136.000000	85.445	175.2706
138.000000	85.426	174.6196
140.000000	85.407	173.9603
143.000000	85.374	173.0040
145.000000	85.357	172.3632
147.500000	85.336	171.5632
150.000000	85.308	170.7670
152.500000	85.279	170.0032
155.000000	85.251	169.2521
157.500000	85.224	168.4916
160.000000	85.199	167.7518
162.500000	85.165	167.0431
165.000000	85.140	166.3042
167.500000	85.112	165.6142
170.000000	85.081	164.9021
172.500000	85.045	164.1896
175.000000	85.017	163.5021
177.500000	84.985	162.8104
180.000000	84.952	162.1421
182.500000	84.918	161.4659
185.000000	84.892	160.8348
187.500000	84.857	160.1257
190.000000	84.828	159.5058
192.500000	84.792	158.8620
195.000000	84.756	158.2249
197.500000	84.731	157.5626
200.000000	84.695	156.9567
203.000000	84.654	156.1980
206.000000	84.612	155.4795
209.000000	84.570	154.7295
212.000000	84.532	154.0644
214.000000	84.502	153.6183
218.000000	84.448	152.6655
220.000000	84.415	152.2211
224.000000	84.364	151.2908
227.000000	84.321	150.6100
230.000000	84.281	149.9527
233.000000	84.235	149.2855
236.000000	84.192	148.6445
240.000000	84.138	147.8049
243.000000	84.095	147.1780
247.000000	84.037	146.3218
250.000000	83.998	145.6965
254.000000	83.943	144.9363
258.000000	83.882	144.1451
262.000000	83.833	143.3501
265.000000	83.793	142.7766
269.000000	83.731	141.9945
272.000000	83.693	141.3970
276.000000	83.638	140.6204
280.000000	83.586	139.9251
285.000000	83.519	139.0162
290.000000	83.445	138.1525
295.000000	83.375	137.2612
300.000000	83.311	136.3857
304.000000	83.259	135.7228
307.000000	83.221	135.2265
311.000000	83.166	134.5575
315.000000	83.109	133.9470
320.000000	83.041	133.1385
325.000000	82.984	132.3639
330.000000	82.924	131.5476
335.000000	82.860	130.7993
340.000000	82.798	130.0230
345.000000	82.735	129.2783
350.000000	82.677	128.5773
355.000000	82.617	127.8819
360.000000	82.556	127.1896
365.000000	82.505	126.4735
370.000000	82.445	125.8165
375.000000	82.388	125.1507
382.000000	82.304	124.2231
387.000000	82.246	123.5744
395.000000	82.165	122.5681
400.000000	82.116	121.9836
406.000000	82.059	121.2584
412.000000	81.995	120.5217
418.000000	81.936	119.8823
425.000000	81.862	119.0072
431.000000	81.813	118.4100
437.000000	81.765	117.7405
444.000000	81.712	116.9474
450.000000	81.663	116.2840
455.000000	81.616	115.7568
462.000000	81.556	114.9772
468.000000	81.502	114.3608
475.000000	81.447	113.6523
482.000000	81.397	113.0080
487.000000	81.355	112.5554
494.000000	81.315	111.8781
500.000000	81.264	111.3541
508.000000	81.208	110.5612
515.000000	81.157	109.9828
522.000000	81.110	109.3971
530.000000	81.068	108.7702
538.000000	81.041	108.1199
545.000000	80.999	107.5799
552.000000	80.975	107.1105
560.000000	80.934	106.4429
570.000000	80.902	105.6599
580.000000	80.876	104.9693
590.000000	80.837	104.1694
