* Measurement data measured by REW V5.20.13
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Jul 22, 2023 10:05:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Hmusic WE01 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.426	166.5872
20.299999	109.405	166.1365
20.600000	109.383	165.6897
20.900000	109.360	165.2522
21.200001	109.337	164.8158
21.400000	109.322	164.5277
21.799999	109.291	163.9698
22.000000	109.275	163.6959
22.400000	109.243	163.1554
22.700001	109.219	162.7615
23.000000	109.195	162.3749
23.299999	109.171	161.9902
23.600000	109.147	161.6102
24.000000	109.114	161.1129
24.299999	109.088	160.7412
24.700001	109.053	160.2576
25.000000	109.027	159.9045
25.400000	108.992	159.4377
25.799999	108.956	158.9799
26.200001	108.920	158.5242
26.500000	108.892	158.1871
26.900000	108.850	157.7550
27.200001	108.817	157.4388
27.600000	108.775	157.0310
28.000000	108.734	156.6306
28.500000	108.685	156.1119
29.000000	108.632	155.5849
29.500000	108.574	155.0737
30.000000	108.515	154.6112
30.400000	108.473	154.2625
30.700001	108.444	154.0052
31.100000	108.407	153.6528
31.500000	108.369	153.2829
32.000000	108.318	152.8183
32.500000	108.264	152.3701
33.000000	108.208	151.9556
33.500000	108.153	151.5590
34.000000	108.094	151.1745
34.500000	108.043	150.7927
35.000000	107.991	150.4235
35.500000	107.940	150.0591
36.000000	107.888	149.7013
36.500000	107.838	149.3408
37.000000	107.786	148.9864
37.500000	107.734	148.6366
38.200001	107.655	148.1646
38.700001	107.599	147.8390
39.500000	107.509	147.3360
40.000000	107.454	147.0292
40.599998	107.387	146.6643
41.200001	107.320	146.3120
41.799999	107.254	145.9712
42.500000	107.177	145.5827
43.099998	107.111	145.2582
43.700001	107.046	144.9420
44.400002	106.970	144.5838
45.000000	106.905	144.2874
45.500000	106.851	144.0459
46.200001	106.777	143.7143
46.799999	106.712	143.4340
47.500000	106.637	143.1215
48.200001	106.564	142.8212
48.700001	106.512	142.6028
49.400002	106.437	142.3008
50.000000	106.370	142.0635
50.799999	106.291	141.7828
51.500000	106.223	141.5254
52.200001	106.153	141.2619
53.000000	106.073	140.9776
53.799999	105.993	140.7054
54.500000	105.921	140.4711
55.200001	105.850	140.2460
56.000000	105.768	139.9979
57.000000	105.667	139.7045
58.000000	105.568	139.4216
59.000000	105.468	139.1486
60.000000	105.371	138.8928
60.799999	105.295	138.6922
61.500000	105.229	138.5224
62.200001	105.164	138.3566
63.000000	105.090	138.1704
64.000000	104.997	137.9549
65.000000	104.907	137.7508
66.000000	104.816	137.5568
67.000000	104.728	137.3734
68.000000	104.640	137.1954
69.000000	104.553	137.0217
70.000000	104.467	136.8592
71.000000	104.382	136.7072
72.000000	104.297	136.5629
73.000000	104.215	136.4286
74.000000	104.133	136.3021
75.000000	104.051	136.1905
76.199997	103.956	136.0589
77.500000	103.854	135.9184
78.800003	103.754	135.7750
80.000000	103.661	135.6395
81.199997	103.567	135.5202
82.500000	103.468	135.4008
83.800003	103.368	135.2845
85.000000	103.278	135.1934
86.199997	103.191	135.1091
87.500000	103.096	135.0360
88.500000	103.025	134.9800
90.000000	102.919	134.9061
91.199997	102.834	134.8549
92.500000	102.745	134.8025
93.800003	102.656	134.7516
95.000000	102.576	134.7073
96.199997	102.497	134.6804
97.500000	102.414	134.6428
98.800003	102.333	134.6663
100.000000	102.267	134.6191
101.500000	102.161	134.5954
103.000000	102.070	134.5906
