* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 21.07.2023 14:40:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Bowie Original EQ
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.842	38.8157
20.299999	106.848	38.4207
20.600000	106.912	37.4402
20.900000	106.958	35.9128
21.200001	106.936	34.2057
21.400000	106.888	33.2204
21.799999	106.766	31.8317
22.000000	106.721	31.4442
22.400000	106.718	31.0304
22.700001	106.794	30.6902
23.000000	106.904	30.0787
23.299999	107.007	29.2002
23.600000	107.082	28.1859
24.000000	107.130	26.8981
24.299999	107.143	26.1441
24.700001	107.164	25.4486
25.000000	107.198	25.0614
25.400000	107.269	24.5487
25.799999	107.351	23.9042
26.200001	107.424	23.1160
26.500000	107.464	22.4796
26.900000	107.501	21.6428
27.200001	107.523	21.0523
27.600000	107.556	20.2976
28.000000	107.601	19.4900
28.500000	107.660	18.2412
29.000000	107.679	16.7180
29.500000	107.626	15.2350
30.000000	107.528	14.2581
30.400000	107.473	13.9403
30.700001	107.473	13.8614
31.100000	107.537	13.6802
31.500000	107.643	13.1568
32.000000	107.759	11.9207
32.500000	107.794	10.3849
33.000000	107.752	9.0867
33.500000	107.688	8.2478
34.000000	107.651	7.7078
34.500000	107.645	7.1962
35.000000	107.650	6.6166
35.500000	107.654	6.0242
36.000000	107.666	5.4489
36.500000	107.691	4.8160
37.000000	107.719	4.0414
37.500000	107.731	3.1495
38.200001	107.714	1.9307
38.700001	107.692	1.1936
39.500000	107.671	0.1785
40.000000	107.668	-0.4392
40.599998	107.665	-1.1900
41.200001	107.660	-1.9360
41.799999	107.653	-2.6729
42.500000	107.639	-3.5261
43.099998	107.624	-4.2506
43.700001	107.606	-4.9724
44.400002	107.583	-5.8204
45.000000	107.561	-6.5497
45.500000	107.543	-7.1499
46.200001	107.518	-7.9723
46.799999	107.499	-8.6661
47.500000	107.479	-9.4652
48.200001	107.457	-10.2314
48.700001	107.442	-10.7465
49.400002	107.424	-11.4373
50.000000	107.412	-12.0372
50.799999	107.391	-12.8821
51.500000	107.362	-13.6453
52.200001	107.324	-14.3966
53.000000	107.275	-15.2094
53.799999	107.233	-15.9762
54.500000	107.209	-16.6623
