* Measurement data measured by REW V5.20.13
* Source: Mikrofon (US-2x2 HR), MICROPHONE (Hauptlautstärke), L, volume: 0,590
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 31.08.2023 17:14:12
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EJ07 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.344	168.2426
20.299999	105.315	167.7077
20.600000	105.286	167.1745
20.900000	105.258	166.6408
21.200001	105.228	166.1085
21.400000	105.208	165.7578
21.799999	105.165	165.0719
22.000000	105.143	164.7392
22.400000	105.099	164.0952
22.700001	105.067	163.6271
23.000000	105.036	163.1663
23.299999	105.006	162.7089
23.600000	104.976	162.2532
24.000000	104.936	161.6489
24.299999	104.905	161.2000
24.700001	104.864	160.6097
25.000000	104.831	160.1738
25.400000	104.788	159.6013
25.799999	104.743	159.0394
26.200001	104.697	158.4901
26.500000	104.662	158.0880
26.900000	104.614	157.5654
27.200001	104.579	157.1826
27.600000	104.531	156.6812
28.000000	104.484	156.1866
28.500000	104.424	155.5750
29.000000	104.363	154.9721
29.500000	104.302	154.3813
30.000000	104.240	153.8038
30.400000	104.190	153.3499
30.700001	104.153	153.0128
31.100000	104.103	152.5668
31.500000	104.052	152.1255
32.000000	103.989	151.5834
32.500000	103.924	151.0565
33.000000	103.859	150.5474
33.500000	103.794	150.0553
34.000000	103.731	149.5773
34.500000	103.668	149.1089
35.000000	103.605	148.6456
35.500000	103.543	148.1852
36.000000	103.479	147.7300
36.500000	103.414	147.2854
37.000000	103.348	146.8543
37.500000	103.282	146.4354
38.200001	103.190	145.8633
38.700001	103.124	145.4651
39.500000	103.018	144.8500
40.000000	102.952	144.4758
40.599998	102.874	144.0312
41.200001	102.796	143.5925
41.799999	102.717	143.1649
42.500000	102.625	142.6816
43.099998	102.547	142.2772
43.700001	102.469	141.8815
44.400002	102.377	141.4344
45.000000	102.299	141.0648
45.500000	102.233	140.7655
46.200001	102.142	140.3597
46.799999	102.064	140.0248
47.500000	101.973	139.6481
48.200001	101.883	139.2813
48.700001	101.819	139.0234
49.400002	101.728	138.6705
50.000000	101.649	138.3810
50.799999	101.544	138.0151
51.500000	101.453	137.7047
52.200001	101.363	137.3933
53.000000	101.259	137.0411
53.799999	101.153	136.7117
54.500000	101.061	136.4474
55.200001	100.973	136.1940
56.000000	100.874	135.9012
57.000000	100.751	135.5280
58.000000	100.625	135.1686
59.000000	100.497	134.8458
60.000000	100.369	134.5670
60.799999	100.269	134.3665
61.500000	100.184	134.1975
62.200001	100.100	134.0290
63.000000	100.004	133.8351
64.000000	99.883	133.5942
65.000000	99.762	133.3650
66.000000	99.639	133.1602
67.000000	99.516	132.9884
68.000000	99.396	132.8427
69.000000	99.279	132.7071
70.000000	99.163	132.5765
71.000000	99.048	132.4550
72.000000	98.933	132.3452
73.000000	98.819	132.2490
74.000000	98.706	132.1686
75.000000	98.594	132.1026
76.199997	98.461	132.0368
77.500000	98.317	131.9805
78.800003	98.173	131.9421
80.000000	98.042	131.9224
81.199997	97.912	131.9183
82.500000	97.775	131.9343
83.800003	97.639	131.9779
85.000000	97.516	132.0453
86.199997	97.393	132.1370
87.500000	97.261	132.2587
88.500000	97.161	132.3594
90.000000	97.015	132.4956
91.199997	96.900	132.5892
92.500000	96.773	132.7057
93.800003	96.646	132.8622
95.000000	96.529	133.0438
96.199997	96.411	133.2542
97.500000	96.283	133.5099
98.800003	96.156	133.7929
100.000000	96.049	134.0541
101.500000	95.929	134.3195
103.000000	95.814	134.5304
104.400002	95.708	134.7429
106.000000	95.587	135.0416
107.500000	95.473	135.3705
109.000000	95.357	135.7302
110.599998	95.234	136.1351
112.000000	95.128	136.5007
113.800003	94.998	136.9835
115.000000	94.915	137.3139
117.199997	94.767	137.9338
118.000000	94.715	138.1619
120.599998	94.550	138.9095
122.000000	94.466	139.3199
124.099998	94.346	139.9493
125.000000	94.297	140.2244
126.500000	94.217	140.6918
128.000000	94.139	141.1703
131.500000	93.961	142.3168
132.000000	93.937	142.4823
134.000000	93.841	143.1427
136.000000	93.750	143.7954
138.000000	93.666	144.4438
140.000000	93.588	145.0984
143.000000	93.483	146.0975
145.000000	93.418	146.7696
147.500000	93.340	147.6065
150.000000	93.268	148.4354
152.500000	93.201	149.2577
155.000000	93.141	150.0706
157.500000	93.088	150.8713
160.000000	93.041	151.6563
162.500000	92.997	152.4284
165.000000	92.959	153.1933
167.500000	92.925	153.9478
170.000000	92.896	154.6833
172.500000	92.871	155.4015
175.000000	92.852	156.1103
177.500000	92.836	156.8088
180.000000	92.823	157.4914
182.500000	92.812	158.1536
185.000000	92.804	158.7945
187.500000	92.799	159.4174
190.000000	92.797	160.0240
192.500000	92.799	160.6120
195.000000	92.803	161.1803
197.500000	92.810	161.7300
200.000000	92.818	162.2634
203.000000	92.828	162.8856
206.000000	92.839	163.4901
209.000000	92.854	164.0745
212.000000	92.870	164.6349
214.000000	92.882	164.9935
218.000000	92.908	165.6765
220.000000	92.921	166.0047
224.000000	92.950	166.6411
227.000000	92.973	167.0981
230.000000	92.997	167.5361
233.000000	93.021	167.9576
236.000000	93.046	168.3641
240.000000	93.080	168.8770
243.000000	93.106	169.2373
247.000000	93.141	169.6882
250.000000	93.167	170.0084
254.000000	93.202	170.4185
258.000000	93.236	170.8093
262.000000	93.271	171.1810
265.000000	93.298	171.4484
269.000000	93.334	171.7885
272.000000	93.361	172.0311
276.000000	93.395	172.3401
280.000000	93.427	172.6353
285.000000	93.468	172.9854
290.000000	93.509	173.3122
295.000000	93.550	173.6148
300.000000	93.591	173.8894
304.000000	93.622	174.0916
307.000000	93.645	174.2375
311.000000	93.675	174.4270
315.000000	93.703	174.6111
320.000000	93.737	174.8379
325.000000	93.768	175.0664
330.000000	93.798	175.2901
335.000000	93.826	175.4946
340.000000	93.855	175.6767
345.000000	93.884	175.8478
350.000000	93.914	176.0193
355.000000	93.942	176.1895
360.000000	93.968	176.3499
365.000000	93.992	176.5008
370.000000	94.016	176.6495
375.000000	94.038	176.7998
382.000000	94.067	177.0123
387.000000	94.088	177.1671
395.000000	94.120	177.4243
400.000000	94.140	177.5935
406.000000	94.165	177.8081
412.000000	94.192	178.0311
418.000000	94.223	178.2513
425.000000	94.264	178.4897
431.000000	94.302	178.6678
437.000000	94.341	178.8142
444.000000	94.386	178.9442
450.000000	94.422	179.0272
455.000000	94.450	179.0809
462.000000	94.486	179.1393
468.000000	94.512	179.1805
475.000000	94.540	179.2265
482.000000	94.565	179.2760
487.000000	94.581	179.3151
494.000000	94.601	179.3762
500.000000	94.617	179.4347
508.000000	94.637	179.5224
515.000000	94.653	179.6086
522.000000	94.668	179.7032
530.000000	94.684	179.8198
538.000000	94.700	179.9429
545.000000	94.714	-179.9444
552.000000	94.727	-179.8268
560.000000	94.742	-179.6861
570.000000	94.761	-179.5021
580.000000	94.779	-179.3094
590.000000	94.798	-179.1071
600.000000	94.818	-178.8950
608.000000	94.833	-178.7195
615.000000	94.847	-178.5624
622.000000	94.861	-178.4018
630.000000	94.877	-178.2129
640.000000	94.898	-177.9682
650.000000	94.920	-177.7155
660.000000	94.942	-177.4563
670.000000	94.966	-177.1928
680.000000	94.991	-176.9278
690.000000	95.017	-176.6633
700.000000	95.042	-176.3972
710.000000	95.068	-176.1241
720.000000	95.093	-175.8400
730.000000	95.120	-175.5443
740.000000	95.148	-175.2386
750.000000	95.178	-174.9244
762.000000	95.216	-174.5370
775.000000	95.261	-174.1059
788.000000	95.309	-173.6663
800.000000	95.356	-173.2553
812.000000	95.407	-172.8414
825.000000	95.466	-172.3916
838.000000	95.529	-171.9426
850.000000	95.590	-171.5314
862.000000	95.655	-171.1248
875.000000	95.730	-170.6914
885.000000	95.790	-170.3643
900.000000	95.885	-169.8855
912.000000	95.964	-169.5144
925.000000	96.054	-169.1267
938.000000	96.147	-168.7571
950.000000	96.237	-168.4351
962.000000	96.329	-168.1332
975.000000	96.431	-167.8295
988.000000	96.536	-167.5507
1000.000000	96.635	-167.3166
1015.000000	96.762	-167.0577
1030.000000	96.890	-166.8377
1044.000000	97.010	-166.6684
1060.000000	97.149	-166.5179
1075.000000	97.279	-166.4180
1090.000000	97.409	-166.3568
1106.000000	97.546	-166.3323
1120.000000	97.665	-166.3440
1138.000000	97.815	-166.4021
1150.000000	97.914	-166.4660
1172.000000	98.089	-166.6311
1180.000000	98.151	-166.7052
1206.000000	98.347	-166.9905
1220.000000	98.449	-167.1689
1241.000000	98.596	-167.4630
1250.000000	98.656	-167.5972
1265.000000	98.755	-167.8300
1280.000000	98.851	-168.0724
1315.000000	99.062	-168.6636
1320.000000	99.090	-168.7499
1340.000000	99.202	-169.0979
1360.000000	99.309	-169.4488
1380.000000	99.412	-169.7999
1400.000000	99.511	-170.1489
1430.000000	99.653	-170.6645
1450.000000	99.744	-171.0016
1475.000000	99.854	-171.4160
1500.000000	99.961	-171.8230
1525.000000	100.064	-172.2233
1550.000000	100.166	-172.6181
1575.000000	100.265	-173.0076
1600.000000	100.363	-173.3920
1625.000000	100.458	-173.7722
1650.000000	100.552	-174.1492
1675.000000	100.645	-174.5245
1700.000000	100.738	-174.8992
1725.000000	100.829	-175.2745
1750.000000	100.919	-175.6517
1775.000000	101.009	-176.0323
1800.000000	101.098	-176.4178
1825.000000	101.186	-176.8090
1850.000000	101.273	-177.2073
1875.000000	101.360	-177.6144
1900.000000	101.445	-178.0315
1925.000000	101.530	-178.4594
1950.000000	101.613	-178.8985
1975.000000	101.694	-179.3495
2000.000000	101.775	-179.8126
2030.000000	101.869	179.6150
2060.000000	101.960	179.0231
2090.000000	102.049	178.4110
2120.000000	102.134	177.7779
2140.000000	102.188	177.3439
2180.000000	102.292	176.4486
2200.000000	102.341	175.9879
2240.000000	102.432	175.0427
2270.000000	102.494	174.3152
2300.000000	102.551	173.5739
2330.000000	102.601	172.8209
2360.000000	102.645	172.0582
2400.000000	102.694	171.0314
2430.000000	102.723	170.2581
2470.000000	102.752	169.2286
2500.000000	102.766	168.4613
2540.000000	102.775	167.4490
2580.000000	102.773	166.4531
2620.000000	102.759	165.4782
2650.000000	102.742	164.7637
2690.000000	102.709	163.8384
2720.000000	102.677	163.1693
2760.000000	102.626	162.3162
2800.000000	102.566	161.5132
2850.000000	102.479	160.5871
2900.000000	102.381	159.7549
2950.000000	102.274	159.0231
3000.000000	102.160	158.3950
3040.000000	102.065	157.9678
3070.000000	101.993	157.6910
3110.000000	101.896	157.3788
3150.000000	101.799	157.1299
3200.000000	101.680	156.9030
3250.000000	101.564	156.7622
3300.000000	101.455	156.6967
3350.000000	101.353	156.6935
3400.000000	101.258	156.7385
3450.000000	101.172	156.8162
3500.000000	101.095	156.9115
3550.000000	101.027	157.0100
3600.000000	100.965	157.0991
3650.000000	100.910	157.1683
3700.000000	100.860	157.2094
3750.000000	100.813	157.2162
3820.000000	100.751	157.1604
3870.000000	100.708	157.0707
3950.000000	100.637	156.8390
4000.000000	100.590	156.6387
4060.000000	100.529	156.3417
4120.000000	100.463	155.9825
4180.000000	100.389	155.5600
4250.000000	100.291	154.9878
4310.000000	100.195	154.4316
4370.000000	100.085	153.8195
4440.000000	99.936	153.0454
4500.000000	99.789	152.3438
4550.000000	99.651	151.7434
4620.000000	99.433	150.8991
4680.000000	99.222	150.1938
4750.000000	98.947	149.4251
4820.000000	98.641	148.7520
4870.000000	98.405	148.3492
4940.000000	98.052	147.9171
5000.000000	97.731	147.6837
5080.000000	97.280	147.5860
5150.000000	96.869	147.7122
5220.000000	96.444	148.0485
5300.000000	95.946	148.7112
5380.000000	95.440	149.6926
5450.000000	94.997	150.8191
5520.000000	94.561	152.1872
5600.000000	94.076	154.0244
5700.000000	93.500	156.6849
5800.000000	92.963	159.6927
5900.000000	92.470	162.9911
6000.000000	92.023	166.5322
6080.000000	91.700	169.5138
