* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset Microphone (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 1,000
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 30.06.2023 16:59:31
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Jun 30
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.746	10.2347
20.299999	105.737	9.5397
20.600000	105.722	8.8634
20.900000	105.702	8.2259
21.200001	105.681	7.6338
21.400000	105.668	7.2587
21.799999	105.645	6.5391
22.000000	105.635	6.1862
22.400000	105.619	5.4823
22.700001	105.607	4.9545
23.000000	105.595	4.4282
23.299999	105.583	3.9050
23.600000	105.570	3.3859
24.000000	105.552	2.7021
24.299999	105.536	2.1999
24.700001	105.514	1.5515
25.000000	105.496	1.0851
25.400000	105.472	0.4887
25.799999	105.449	-0.0878
26.200001	105.425	-0.6550
26.500000	105.406	-1.0762
26.900000	105.378	-1.6281
27.200001	105.355	-2.0296
27.600000	105.323	-2.5447
28.000000	105.290	-3.0385
28.500000	105.247	-3.6378
29.000000	105.204	-4.2280
29.500000	105.160	-4.8103
30.000000	105.114	-5.3828
30.400000	105.078	-5.8353
30.700001	105.050	-6.1727
31.100000	105.014	-6.6204
31.500000	104.977	-7.0630
32.000000	104.932	-7.6053
32.500000	104.888	-8.1359
33.000000	104.845	-8.6604
33.500000	104.802	-9.1788
34.000000	104.758	-9.6780
34.500000	104.713	-10.1403
35.000000	104.669	-10.5627
35.500000	104.630	-10.9637
36.000000	104.593	-11.3679
36.500000	104.555	-11.7842
37.000000	104.512	-12.1996
37.500000	104.464	-12.5926
38.200001	104.395	-13.0889
38.700001	104.347	-13.4177
39.500000	104.273	-13.9411
40.000000	104.229	-14.2766
40.599998	104.176	-14.6893
41.200001	104.124	-15.1148
41.799999	104.070	-15.5524
42.500000	104.005	-16.0599
43.099998	103.947	-16.4651
43.700001	103.888	-16.8274
44.400002	103.825	-17.2078
45.000000	103.774	-17.5198
45.500000	103.731	-17.7761
46.200001	103.671	-18.1215
46.799999	103.618	-18.4003
47.500000	103.556	-18.7145
48.200001	103.492	-19.0242
48.700001	103.446	-19.2393
49.400002	103.380	-19.5292
50.000000	103.324	-19.7744
50.799999	103.249	-20.0980
51.500000	103.181	-20.3576
52.200001	103.116	-20.5840
53.000000	103.048	-20.8252
53.799999	102.984	-21.0731
54.500000	102.930	-21.2948
55.200001	102.877	-21.5231
56.000000	102.815	-21.8034
57.000000	102.730	-22.1496
58.000000	102.641	-22.4269
59.000000	102.557	-22.6736
60.000000	102.469	-22.9142
60.799999	102.396	-23.0504
61.500000	102.338	-23.1375
62.200001	102.286	-23.2416
63.000000	102.228	-23.4010
64.000000	102.158	-23.6153
65.000000	102.096	-23.8430
66.000000	102.038	-24.1197
67.000000	101.974	-24.3846
68.000000	101.905	-24.5585
69.000000	101.834	-24.6471
70.000000	101.762	-24.6969
71.000000	101.689	-24.7709
72.000000	101.612	-24.9129
73.000000	101.535	-25.1048
74.000000	101.466	-25.3207
75.000000	101.409	-25.5326
76.199997	101.350	-25.7047
77.500000	101.287	-25.7279
78.800003	101.207	-25.6158
80.000000	101.112	-25.5132
81.199997	101.002	-25.5543
82.500000	100.882	-25.8170
83.800003	100.783	-26.1545
85.000000	100.723	-26.3521
86.199997	100.676	-26.3533
87.500000	100.594	-26.1228
88.500000	100.491	-25.8464
90.000000	100.292	-25.5587
91.199997	100.154	-25.7023
92.500000	100.100	-26.1727
93.800003	100.204	-26.3542
95.000000	100.474	-25.5050
96.199997	100.928	-23.2271
97.500000	101.608	-19.6512
98.800003	102.295	-16.7734
100.000000	102.615	-16.3369
101.500000	102.290	-17.8865
103.000000	101.396	-19.3312
104.400002	100.559	-20.5129
106.000000	99.977	-22.1907
107.500000	99.778	-23.5278
109.000000	99.737	-23.9870
110.599998	99.716	-23.6704
112.000000	99.663	-23.2759
113.800003	99.560	-23.1328
115.000000	99.502	-23.2177
