* Measurement data measured by REW V5.20.9
* Source: Mikrofon (Realtek(R) Audio), MICROPHONE (Hauptlautstärke), L, volume: 0,680
* Format: 256k Log Swept Sine, 1 sweep at -8,0 dBFS with no timing reference
* Dated: 29.08.2022 19:31:53
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ikko OH 10 Filter
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.941	-176.8236
20.299999	95.913	-176.9122
20.600000	95.901	-176.9387
20.900000	95.907	-176.9601
21.200001	95.928	-177.0332
21.400000	95.946	-177.1277
21.799999	95.982	-177.4183
22.000000	95.997	-177.6013
22.400000	96.017	-177.9972
22.700001	96.024	-178.2879
23.000000	96.028	-178.5596
23.299999	96.031	-178.8198
23.600000	96.032	-179.0792
24.000000	96.029	-179.4337
24.299999	96.021	-179.7009
24.700001	96.003	179.9618
25.000000	95.985	179.7372
25.400000	95.958	179.4817
25.799999	95.932	179.2637
26.200001	95.909	179.0602
26.500000	95.895	178.9040
26.900000	95.878	178.6777
27.200001	95.866	178.4866
27.600000	95.850	178.1983
28.000000	95.830	177.8796
28.500000	95.797	177.4813
29.000000	95.761	177.1429
29.500000	95.735	176.8738
30.000000	95.725	176.6072
30.400000	95.726	176.3429
30.700001	95.728	176.1066
31.100000	95.727	175.7607
31.500000	95.721	175.4126
32.000000	95.709	175.0132
32.500000	95.698	174.6558
33.000000	95.687	174.3207
33.500000	95.674	174.0084
34.000000	95.659	173.7399
34.500000	95.644	173.5209
35.000000	95.632	173.3297
35.500000	95.621	173.1414
36.000000	95.608	172.9566
36.500000	95.593	172.7902
37.000000	95.579	172.6392
37.500000	95.568	172.4742
38.200001	95.550	172.1716
38.700001	95.528	171.9216
39.500000	95.478	171.5806
40.000000	95.447	171.4312
40.599998	95.420	171.2732
41.200001	95.405	171.0665
41.799999	95.392	170.7775
42.500000	95.369	170.3661
43.099998	95.341	170.0123
43.700001	95.307	169.7039
44.400002	95.271	169.4062
45.000000	95.246	169.1745
45.500000	95.226	168.9823
46.200001	95.197	168.7252
46.799999	95.172	168.5354
47.500000	95.146	168.3447
48.200001	95.122	168.1543
48.700001	95.105	168.0078
49.400002	95.078	167.7960
50.000000	95.052	167.6185
50.799999	95.019	167.3814
51.500000	94.991	167.1468
52.200001	94.960	166.8778
53.000000	94.916	166.5846
53.799999	94.873	166.3834
54.500000	94.849	166.2595
55.200001	94.840	166.0995
56.000000	94.833	165.8178
57.000000	94.809	165.3781
58.000000	94.760	164.9797
59.000000	94.695	164.7257
60.000000	94.633	164.6099
60.799999	94.593	164.5507
61.500000	94.566	164.4741
62.200001	94.543	164.3517
