* Measurement data measured by REW V5.30 beta 1
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -17,5 dBFS, measurement signal peak level -15,2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 09-nov-2023 20:00:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0574 ms (-20 mm, -0,78 in) using estimated IR delay relative to Acoustic reference played from 1: xCORE USB Audio 2.0  1 with no timing offset Clock adjustment: 15,6 ppm
* Measurement: Kefine Klanar L nov 9
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.353	4.3209
20.299999	101.341	3.8013
20.600000	101.330	3.2912
20.900000	101.318	2.7903
21.200001	101.306	2.2974
21.400000	101.297	1.9724
21.799999	101.279	1.3331
22.000000	101.269	1.0205
22.400000	101.247	0.4156
22.700001	101.230	-0.0170
23.000000	101.214	-0.4321
23.299999	101.198	-0.8359
23.600000	101.184	-1.2357
24.000000	101.166	-1.7716
24.299999	101.151	-2.1764
24.700001	101.129	-2.7112
25.000000	101.111	-3.0995
25.400000	101.085	-3.5930
25.799999	101.062	-4.0648
26.200001	101.040	-4.5319
26.500000	101.025	-4.8886
26.900000	101.003	-5.3751
27.200001	100.985	-5.7420
27.600000	100.957	-6.2193
28.000000	100.928	-6.6690
28.500000	100.893	-7.1917
29.000000	100.862	-7.6996
29.500000	100.833	-8.2220
30.000000	100.801	-8.7536
30.400000	100.772	-9.1622
30.700001	100.750	-9.4500
31.100000	100.722	-9.8141
31.500000	100.696	-10.1732
32.000000	100.665	-10.6364
32.500000	100.630	-11.1013
33.000000	100.593	-11.5297
33.500000	100.559	-11.9247
34.000000	100.531	-12.3429
34.500000	100.500	-12.8139
35.000000	100.456	-13.2822
35.500000	100.406	-13.6614
36.000000	100.364	-13.9517
36.500000	100.339	-14.2503
37.000000	100.318	-14.6407
37.500000	100.287	-15.0931
38.200001	100.225	-15.6570
38.700001	100.184	-15.9766
39.500000	100.133	-16.5024
40.000000	100.100	-16.8703
40.599998	100.053	-17.2935
41.200001	100.007	-17.6721
41.799999	99.965	-18.0461
42.500000	99.915	-18.5000
43.099998	99.870	-18.8764
43.700001	99.825	-19.2334
44.400002	99.773	-19.6434
45.000000	99.728	-19.9878
45.500000	99.690	-20.2602
46.200001	99.639	-20.6231
46.799999	99.597	-20.9355
47.500000	99.549	-21.3147
48.200001	99.496	-21.6916
48.700001	99.456	-21.9418
49.400002	99.401	-22.2585
50.000000	99.358	-22.5164
50.799999	99.303	-22.8738
51.500000	99.252	-23.1950
52.200001	99.201	-23.4999
53.000000	99.144	-23.8370
53.799999	99.087	-24.1911
54.500000	99.033	-24.4856
55.200001	98.981	-24.7420
56.000000	98.926	-25.0392
57.000000	98.855	-25.4355
58.000000	98.782	-25.7864
59.000000	98.711	-26.1395
60.000000	98.639	-26.4608
60.799999	98.586	-26.7224
61.500000	98.537	-26.9706
62.200001	98.485	-27.1969
63.000000	98.428	-27.4333
64.000000	98.356	-27.7233
65.000000	98.287	-27.9724
66.000000	98.223	-28.2561
67.000000	98.152	-28.5208
68.000000	98.087	-28.7648
69.000000	98.016	-29.0370
70.000000	97.947	-29.2399
71.000000	97.884	-29.4901
72.000000	97.812	-29.7228
73.000000	97.747	-29.9151
74.000000	97.679	-30.1377
75.000000	97.614	-30.3024
76.199997	97.541	-30.5537
77.500000	97.457	-30.7873
78.800003	97.372	-31.0280
80.000000	97.297	-31.1905
81.199997	97.223	-31.4012
82.500000	97.138	-31.5916
83.800003	97.058	-31.7518
85.000000	96.989	-31.9328
86.199997	96.910	-32.1000
87.500000	96.833	-32.2119
88.500000	96.776	-32.3376
90.000000	96.688	-32.4916
91.199997	96.614	-32.6530
92.500000	96.534	-32.6950
93.800003	96.466	-32.8485
95.000000	96.398	-32.9315
96.199997	96.332	-33.0963
97.500000	96.255	-33.1834
98.800003	96.177	-33.2909
100.000000	96.116	-33.2798
101.500000	96.039	-33.4200
103.000000	95.960	-33.4902
104.400002	95.889	-33.5123
106.000000	95.808	-33.7057
107.500000	95.728	-33.7261
109.000000	95.652	-33.7438
110.599998	95.568	-33.8881
112.000000	95.507	-33.7400
113.800003	95.408	-33.9256
115.000000	95.357	-33.8559
117.199997	95.243	-33.8456
118.000000	95.211	-33.8871
120.599998	95.093	-33.8703
122.000000	95.013	-33.8803
124.099998	94.918	-33.9125
125.000000	94.880	-33.8810
126.500000	94.807	-33.9115
128.000000	94.745	-33.8794
131.500000	94.601	-33.8027
132.000000	94.582	-33.8158
134.000000	94.484	-33.7620
136.000000	94.406	-33.7068
138.000000	94.330	-33.5828
140.000000	94.248	-33.5537
143.000000	94.133	-33.4554
145.000000	94.051	-33.3484
147.500000	93.961	-33.2473
150.000000	93.848	-33.1529
152.500000	93.764	-33.0404
155.000000	93.677	-32.9005
157.500000	93.585	-32.7679
160.000000	93.497	-32.5846
162.500000	93.415	-32.6393
165.000000	93.340	-32.3582
167.500000	93.249	-32.1826
170.000000	93.176	-31.9534
172.500000	93.088	-31.7702
175.000000	93.002	-31.6369
177.500000	92.935	-31.4861
180.000000	92.864	-31.3071
182.500000	92.802	-31.1938
185.000000	92.722	-30.8986
187.500000	92.641	-30.6349
190.000000	92.561	-30.4993
192.500000	92.503	-30.3347
195.000000	92.441	-30.1686
197.500000	92.372	-29.9593
200.000000	92.310	-29.7228
203.000000	92.236	-29.4956
206.000000	92.153	-29.2239
209.000000	92.077	-28.9754
212.000000	92.003	-28.7139
214.000000	91.948	-28.5267
218.000000	91.867	-28.1821
220.000000	91.823	-28.0307
224.000000	91.739	-27.7101
227.000000	91.661	-27.4118
230.000000	91.599	-27.0704
233.000000	91.546	-26.8143
236.000000	91.474	-26.5419
240.000000	91.391	-26.1729
243.000000	91.349	-25.9031
247.000000	91.261	-25.5201
250.000000	91.216	-25.2288
254.000000	91.142	-24.8560
258.000000	91.051	-24.4628
262.000000	90.995	-24.1183
265.000000	90.939	-23.8646
269.000000	90.865	-23.4929
272.000000	90.830	-23.1730
276.000000	90.768	-22.8150
280.000000	90.701	-22.3773
285.000000	90.627	-21.9151
290.000000	90.546	-21.4894
295.000000	90.478	-20.9348
300.000000	90.406	-20.4978
304.000000	90.357	-20.0731
307.000000	90.319	-19.8533
311.000000	90.269	-19.4149
315.000000	90.213	-19.0239
320.000000	90.164	-18.5445
325.000000	90.108	-18.0345
330.000000	90.045	-17.5518
335.000000	89.989	-17.0854
340.000000	89.924	-16.5832
345.000000	89.884	-16.1623
350.000000	89.829	-15.6081
355.000000	89.778	-15.1407
360.000000	89.741	-14.6850
365.000000	89.690	-14.2747
370.000000	89.661	-13.7794
375.000000	89.607	-13.2322
382.000000	89.529	-12.6422
387.000000	89.491	-12.1676
395.000000	89.439	-11.4316
400.000000	89.399	-10.9674
406.000000	89.339	-10.4380
412.000000	89.302	-9.7402
418.000000	89.256	-9.2473
425.000000	89.220	-8.5878
431.000000	89.181	-7.9684
437.000000	89.132	-7.3581
444.000000	89.088	-6.8016
450.000000	89.066	-6.1856
455.000000	89.021	-5.7609
462.000000	89.001	-5.1388
468.000000	88.953	-4.4930
475.000000	88.915	-3.8650
482.000000	88.881	-3.1876
487.000000	88.866	-2.7976
494.000000	88.836	-2.1181
500.000000	88.805	-1.5438
508.000000	88.785	-0.7705
515.000000	88.735	-0.1132
522.000000	88.715	0.5591
530.000000	88.690	1.4373
538.000000	88.662	2.0586
545.000000	88.643	2.8730
552.000000	88.618	3.4654
560.000000	88.599	4.2274
570.000000	88.571	5.1946
580.000000	88.550	6.2081
590.000000	88.536	7.2895
600.000000	88.506	8.2410
608.000000	88.510	9.2425
615.000000	88.499	9.8939
622.000000	88.484	10.6967
630.000000	88.489	11.5489
640.000000	88.491	12.6677
650.000000	88.494	13.7669
660.000000	88.518	14.9282
670.000000	88.555	16.1376
680.000000	88.595	17.2795
690.000000	88.630	18.3996
700.000000	88.705	19.5640
710.000000	88.759	20.8074
720.000000	88.842	21.8350
730.000000	88.923	22.8260
740.000000	89.015	23.8925
750.000000	89.107	24.7324
762.000000	89.250	25.8654
775.000000	89.394	26.9833
788.000000	89.543	27.7298
800.000000	89.675	28.4406
812.000000	89.812	29.2699
825.000000	89.939	29.8996
838.000000	90.082	30.5488
850.000000	90.189	31.0467
862.000000	90.303	31.5786
875.000000	90.405	32.0087
885.000000	90.505	32.4059
900.000000	90.640	32.9555
912.000000	90.727	33.5420
925.000000	90.836	34.0327
938.000000	90.941	34.4869
950.000000	91.035	35.0176
962.000000	91.144	35.4199
975.000000	91.250	35.9934
988.000000	91.361	36.3710
1000.000000	91.480	37.0000
1015.000000	91.599	37.4158
1030.000000	91.732	37.8349
1044.000000	91.864	38.4167
1060.000000	92.013	38.8617
1075.000000	92.148	39.2672
1090.000000	92.301	39.6369
1106.000000	92.439	39.9808
1120.000000	92.581	40.3427
1138.000000	92.749	40.6857
1150.000000	92.866	40.8663
1172.000000	93.070	41.1776
1180.000000	93.149	41.3420
1206.000000	93.397	41.6345
1220.000000	93.513	41.7790
1241.000000	93.699	41.8815
1250.000000	93.788	41.9590
1265.000000	93.916	42.0464
1280.000000	94.048	42.1767
1315.000000	94.354	42.2203
1320.000000	94.390	42.2467
1340.000000	94.569	42.3207
1360.000000	94.743	42.3485
1380.000000	94.915	42.3117
1400.000000	95.086	42.2878
1430.000000	95.349	42.2093
1450.000000	95.525	42.0395
1475.000000	95.753	41.8506
1500.000000	95.966	41.4873
1525.000000	96.174	41.1335
1550.000000	96.365	40.6203
1575.000000	96.541	40.2381
1600.000000	96.717	39.8287
1625.000000	96.881	39.6539
1650.000000	97.076	39.4756
1675.000000	97.304	39.3383
1700.000000	97.555	38.9811
1725.000000	97.830	38.4500
1750.000000	98.107	37.6920
1775.000000	98.377	36.6153
1800.000000	98.636	35.3221
1825.000000	98.859	33.8780
1850.000000	99.050	32.1601
1875.000000	99.199	30.3916
1900.000000	99.292	28.7383
1925.000000	99.362	27.1923
1950.000000	99.416	25.8746
1975.000000	99.484	24.8529
2000.000000	99.574	23.8317
2030.000000	99.709	22.5857
2060.000000	99.870	21.1874
2090.000000	100.050	19.3515
2120.000000	100.190	17.2528
2140.000000	100.275	15.6811
2180.000000	100.378	12.2705
2200.000000	100.393	10.4407
2240.000000	100.339	6.7899
2270.000000	100.226	4.1154
2300.000000	100.046	1.6971
2330.000000	99.821	-0.4461
2360.000000	99.577	-2.1762
2400.000000	99.253	-3.8923
2430.000000	99.025	-5.0211
2470.000000	98.724	-6.2870
2500.000000	98.497	-7.0524
2540.000000	98.214	-7.7179
2580.000000	97.972	-8.1835
2620.000000	97.783	-8.7745
2650.000000	97.639	-9.3896
2690.000000	97.400	-10.2041
2720.000000	97.219	-10.7686
2760.000000	96.947	-11.2446
2800.000000	96.686	-11.6646
2850.000000	96.344	-11.9169
2900.000000	95.978	-12.0468
2950.000000	95.582	-11.5878
3000.000000	95.205	-10.6003
3040.000000	94.983	-9.5408
3070.000000	94.835	-8.5975
3110.000000	94.693	-7.3165
3150.000000	94.577	-6.1336
3200.000000	94.465	-4.9216
3250.000000	94.375	-3.7335
3300.000000	94.289	-2.6202
3350.000000	94.230	-1.6511
3400.000000	94.157	-0.8313
3450.000000	94.087	0.1548
3500.000000	94.001	1.1779
3550.000000	93.974	2.3197
3600.000000	93.940	3.4630
3650.000000	93.936	4.3358
3700.000000	93.947	5.3399
3750.000000	93.957	6.1378
3820.000000	93.970	7.2553
3870.000000	93.990	8.0967
3950.000000	94.036	9.4155
4000.000000	94.114	10.0123
4060.000000	94.198	11.0078
4120.000000	94.277	11.3868
4180.000000	94.367	11.5684
4250.000000	94.396	11.5920
4310.000000	94.363	11.5624
4370.000000	94.275	11.8967
4440.000000	94.177	13.1280
4500.000000	94.162	14.5528
4550.000000	94.223	15.8349
4620.000000	94.380	17.2703
4680.000000	94.548	18.1254
4750.000000	94.769	18.7358
4820.000000	94.931	19.1812
4870.000000	95.044	19.4536
4940.000000	95.250	19.8083
5000.000000	95.429	19.9284
5080.000000	95.669	19.6438
5150.000000	95.842	19.1417
5220.000000	96.011	18.6954
5300.000000	96.197	17.9518
5380.000000	96.364	16.7794
5450.000000	96.480	15.6501
5520.000000	96.510	14.4376
5600.000000	96.540	13.1227
5700.000000	96.491	11.7124
5800.000000	96.422	10.5083
5900.000000	96.319	9.9236
6000.000000	96.279	9.6556
6080.000000	96.263	8.8734
6150.000000	96.248	8.1511
6220.000000	96.169	7.5565
6300.000000	96.073	6.9537
6400.000000	95.921	6.5487
6500.000000	95.783	6.5168
6600.000000	95.676	6.5850
6700.000000	95.559	6.7373
6800.000000	95.445	6.8844
6900.000000	95.309	7.2324
7000.000000	95.193	8.0130
7100.000000	95.107	8.9715
7200.000000	95.060	10.3442
7300.000000	95.081	11.7007
7400.000000	95.164	13.1607
7500.000000	95.296	14.4712
7620.000000	95.537	16.0874
7750.000000	95.970	17.6243
7880.000000	96.553	17.9506
8000.000000	97.099	17.1156
8120.000000	97.710	15.2227
8250.000000	98.327	11.8328
8380.000000	98.870	6.6542
8500.000000	99.155	0.1748
8620.000000	99.114	-7.2834
8750.000000	98.610	-15.0479
8850.000000	97.960	-19.7296
9000.000000	96.847	-23.7931
9120.000000	95.991	-25.1163
9250.000000	95.214	-25.3723
9380.000000	94.521	-24.9644
9500.000000	93.986	-24.3689
9620.000000	93.466	-23.5347
9750.000000	92.992	-22.2964
9880.000000	92.536	-20.7894
10000.000000	92.236	-19.0984
10150.000000	91.895	-16.4557
10300.000000	91.761	-13.6978
10440.000000	91.837	-11.5884
10600.000000	92.083	-10.2718
10750.000000	92.449	-11.0145
10900.000000	92.804	-14.1743
11060.000000	92.785	-20.5534
11200.000000	92.286	-26.7242
11380.000000	90.947	-32.4532
11500.000000	89.855	-33.8996
11720.000000	87.885	-31.3993
11800.000000	87.319	-29.1843
12060.000000	85.849	-19.1332
12200.000000	85.441	-13.6487
12410.000000	85.324	-6.0188
12500.000000	85.301	-3.1568
12650.000000	85.388	1.0386
12800.000000	85.555	4.4563
13150.000000	86.224	9.8384
13200.000000	86.334	10.3074
13400.000000	86.777	10.8143
13600.000000	87.162	9.0290
13800.000000	87.345	4.9176
14000.000000	87.007	0.2462
14300.000000	85.769	-3.4325
14500.000000	84.717	-2.5822
14750.000000	83.671	0.8704
15000.000000	83.054	5.3421
15250.000000	82.653	11.5814
15500.000000	82.485	15.8931
15750.000000	82.487	19.7549
16000.000000	82.528	22.1860
16250.000000	82.567	24.8349
16500.000000	82.627	26.3678
16750.000000	82.696	27.2440
17000.000000	82.809	28.0025
17250.000000	83.084	27.7328
17500.000000	83.304	26.1297
17750.000000	83.530	22.0439
18000.000000	83.623	15.2704
18250.000000	82.868	7.9463
18500.000000	81.836	0.3922
18750.000000	80.204	-5.7859
19000.000000	78.158	-9.7208
19250.000000	75.738	-8.9135
19500.000000	73.334	-2.7732
19750.000000	71.794	7.2422
20000.000000	70.464	15.1271
