* Measurement data measured by REW V5.20.13
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -30,7 dBFS, measurement signal peak level -28,1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -9,0 dBFS using an acoustic timing reference
* Dated: 11-jun-2023 23:29:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0,0461 ms (-16 mm, -0,62 in) using estimated IR delay relative to Acoustic reference played from 1: xCORE USB Audio 2.0  1 with no timing offset Clock adjustment: 17,2 ppm
* Measurement: Simgot EW100P L jun 11
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.758	40.3993
20.299999	84.800	39.6877
20.600000	84.839	38.9985
20.900000	84.878	38.3351
21.200001	84.916	37.6948
21.400000	84.942	37.2751
21.799999	84.996	36.4412
22.000000	85.022	36.0220
22.400000	85.074	35.1758
22.700001	85.108	34.5418
23.000000	85.140	33.9199
23.299999	85.168	33.3184
23.600000	85.196	32.7388
24.000000	85.233	31.9932
24.299999	85.261	31.4439
24.700001	85.297	30.7131
25.000000	85.323	30.1647
25.400000	85.354	29.4400
25.799999	85.380	28.7351
26.200001	85.404	28.0570
26.500000	85.421	27.5642
26.900000	85.444	26.9212
27.200001	85.460	26.4443
27.600000	85.481	25.8112
28.000000	85.500	25.1815
28.500000	85.520	24.4079
29.000000	85.537	23.6620
29.500000	85.553	22.9454
30.000000	85.572	22.2405
30.400000	85.588	21.6697
30.700001	85.599	21.2353
31.100000	85.610	20.6564
31.500000	85.618	20.0921
32.000000	85.626	19.4241
32.500000	85.635	18.7931
33.000000	85.646	18.1763
33.500000	85.656	17.5576
34.000000	85.663	16.9365
34.500000	85.663	16.3321
35.000000	85.655	15.7818
35.500000	85.648	15.3198
36.000000	85.652	14.9132
36.500000	85.671	14.4508
37.000000	85.686	13.8450
37.500000	85.674	13.1720
38.200001	85.618	12.5044
38.700001	85.597	12.3116
39.500000	85.651	11.8517
40.000000	85.689	11.1931
40.599998	85.686	10.2500
41.200001	85.645	9.5234
41.799999	85.617	9.0163
42.500000	85.610	8.4121
43.099998	85.602	7.8445
43.700001	85.592	7.3171
44.400002	85.585	6.7052
45.000000	85.573	6.1550
45.500000	85.555	5.7435
46.200001	85.533	5.2680
46.799999	85.525	4.8608
47.500000	85.511	4.3377
48.200001	85.491	3.8441
48.700001	85.478	3.5086
49.400002	85.461	3.0073
50.000000	85.441	2.5718
50.799999	85.412	2.0562
51.500000	85.395	1.6113
52.200001	85.376	1.1249
53.000000	85.346	0.6107
53.799999	85.322	0.1717
54.500000	85.307	-0.2384
55.200001	85.287	-0.6722
56.000000	85.257	-1.1152
57.000000	85.226	-1.6292
58.000000	85.192	-2.1606
59.000000	85.156	-2.6799
60.000000	85.113	-3.2176
60.799999	85.072	-3.5783
61.500000	85.046	-3.8490
62.200001	85.028	-4.1631
63.000000	85.001	-4.5872
64.000000	84.953	-5.0629
65.000000	84.913	-5.4491
66.000000	84.879	-5.8490
67.000000	84.845	-6.2568
68.000000	84.808	-6.6695
69.000000	84.767	-7.0212
70.000000	84.734	-7.3607
71.000000	84.697	-7.7289
72.000000	84.661	-8.0759
73.000000	84.618	-8.4845
74.000000	84.560	-8.7854
75.000000	84.524	-9.0146
76.199997	84.484	-9.4270
77.500000	84.430	-9.8294
78.800003	84.383	-10.2162
80.000000	84.336	-10.5697
81.199997	84.285	-10.8784
82.500000	84.234	-11.1781
83.800003	84.184	-11.4985
85.000000	84.136	-11.7879
86.199997	84.090	-12.0699
87.500000	84.041	-12.3680
88.500000	84.004	-12.5880
90.000000	83.947	-12.9099
91.199997	83.897	-13.1389
92.500000	83.846	-13.3459
93.800003	83.798	-13.5882
95.000000	83.751	-13.8085
96.199997	83.705	-14.0180
97.500000	83.658	-14.2166
98.800003	83.620	-14.4264
100.000000	83.575	-14.6827
101.500000	83.509	-14.8621
103.000000	83.456	-15.0196
104.400002	83.406	-15.1806
106.000000	83.348	-15.3755
107.500000	83.291	-15.5631
109.000000	83.235	-15.7335
110.599998	83.179	-15.9336
112.000000	83.129	-16.0916
113.800003	83.076	-16.2669
115.000000	83.033	-16.3867
117.199997	82.956	-16.4416
118.000000	82.924	-16.4710
120.599998	82.865	-16.4448
122.000000	82.815	-16.7475
124.099998	82.726	-16.9228
125.000000	82.692	-16.9521
126.500000	82.648	-16.9897
128.000000	82.604	-17.0618
131.500000	82.508	-17.3833
132.000000	82.492	-17.3978
134.000000	82.435	-17.4885
136.000000	82.377	-17.5407
138.000000	82.313	-17.5940
140.000000	82.252	-17.6100
143.000000	82.173	-17.6991
145.000000	82.119	-17.7383
147.500000	82.041	-17.7362
150.000000	81.977	-17.6813
152.500000	81.909	-17.7815
155.000000	81.840	-17.8403
157.500000	81.777	-17.8249
160.000000	81.720	-17.7850
162.500000	81.662	-17.7719
165.000000	81.608	-17.7623
167.500000	81.543	-17.6254
170.000000	81.499	-17.5268
172.500000	81.427	-17.6228
175.000000	81.366	-17.6251
177.500000	81.321	-17.5771
180.000000	81.269	-17.4894
182.500000	81.206	-17.3718
185.000000	81.151	-17.2974
187.500000	81.101	-17.2360
190.000000	81.062	-17.1478
192.500000	81.015	-17.0949
195.000000	80.964	-17.0108
197.500000	80.916	-16.9140
200.000000	80.873	-16.8155
203.000000	80.816	-16.7006
206.000000	80.762	-16.5960
209.000000	80.713	-16.4819
212.000000	80.666	-16.3658
214.000000	80.632	-16.2893
218.000000	80.568	-16.1170
220.000000	80.541	-16.0205
224.000000	80.474	-15.8481
227.000000	80.421	-15.6674
230.000000	80.375	-15.5232
233.000000	80.334	-15.3676
236.000000	80.295	-15.2044
240.000000	80.236	-15.0059
243.000000	80.196	-14.8619
247.000000	80.147	-14.6701
250.000000	80.106	-14.5146
254.000000	80.054	-14.2861
258.000000	80.005	-14.0757
262.000000	79.958	-13.8742
265.000000	79.924	-13.7121
269.000000	79.879	-13.4754
272.000000	79.844	-13.3114
276.000000	79.799	-13.0960
280.000000	79.761	-12.8728
285.000000	79.715	-12.5883
290.000000	79.665	-12.2907
295.000000	79.614	-12.0037
300.000000	79.569	-11.7197
304.000000	79.533	-11.5033
307.000000	79.507	-11.3145
311.000000	79.478	-11.0832
315.000000	79.441	-10.8701
320.000000	79.395	-10.5903
325.000000	79.362	-10.2875
330.000000	79.326	-9.9947
335.000000	79.288	-9.7077
340.000000	79.255	-9.4160
345.000000	79.223	-9.1363
350.000000	79.187	-8.8303
355.000000	79.156	-8.5416
360.000000	79.126	-8.2824
365.000000	79.096	-7.9844
370.000000	79.066	-7.7032
375.000000	79.039	-7.4263
382.000000	79.003	-7.0328
387.000000	78.977	-6.7302
395.000000	78.939	-6.2759
400.000000	78.915	-5.9919
406.000000	78.887	-5.6501
412.000000	78.859	-5.3135
418.000000	78.835	-4.9927
425.000000	78.805	-4.6071
431.000000	78.780	-4.2763
437.000000	78.756	-3.9407
444.000000	78.733	-3.5601
450.000000	78.714	-3.2311
455.000000	78.697	-2.9435
462.000000	78.674	-2.5445
468.000000	78.654	-2.2381
475.000000	78.634	-1.8807
482.000000	78.614	-1.5036
487.000000	78.600	-1.2354
494.000000	78.584	-0.8639
500.000000	78.572	-0.5342
508.000000	78.553	-0.1076
515.000000	78.537	0.2630
522.000000	78.522	0.6384
530.000000	78.503	1.0571
538.000000	78.489	1.4712
545.000000	78.474	1.8348
552.000000	78.463	2.2072
560.000000	78.450	2.6265
570.000000	78.433	3.1484
580.000000	78.416	3.6857
590.000000	78.403	4.2174
600.000000	78.389	4.7403
608.000000	78.381	5.1743
615.000000	78.375	5.5468
622.000000	78.370	5.9258
630.000000	78.363	6.3524
640.000000	78.355	6.8843
650.000000	78.349	7.4435
660.000000	78.345	7.9846
670.000000	78.342	8.5178
680.000000	78.340	9.0841
690.000000	78.338	9.6362
700.000000	78.340	10.1755
710.000000	78.346	10.7234
720.000000	78.352	11.2842
730.000000	78.360	11.8485
740.000000	78.368	12.4083
750.000000	78.378	12.9676
762.000000	78.391	13.6428
775.000000	78.409	14.4024
788.000000	78.431	15.1352
800.000000	78.457	15.8204
812.000000	78.481	16.5191
825.000000	78.514	17.2651
838.000000	78.550	18.0139
850.000000	78.588	18.7204
862.000000	78.631	19.4119
875.000000	78.681	20.1499
885.000000	78.720	20.7265
900.000000	78.785	21.5573
912.000000	78.841	22.2393
925.000000	78.908	22.9375
938.000000	78.978	23.6412
950.000000	79.045	24.2679
962.000000	79.119	24.8742
975.000000	79.202	25.5166
988.000000	79.293	26.1338
1000.000000	79.383	26.7047
1015.000000	79.486	27.3497
1030.000000	79.597	27.9613
1044.000000	79.705	28.5073
1060.000000	79.834	29.0854
1075.000000	79.957	29.5664
1090.000000	80.085	30.0034
1106.000000	80.224	30.4247
1120.000000	80.344	30.7356
1138.000000	80.500	31.0708
1150.000000	80.603	31.2565
1172.000000	80.791	31.4565
1180.000000	80.856	31.4949
1206.000000	81.038	31.4995
1220.000000	81.119	31.5480
1241.000000	81.237	31.7437
1250.000000	81.292	31.8613
1265.000000	81.391	32.0434
1280.000000	81.494	32.1809
1315.000000	81.736	32.3377
1320.000000	81.769	32.3430
1340.000000	81.901	32.3353
1360.000000	82.027	32.3040
1380.000000	82.147	32.2622
1400.000000	82.262	32.2030
1430.000000	82.427	32.0839
1450.000000	82.530	32.0148
1475.000000	82.655	31.9048
1500.000000	82.778	31.8098
1525.000000	82.896	31.7125
1550.000000	83.012	31.6226
1575.000000	83.127	31.5395
1600.000000	83.240	31.4515
1625.000000	83.351	31.3546
1650.000000	83.461	31.2660
1675.000000	83.572	31.1874
1700.000000	83.685	31.1010
1725.000000	83.796	31.0205
1750.000000	83.908	30.9234
1775.000000	84.020	30.8194
1800.000000	84.134	30.7068
