* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.514
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 26 Jul, 2023 10:47:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CVJ FREEDOM DD Jul 26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.142	38.8375
20.299999	91.181	38.2722
20.600000	91.219	37.7122
20.900000	91.256	37.1614
21.200001	91.294	36.6224
21.400000	91.319	36.2695
21.799999	91.370	35.5770
22.000000	91.396	35.2361
22.400000	91.448	34.5626
22.700001	91.487	34.0660
23.000000	91.523	33.5802
23.299999	91.558	33.1088
23.600000	91.592	32.6540
24.000000	91.635	32.0730
24.299999	91.665	31.6530
24.700001	91.705	31.1089
25.000000	91.732	30.7101
25.400000	91.767	30.1897
25.799999	91.798	29.6809
26.200001	91.827	29.1796
26.500000	91.848	28.8046
26.900000	91.873	28.3032
27.200001	91.890	27.9267
27.600000	91.910	27.4284
28.000000	91.928	26.9389
28.500000	91.952	26.3369
29.000000	91.976	25.7326
29.500000	92.000	25.1195
30.000000	92.022	24.5112
30.400000	92.038	24.0413
30.700001	92.050	23.7008
31.100000	92.068	23.2567
31.500000	92.087	22.8150
32.000000	92.109	22.2608
32.500000	92.127	21.7194
33.000000	92.142	21.2141
33.500000	92.156	20.7451
34.000000	92.174	20.2848
34.500000	92.190	19.8084
35.000000	92.202	19.3221
35.500000	92.208	18.8527
36.000000	92.214	18.4123
36.500000	92.221	17.9831
37.000000	92.229	17.5411
37.500000	92.236	17.0866
38.200001	92.240	16.4686
38.700001	92.243	16.0521
39.500000	92.252	15.3923
40.000000	92.257	14.9736
40.599998	92.260	14.4793
41.200001	92.262	14.0055
41.799999	92.263	13.5507
42.500000	92.264	13.0403
43.099998	92.266	12.6099
43.700001	92.267	12.1719
44.400002	92.265	11.6602
45.000000	92.261	11.2413
45.500000	92.259	10.9030
46.200001	92.256	10.4276
46.799999	92.251	10.0253
47.500000	92.244	9.5820
48.200001	92.240	9.1479
48.700001	92.236	8.8351
49.400002	92.229	8.4126
50.000000	92.225	8.0632
50.799999	92.221	7.5654
51.500000	92.210	7.1136
52.200001	92.194	6.7091
53.000000	92.182	6.2871
53.799999	92.173	5.8391
54.500000	92.161	5.4433
55.200001	92.149	5.0708
56.000000	92.136	4.6490
57.000000	92.115	4.1285
58.000000	92.096	3.6781
59.000000	92.086	3.1805
60.000000	92.061	2.6543
60.799999	92.042	2.3055
61.500000	92.031	1.9904
62.200001	92.016	1.6513
63.000000	91.997	1.2973
64.000000	91.979	0.8716
65.000000	91.957	0.4201
66.000000	91.933	0.0103
67.000000	91.910	-0.4042
68.000000	91.884	-0.7995
69.000000	91.862	-1.1866
70.000000	91.837	-1.6003
71.000000	91.807	-1.9665
72.000000	91.783	-2.3222
73.000000	91.757	-2.6888
74.000000	91.729	-3.0278
75.000000	91.705	-3.3549
76.199997	91.676	-3.7764
77.500000	91.640	-4.2131
78.800003	91.603	-4.6381
80.000000	91.571	-5.0100
81.199997	91.535	-5.3602
82.500000	91.504	-5.7325
83.800003	91.465	-6.1285
85.000000	91.432	-6.4654
86.199997	91.397	-6.8009
87.500000	91.361	-7.1529
88.500000	91.332	-7.4226
90.000000	91.287	-7.8058
91.199997	91.254	-8.0927
92.500000	91.214	-8.4248
93.800003	91.178	-8.7184
95.000000	91.142	-9.0177
96.199997	91.106	-9.2812
97.500000	91.066	-9.5806
98.800003	91.031	-9.8424
100.000000	90.993	-10.1454
101.500000	90.944	-10.4001
103.000000	90.901	-10.7108
104.400002	90.863	-10.9731
106.000000	90.813	-11.2841
107.500000	90.766	-11.5454
109.000000	90.725	-11.8002
110.599998	90.674	-12.0756
112.000000	90.633	-12.3255
113.800003	90.576	-12.6009
115.000000	90.540	-12.8068
117.199997	90.476	-13.1238
118.000000	90.452	-13.2466
120.599998	90.374	-13.6070
122.000000	90.333	-13.8019
124.099998	90.268	-14.0744
125.000000	90.241	-14.1852
126.500000	90.198	-14.3705
128.000000	90.151	-14.5513
131.500000	90.045	-14.9050
132.000000	90.032	-14.9536
134.000000	89.970	-15.1841
136.000000	89.914	-15.3809
138.000000	89.851	-15.5598
140.000000	89.796	-15.7734
143.000000	89.710	-16.0218
145.000000	89.653	-16.2050
147.500000	89.586	-16.3392
150.000000	89.502	-16.5629
152.500000	89.441	-16.7042
155.000000	89.364	-16.8647
157.500000	89.292	-16.9865
160.000000	89.224	-17.1099
162.500000	89.156	-17.2337
165.000000	89.085	-17.3415
167.500000	89.020	-17.4075
170.000000	88.945	-17.5744
172.500000	88.878	-17.6606
175.000000	88.814	-17.6956
177.500000	88.754	-17.7444
180.000000	88.677	-17.8111
182.500000	88.618	-17.8495
185.000000	88.555	-17.9063
187.500000	88.492	-17.9517
190.000000	88.425	-17.9648
192.500000	88.362	-17.9622
195.000000	88.300	-17.9780
197.500000	88.239	-18.0075
200.000000	88.179	-18.0037
203.000000	88.106	-17.9894
206.000000	88.029	-17.9498
209.000000	87.951	-17.9278
212.000000	87.887	-17.9369
214.000000	87.841	-17.8938
218.000000	87.750	-17.8126
220.000000	87.696	-17.7958
224.000000	87.612	-17.7390
227.000000	87.545	-17.6209
230.000000	87.479	-17.5528
233.000000	87.415	-17.4630
236.000000	87.348	-17.3852
240.000000	87.265	-17.2770
243.000000	87.196	-17.1387
247.000000	87.118	-17.0101
250.000000	87.050	-16.9549
254.000000	86.971	-16.7489
258.000000	86.891	-16.5515
262.000000	86.815	-16.4053
265.000000	86.756	-16.2812
269.000000	86.685	-16.0949
272.000000	86.626	-15.9168
276.000000	86.549	-15.7315
280.000000	86.483	-15.5204
285.000000	86.381	-15.2350
290.000000	86.299	-14.9740
295.000000	86.219	-14.7000
300.000000	86.126	-14.3486
304.000000	86.062	-14.1673
307.000000	86.016	-13.9450
311.000000	85.948	-13.7026
315.000000	85.884	-13.4641
320.000000	85.814	-13.1276
325.000000	85.735	-12.7496
330.000000	85.652	-12.3938
335.000000	85.578	-12.0791
340.000000	85.512	-11.7512
345.000000	85.438	-11.3764
350.000000	85.367	-11.0104
355.000000	85.301	-10.6669
360.000000	85.235	-10.2649
365.000000	85.163	-9.9283
370.000000	85.118	-9.5965
375.000000	85.055	-9.1838
382.000000	84.970	-8.6316
387.000000	84.907	-8.1968
395.000000	84.825	-7.6048
400.000000	84.757	-7.1764
406.000000	84.696	-6.7806
412.000000	84.641	-6.2553
418.000000	84.580	-5.8341
425.000000	84.511	-5.2677
431.000000	84.456	-4.7903
437.000000	84.402	-4.3069
444.000000	84.329	-3.7084
450.000000	84.271	-3.2206
455.000000	84.234	-2.8902
462.000000	84.172	-2.2627
468.000000	84.116	-1.8326
475.000000	84.059	-1.1962
482.000000	84.006	-0.6961
487.000000	83.967	-0.2179
494.000000	83.917	0.3669
500.000000	83.865	0.8418
508.000000	83.804	1.5319
