* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.514
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 26 Jul, 2023 11:00:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DUNU FALCON PRO Jul 26
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.342	-137.8693
20.299999	91.394	-138.4610
20.600000	91.444	-139.0405
20.900000	91.492	-139.6104
21.200001	91.539	-140.1749
21.400000	91.570	-140.5501
21.799999	91.627	-141.2983
22.000000	91.654	-141.6699
22.400000	91.705	-142.4031
22.700001	91.741	-142.9403
23.000000	91.775	-143.4664
23.299999	91.809	-143.9859
23.600000	91.843	-144.5037
24.000000	91.887	-145.1971
24.299999	91.918	-145.7190
24.700001	91.957	-146.4115
25.000000	91.984	-146.9231
25.400000	92.018	-147.5912
25.799999	92.050	-148.2439
26.200001	92.081	-148.8827
26.500000	92.104	-149.3528
26.900000	92.133	-149.9670
27.200001	92.154	-150.4192
27.600000	92.182	-151.0138
28.000000	92.208	-151.6031
28.500000	92.239	-152.3315
29.000000	92.265	-153.0417
29.500000	92.289	-153.7268
30.000000	92.312	-154.3931
30.400000	92.329	-154.9209
30.700001	92.342	-155.3162
31.100000	92.356	-155.8409
31.500000	92.369	-156.3590
32.000000	92.383	-156.9918
32.500000	92.395	-157.6077
33.000000	92.408	-158.2128
33.500000	92.419	-158.8126
34.000000	92.429	-159.4067
34.500000	92.438	-159.9903
35.000000	92.445	-160.5617
35.500000	92.452	-161.1250
36.000000	92.457	-161.6829
36.500000	92.459	-162.2314
37.000000	92.460	-162.7631
37.500000	92.460	-163.2761
38.200001	92.460	-163.9717
38.700001	92.459	-164.4603
39.500000	92.458	-165.2379
40.000000	92.456	-165.7220
40.599998	92.451	-166.2937
41.200001	92.446	-166.8508
41.799999	92.440	-167.4030
42.500000	92.432	-168.0492
43.099998	92.420	-168.5858
43.700001	92.408	-169.0916
44.400002	92.395	-169.6602
45.000000	92.384	-170.1453
45.500000	92.374	-170.5417
46.200001	92.359	-171.0770
46.799999	92.348	-171.5325
47.500000	92.333	-172.0723
48.200001	92.314	-172.5954
48.700001	92.301	-172.9507
49.400002	92.285	-173.4465
50.000000	92.269	-173.8806
50.799999	92.243	-174.4310
51.500000	92.223	-174.8785
52.200001	92.205	-175.3440
53.000000	92.177	-175.8816
53.799999	92.148	-176.3489
54.500000	92.129	-176.7471
55.200001	92.110	-177.1895
56.000000	92.078	-177.6785
57.000000	92.041	-178.2215
58.000000	92.004	-178.7840
59.000000	91.964	-179.2625
60.000000	91.938	-179.7720
60.799999	91.907	179.7608
61.500000	91.872	179.4109
62.200001	91.843	179.1081
63.000000	91.814	178.7471
64.000000	91.776	178.2750
65.000000	91.735	177.8197
66.000000	91.694	177.3910
67.000000	91.654	176.9774
68.000000	91.614	176.5587
69.000000	91.569	176.1637
70.000000	91.528	175.8118
71.000000	91.490	175.4277
72.000000	91.445	175.0672
73.000000	91.405	174.7163
74.000000	91.360	174.3559
75.000000	91.317	174.0493
76.199997	91.267	173.6385
77.500000	91.211	173.2649
78.800003	91.156	172.8513
80.000000	91.102	172.5199
81.199997	91.049	172.1855
82.500000	90.994	171.8560
83.800003	90.939	171.5056
85.000000	90.886	171.2148
86.199997	90.834	170.9376
87.500000	90.781	170.6506
88.500000	90.738	170.4096
90.000000	90.669	170.1226
91.199997	90.623	169.8839
92.500000	90.565	169.6157
93.800003	90.509	169.3757
95.000000	90.456	169.1662
96.199997	90.406	168.9623
97.500000	90.352	168.7488
98.800003	90.296	168.5336
100.000000	90.245	168.3801
101.500000	90.184	168.1461
103.000000	90.121	167.9810
104.400002	90.068	167.7725
106.000000	89.996	167.5644
107.500000	89.940	167.4174
109.000000	89.878	167.2436
110.599998	89.815	167.0850
112.000000	89.755	166.9626
113.800003	89.681	166.8236
115.000000	89.637	166.7314
117.199997	89.547	166.5623
118.000000	89.519	166.4966
120.599998	89.418	166.3380
122.000000	89.366	166.2843
124.099998	89.284	166.1538
125.000000	89.249	166.1134
126.500000	89.192	166.0698
128.000000	89.139	166.0010
131.500000	89.008	165.9282
132.000000	88.993	165.8889
134.000000	88.913	165.8363
136.000000	88.846	165.7950
138.000000	88.774	165.7885
140.000000	88.703	165.7663
143.000000	88.596	165.7419
145.000000	88.536	165.8058
147.500000	88.446	165.8153
150.000000	88.359	165.8150
152.500000	88.285	165.8852
155.000000	88.206	165.9274
157.500000	88.127	166.0477
160.000000	88.045	166.1053
162.500000	87.969	166.2042
165.000000	87.893	166.2987
167.500000	87.817	166.4127
170.000000	87.742	166.5342
172.500000	87.672	166.6472
175.000000	87.596	166.7976
177.500000	87.523	166.9493
180.000000	87.455	167.1088
182.500000	87.384	167.2623
185.000000	87.320	167.4189
187.500000	87.251	167.6326
190.000000	87.182	167.7907
192.500000	87.118	167.9715
195.000000	87.061	168.1185
197.500000	86.992	168.3728
200.000000	86.938	168.5471
203.000000	86.861	168.8289
206.000000	86.786	169.0618
209.000000	86.717	169.3334
212.000000	86.647	169.6187
214.000000	86.602	169.8007
218.000000	86.513	170.1619
220.000000	86.476	170.3367
224.000000	86.385	170.7910
227.000000	86.323	171.0577
230.000000	86.260	171.3697
233.000000	86.198	171.6837
236.000000	86.139	171.9928
240.000000	86.064	172.4110
243.000000	86.015	172.7377
247.000000	85.944	173.1484
250.000000	85.891	173.4306
254.000000	85.821	173.8786
258.000000	85.756	174.3493
262.000000	85.693	174.7341
265.000000	85.645	175.0518
269.000000	85.578	175.4636
272.000000	85.534	175.7839
276.000000	85.476	176.2072
280.000000	85.420	176.6053
285.000000	85.352	177.1851
290.000000	85.271	177.6970
295.000000	85.198	178.2100
300.000000	85.131	178.7394
304.000000	85.083	179.1788
307.000000	85.035	179.5013
311.000000	84.978	179.9215
315.000000	84.928	-179.6126
320.000000	84.866	-179.0833
325.000000	84.799	-178.4996
330.000000	84.735	-177.9285
335.000000	84.680	-177.3696
340.000000	84.610	-176.7770
345.000000	84.554	-176.2233
350.000000	84.496	-175.6445
355.000000	84.445	-175.0370
360.000000	84.385	-174.4552
365.000000	84.340	-173.9040
370.000000	84.293	-173.3010
375.000000	84.234	-172.7225
382.000000	84.175	-171.9160
387.000000	84.125	-171.2977
395.000000	84.049	-170.2742
400.000000	84.005	-169.7445
406.000000	83.959	-168.9725
412.000000	83.907	-168.3139
418.000000	83.861	-167.5519
