* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.433
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Jul, 2023 9:57:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FIIO FX15 EST OFF Jul 21
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.222	-170.1797
20.299999	91.221	-170.4861
20.600000	91.218	-170.7891
20.900000	91.212	-171.0892
21.200001	91.204	-171.3857
21.400000	91.197	-171.5816
21.799999	91.181	-171.9705
22.000000	91.173	-172.1645
22.400000	91.154	-172.5538
22.700001	91.140	-172.8478
23.000000	91.126	-173.1443
23.299999	91.113	-173.4436
23.600000	91.101	-173.7465
24.000000	91.085	-174.1559
24.299999	91.075	-174.4663
24.700001	91.063	-174.8807
25.000000	91.054	-175.1876
25.400000	91.044	-175.5865
25.799999	91.035	-175.9700
26.200001	91.028	-176.3379
26.500000	91.023	-176.6042
26.900000	91.017	-176.9456
27.200001	91.012	-177.1902
27.600000	91.005	-177.4990
28.000000	90.998	-177.7887
28.500000	90.987	-178.1318
29.000000	90.974	-178.4646
29.500000	90.958	-178.7895
30.000000	90.938	-179.1001
30.400000	90.921	-179.3379
30.700001	90.908	-179.5144
31.100000	90.892	-179.7556
31.500000	90.876	179.9917
32.000000	90.855	179.6658
32.500000	90.832	179.3455
33.000000	90.812	179.0355
33.500000	90.796	178.7196
34.000000	90.781	178.3849
34.500000	90.762	178.0479
35.000000	90.741	177.7410
35.500000	90.722	177.4772
36.000000	90.707	177.2328
36.500000	90.695	176.9777
37.000000	90.680	176.7080
37.500000	90.661	176.4468
38.200001	90.630	176.1263
38.700001	90.610	175.9167
39.500000	90.580	175.5667
40.000000	90.560	175.3364
40.599998	90.535	175.0577
41.200001	90.509	174.7816
41.799999	90.482	174.5153
42.500000	90.453	174.2249
43.099998	90.432	173.9791
43.700001	90.410	173.7218
44.400002	90.382	173.4257
45.000000	90.356	173.1996
45.500000	90.335	173.0272
46.200001	90.308	172.7870
46.799999	90.284	172.5739
47.500000	90.256	172.3211
48.200001	90.226	172.0670
48.700001	90.203	171.8916
49.400002	90.171	171.6660
50.000000	90.146	171.4857
50.799999	90.117	171.2372
51.500000	90.090	171.0078
52.200001	90.062	170.7822
53.000000	90.029	170.5344
53.799999	89.992	170.2986
54.500000	89.960	170.1180
55.200001	89.932	169.9473
56.000000	89.900	169.7256
57.000000	89.855	169.4663
58.000000	89.819	169.2246
59.000000	89.777	168.9286
60.000000	89.729	168.7199
60.799999	89.698	168.5641
61.500000	89.669	168.4107
62.200001	89.638	168.2780
63.000000	89.605	168.1334
64.000000	89.564	167.9315
65.000000	89.522	167.7242
66.000000	89.477	167.5225
67.000000	89.435	167.3539
68.000000	89.395	167.1733
69.000000	89.355	167.0084
70.000000	89.316	166.8410
71.000000	89.273	166.6770
72.000000	89.233	166.5479
73.000000	89.192	166.3967
74.000000	89.149	166.2753
75.000000	89.111	166.1580
76.199997	89.062	165.9903
77.500000	89.007	165.8391
78.800003	88.954	165.7105
80.000000	88.907	165.5802
81.199997	88.860	165.4652
82.500000	88.811	165.3347
83.800003	88.759	165.2079
85.000000	88.709	165.1287
86.199997	88.668	165.0425
87.500000	88.612	164.9223
88.500000	88.579	164.8935
90.000000	88.522	164.6908
91.199997	88.471	164.6805
92.500000	88.427	164.6076
93.800003	88.377	164.5733
95.000000	88.333	164.5394
96.199997	88.291	164.5053
97.500000	88.243	164.4541
98.800003	88.194	164.4194
100.000000	88.154	164.4129
101.500000	88.103	164.3420
103.000000	88.048	164.3203
104.400002	87.996	164.2741
106.000000	87.942	164.3070
107.500000	87.895	164.2414
109.000000	87.843	164.2688
110.599998	87.794	164.2580
112.000000	87.744	164.2440
113.800003	87.683	164.3055
115.000000	87.646	164.2789
117.199997	87.578	164.3293
118.000000	87.551	164.3129
120.599998	87.471	164.4020
122.000000	87.423	164.4300
124.099998	87.366	164.4908
125.000000	87.336	164.5076
126.500000	87.293	164.5640
128.000000	87.250	164.6326
131.500000	87.150	164.7857
132.000000	87.136	164.8107
134.000000	87.083	164.9025
136.000000	87.022	164.9774
138.000000	86.968	165.0994
140.000000	86.912	165.1836
143.000000	86.839	165.3491
145.000000	86.785	165.4721
147.500000	86.716	165.6089
150.000000	86.659	165.7851
152.500000	86.595	165.9289
155.000000	86.541	166.0906
157.500000	86.484	166.2529
160.000000	86.417	166.4707
162.500000	86.365	166.6291
165.000000	86.310	166.8273
167.500000	86.262	167.0316
170.000000	86.205	167.2431
172.500000	86.156	167.4762
175.000000	86.095	167.6551
177.500000	86.047	167.8548
180.000000	85.998	168.0438
182.500000	85.955	168.2798
185.000000	85.908	168.4866
187.500000	85.864	168.7009
190.000000	85.817	168.9322
192.500000	85.768	169.1986
195.000000	85.723	169.4186
197.500000	85.680	169.6213
200.000000	85.651	169.8910
203.000000	85.600	170.1818
206.000000	85.547	170.4000
209.000000	85.504	170.7175
212.000000	85.457	170.9895
214.000000	85.423	171.2176
218.000000	85.374	171.5635
220.000000	85.332	171.8154
224.000000	85.287	172.2618
227.000000	85.243	172.4845
230.000000	85.204	172.7255
233.000000	85.165	173.1063
236.000000	85.128	173.4081
240.000000	85.106	173.7504
243.000000	85.049	174.0644
247.000000	85.005	174.5125
250.000000	84.971	174.8254
254.000000	84.930	175.2258
258.000000	84.894	175.6218
