* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.706
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 29 Jun, 2023 11:58:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KIWIEARS DOLCE
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.935	-164.6507
20.299999	93.937	-165.0409
20.600000	93.940	-165.4291
20.900000	93.944	-165.8087
21.200001	93.950	-166.1742
21.400000	93.955	-166.4105
21.799999	93.967	-166.8685
22.000000	93.974	-167.0907
22.400000	93.988	-167.5192
22.700001	93.998	-167.8210
23.000000	94.007	-168.1028
23.299999	94.017	-168.3682
23.600000	94.027	-168.6234
24.000000	94.038	-168.9552
24.299999	94.043	-169.1967
24.700001	94.046	-169.4991
25.000000	94.045	-169.7063
25.400000	94.043	-169.9617
25.799999	94.042	-170.2137
26.200001	94.038	-170.4800
26.500000	94.033	-170.6877
26.900000	94.023	-170.9626
27.200001	94.015	-171.1598
27.600000	94.006	-171.4135
28.000000	94.001	-171.6759
28.500000	93.999	-172.0441
29.000000	93.994	-172.4504
29.500000	93.986	-172.8521
30.000000	93.977	-173.2102
30.400000	93.974	-173.4659
30.700001	93.975	-173.6501
31.100000	93.979	-173.9009
31.500000	93.983	-174.1628
32.000000	93.984	-174.4869
32.500000	93.981	-174.7694
33.000000	93.981	-175.0032
33.500000	93.985	-175.2346
34.000000	93.990	-175.5117
34.500000	93.984	-175.8167
35.000000	93.969	-176.0882
35.500000	93.952	-176.2976
36.000000	93.942	-176.4843
36.500000	93.936	-176.6982
37.000000	93.928	-176.9431
37.500000	93.918	-177.1884
38.200001	93.904	-177.5054
38.700001	93.897	-177.7279
39.500000	93.888	-178.0984
40.000000	93.881	-178.3307
40.599998	93.873	-178.6014
41.200001	93.862	-178.8578
41.799999	93.851	-179.0945
42.500000	93.840	-179.3486
