* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.402
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 19 Jul, 2023 10:16:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ KRILA DUUU Jul 19
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.639	2.9724
20.299999	92.622	2.4662
20.600000	92.606	1.9716
20.900000	92.591	1.4817
21.200001	92.575	0.9935
21.400000	92.563	0.6727
21.799999	92.537	0.0535
22.000000	92.524	-0.2415
22.400000	92.498	-0.8029
22.700001	92.480	-1.2112
23.000000	92.464	-1.6217
23.299999	92.447	-2.0378
23.600000	92.427	-2.4539
24.000000	92.398	-2.9940
24.299999	92.376	-3.3808
24.700001	92.347	-3.8766
25.000000	92.326	-4.2440
25.400000	92.299	-4.7393
25.799999	92.271	-5.2389
26.200001	92.242	-5.7303
26.500000	92.219	-6.0886
26.900000	92.189	-6.5533
27.200001	92.168	-6.8954
27.600000	92.140	-7.3457
28.000000	92.113	-7.7888
28.500000	92.080	-8.3325
29.000000	92.047	-8.8688
29.500000	92.012	-9.3933
30.000000	91.976	-9.8912
30.400000	91.948	-10.2686
30.700001	91.928	-10.5453
31.100000	91.902	-10.9139
31.500000	91.875	-11.2833
32.000000	91.840	-11.7365
32.500000	91.803	-12.1749
33.000000	91.767	-12.6102
33.500000	91.730	-13.0477
34.000000	91.689	-13.4705
34.500000	91.648	-13.8643
35.000000	91.611	-14.2424
35.500000	91.577	-14.6276
36.000000	91.542	-15.0205
36.500000	91.506	-15.4047
37.000000	91.470	-15.7726
37.500000	91.436	-16.1310
38.200001	91.389	-16.6273
38.700001	91.354	-16.9771
39.500000	91.297	-17.5199
40.000000	91.259	-17.8367
40.599998	91.216	-18.1894
41.200001	91.176	-18.5393
41.799999	91.137	-18.9152
42.500000	91.086	-19.3701
43.099998	91.038	-19.7287
43.700001	90.993	-20.0478
44.400002	90.947	-20.4194
45.000000	90.910	-20.7709
45.500000	90.874	-21.0631
46.200001	90.823	-21.4227
46.799999	90.784	-21.7040
47.500000	90.741	-22.0558
48.200001	90.694	-22.3998
48.700001	90.661	-22.6204
49.400002	90.618	-22.9327
50.000000	90.580	-23.2251
50.799999	90.522	-23.5953
51.500000	90.472	-23.8777
52.200001	90.426	-24.1523
53.000000	90.376	-24.4806
53.799999	90.324	-24.8241
54.500000	90.275	-25.1083
55.200001	90.227	-25.3628
56.000000	90.177	-25.6510
57.000000	90.112	-26.0107
58.000000	90.051	-26.3480
59.000000	89.988	-26.6998
60.000000	89.924	-27.0057
60.799999	89.880	-27.2659
61.500000	89.835	-27.5182
62.200001	89.787	-27.7213
63.000000	89.740	-27.9141
64.000000	89.685	-28.2246
65.000000	89.621	-28.5039
66.000000	89.563	-28.7535
67.000000	89.503	-29.0040
68.000000	89.449	-29.2306
69.000000	89.393	-29.5031
70.000000	89.330	-29.7156
71.000000	89.281	-29.9130
72.000000	89.224	-30.1823
73.000000	89.162	-30.3586
74.000000	89.112	-30.5381
75.000000	89.058	-30.7462
76.199997	88.993	-30.9829
77.500000	88.918	-31.1974
78.800003	88.855	-31.3915
80.000000	88.793	-31.6030
81.199997	88.729	-31.7913
82.500000	88.662	-31.9691
83.800003	88.599	-32.1678
85.000000	88.536	-32.3424
86.199997	88.478	-32.4703
87.500000	88.421	-32.6454
88.500000	88.371	-32.7894
90.000000	88.297	-32.9294
91.199997	88.243	-33.0546
92.500000	88.184	-33.1724
93.800003	88.127	-33.3276
95.000000	88.072	-33.4422
96.199997	88.019	-33.5623
97.500000	87.962	-33.6625
98.800003	87.907	-33.7696
100.000000	87.856	-33.8607
101.500000	87.793	-33.9426
103.000000	87.733	-34.0583
104.400002	87.675	-34.1351
106.000000	87.614	-34.2408
107.500000	87.552	-34.3373
109.000000	87.495	-34.3976
110.599998	87.434	-34.4711
112.000000	87.378	-34.5301
113.800003	87.313	-34.5498
115.000000	87.273	-34.6116
117.199997	87.190	-34.6904
118.000000	87.165	-34.7258
120.599998	87.074	-34.8040
122.000000	87.026	-34.8080
124.099998	86.955	-34.8713
125.000000	86.928	-34.8694
126.500000	86.877	-34.9152
128.000000	86.832	-34.9229
131.500000	86.722	-34.9654
132.000000	86.706	-34.9789
134.000000	86.645	-34.9996
136.000000	86.593	-35.0054
138.000000	86.531	-34.9890
140.000000	86.474	-34.9889
143.000000	86.389	-34.9918
145.000000	86.334	-34.9806
147.500000	86.268	-34.9821
150.000000	86.205	-34.9417
152.500000	86.142	-34.9258
155.000000	86.088	-34.9095
157.500000	86.032	-34.8227
160.000000	85.961	-34.7799
162.500000	85.907	-34.7480
165.000000	85.852	-34.7069
167.500000	85.799	-34.6820
170.000000	85.745	-34.6427
172.500000	85.691	-34.5333
175.000000	85.646	-34.5354
177.500000	85.593	-34.4557
180.000000	85.547	-34.3364
182.500000	85.497	-34.2947
185.000000	85.456	-34.2415
187.500000	85.408	-34.2082
190.000000	85.367	-34.1078
192.500000	85.321	-34.0162
195.000000	85.280	-33.9805
197.500000	85.240	-33.9027
200.000000	85.205	-33.7947
203.000000	85.160	-33.6516
206.000000	85.111	-33.6190
209.000000	85.064	-33.5200
212.000000	85.018	-33.3892
214.000000	84.987	-33.3319
218.000000	84.933	-33.2070
220.000000	84.903	-33.1369
224.000000	84.853	-33.0052
227.000000	84.811	-32.9218
230.000000	84.773	-32.8018
233.000000	84.743	-32.6955
236.000000	84.706	-32.6478
240.000000	84.657	-32.4620
243.000000	84.623	-32.3410
247.000000	84.579	-32.2687
250.000000	84.547	-32.1550
254.000000	84.507	-32.0439
258.000000	84.472	-31.8503
262.000000	84.431	-31.7396
265.000000	84.403	-31.6388
269.000000	84.371	-31.5162
272.000000	84.338	-31.4160
276.000000	84.311	-31.2675
280.000000	84.274	-31.1298
285.000000	84.234	-31.0038
290.000000	84.197	-30.7938
295.000000	84.159	-30.6238
300.000000	84.119	-30.4373
304.000000	84.098	-30.3430
307.000000	84.077	-30.2158
311.000000	84.046	-30.0704
315.000000	84.019	-29.9376
320.000000	83.994	-29.7864
325.000000	83.960	-29.6445
330.000000	83.941	-29.5117
335.000000	83.905	-29.3022
340.000000	83.889	-29.1620
345.000000	83.850	-28.9893
350.000000	83.825	-28.8802
355.000000	83.815	-28.6756
360.000000	83.786	-28.5616
365.000000	83.770	-28.4554
370.000000	83.748	-28.2904
375.000000	83.725	-28.1217
382.000000	83.704	-27.9475
387.000000	83.675	-27.8209
395.000000	83.649	-27.6188
400.000000	83.636	-27.4431
406.000000	83.607	-27.3315
412.000000	83.592	-27.1558
418.000000	83.562	-26.9576
425.000000	83.549	-26.8067
431.000000	83.528	-26.6293
437.000000	83.510	-26.4696
444.000000	83.495	-26.2108
450.000000	83.484	-26.1130
455.000000	83.462	-25.9297
462.000000	83.438	-25.7401
468.000000	83.437	-25.6053
475.000000	83.407	-25.3988
482.000000	83.390	-25.1294
487.000000	83.386	-25.0109
494.000000	83.372	-24.7969
500.000000	83.357	-24.6354
508.000000	83.345	-24.3936
515.000000	83.331	-24.1985
522.000000	83.323	-23.8666
530.000000	83.302	-23.7219
538.000000	83.303	-23.4953
545.000000	83.289	-23.2562
552.000000	83.275	-23.0231
560.000000	83.263	-22.7388
570.000000	83.255	-22.4787
580.000000	83.254	-22.1741
590.000000	83.247	-21.8263
600.000000	83.235	-21.5245
608.000000	83.243	-21.2851
615.000000	83.235	-21.0577
622.000000	83.233	-20.7957
630.000000	83.226	-20.5164
640.000000	83.235	-20.2142
650.000000	83.227	-19.7916
660.000000	83.237	-19.4207
670.000000	83.230	-19.0612
680.000000	83.235	-18.6819
690.000000	83.254	-18.3125
700.000000	83.272	-18.1501
710.000000	83.207	-17.8235
720.000000	83.186	-16.8385
730.000000	83.258	-16.0299
740.000000	83.323	-15.5605
750.000000	83.390	-15.1635
762.000000	83.452	-14.8336
775.000000	83.512	-14.4041
788.000000	83.560	-13.9120
800.000000	83.605	-13.5082
812.000000	83.661	-13.1173
825.000000	83.720	-12.5791
838.000000	83.777	-12.2078
850.000000	83.835	-11.7476
862.000000	83.901	-11.3193
875.000000	83.983	-10.9773
885.000000	84.035	-10.5248
900.000000	84.128	-10.0712
912.000000	84.208	-9.7170
925.000000	84.295	-9.3270
938.000000	84.398	-9.0124
950.000000	84.482	-8.6927
962.000000	84.570	-8.4346
975.000000	84.680	-8.1174
988.000000	84.768	-7.9039
1000.000000	84.864	-7.7443
1015.000000	85.011	-7.4299
1030.000000	85.127	-7.2930
1044.000000	85.238	-7.1235
1060.000000	85.373	-7.0563
1075.000000	85.507	-6.9392
1090.000000	85.624	-6.9365
1106.000000	85.757	-7.0126
1120.000000	85.863	-7.0001
1138.000000	85.993	-7.1143
1150.000000	86.088	-7.2267
1172.000000	86.252	-7.3702
1180.000000	86.315	-7.4502
1206.000000	86.496	-7.7377
1220.000000	86.585	-7.8667
1241.000000	86.725	-8.1031
1250.000000	86.781	-8.2436
1265.000000	86.867	-8.4868
1280.000000	86.966	-8.6216
1315.000000	87.156	-9.1337
1320.000000	87.188	-9.1908
1340.000000	87.299	-9.4742
1360.000000	87.408	-9.7659
1380.000000	87.515	-9.9999
1400.000000	87.616	-10.3003
1430.000000	87.763	-10.6899
1450.000000	87.860	-10.9555
1475.000000	87.986	-11.2570
1500.000000	88.107	-11.5856
1525.000000	88.227	-11.9042
1550.000000	88.351	-12.2716
1575.000000	88.467	-12.5588
1600.000000	88.587	-12.8168
1625.000000	88.705	-13.1439
1650.000000	88.824	-13.5665
1675.000000	88.951	-13.8247
1700.000000	89.063	-14.1484
1725.000000	89.195	-14.4955
1750.000000	89.318	-14.8572
1775.000000	89.437	-15.2090
1800.000000	89.566	-15.5819
1825.000000	89.684	-15.9731
1850.000000	89.806	-16.4081
1875.000000	89.936	-16.8535
1900.000000	90.051	-17.2607
1925.000000	90.177	-17.7311
1950.000000	90.294	-18.2307
1975.000000	90.423	-18.7664
2000.000000	90.553	-19.3340
2030.000000	90.685	-19.9094
2060.000000	90.820	-20.6492
2090.000000	90.963	-21.2843
2120.000000	91.104	-22.0922
2140.000000	91.191	-22.6360
2180.000000	91.366	-23.7628
2200.000000	91.451	-24.3276
2240.000000	91.615	-25.4624
2270.000000	91.729	-26.4177
2300.000000	91.838	-27.3188
2330.000000	91.946	-28.3031
2360.000000	92.052	-29.3190
2400.000000	92.178	-30.6781
2430.000000	92.266	-31.6853
2470.000000	92.371	-33.0769
2500.000000	92.441	-34.1499
2540.000000	92.527	-35.5562
2580.000000	92.607	-36.9808
2620.000000	92.670	-38.3949
2650.000000	92.717	-39.4609
2690.000000	92.767	-40.8464
2720.000000	92.792	-41.9048
2760.000000	92.821	-43.2947
2800.000000	92.844	-44.5906
2850.000000	92.861	-46.2186
2900.000000	92.868	-47.8112
2950.000000	92.859	-49.3318
3000.000000	92.848	-50.8167
3040.000000	92.832	-51.8959
3070.000000	92.819	-52.6979
3110.000000	92.800	-53.7336
3150.000000	92.771	-54.7406
