* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.402
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 19 Jul, 2023 10:32:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ KRILA UDDD Jul 19
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.364	14.7554
20.299999	89.364	14.3080
20.600000	89.365	13.8710
20.900000	89.366	13.4399
21.200001	89.367	13.0126
21.400000	89.368	12.7316
21.799999	89.366	12.1843
22.000000	89.365	11.9202
22.400000	89.363	11.4116
22.700001	89.362	11.0430
23.000000	89.360	10.6800
23.299999	89.358	10.3209
23.600000	89.355	9.9680
24.000000	89.349	9.5126
24.299999	89.344	9.1857
24.700001	89.336	8.7672
25.000000	89.332	8.4613
25.400000	89.325	8.0565
25.799999	89.319	7.6519
26.200001	89.311	7.2505
26.500000	89.303	6.9553
26.900000	89.293	6.5734
27.200001	89.286	6.2960
27.600000	89.276	5.9355
28.000000	89.268	5.5784
28.500000	89.258	5.1298
29.000000	89.246	4.6866
29.500000	89.232	4.2684
30.000000	89.219	3.8801
30.400000	89.212	3.5763
30.700001	89.207	3.3438
31.100000	89.200	3.0278
31.500000	89.190	2.7178
32.000000	89.175	2.3604
32.500000	89.163	2.0317
33.000000	89.155	1.6953
33.500000	89.146	1.3317
34.000000	89.132	0.9644
34.500000	89.113	0.6270
35.000000	89.096	0.3224
35.500000	89.082	0.0284
36.000000	89.068	-0.2684
36.500000	89.055	-0.5634
37.000000	89.042	-0.8513
37.500000	89.031	-1.1370
38.200001	89.014	-1.5403
38.700001	89.000	-1.8218
39.500000	88.977	-2.2415
40.000000	88.963	-2.4905
40.599998	88.948	-2.7882
41.200001	88.932	-3.0847
41.799999	88.914	-3.3719
42.500000	88.894	-3.6957
43.099998	88.878	-3.9718
43.700001	88.861	-4.2457
44.400002	88.841	-4.5573
45.000000	88.825	-4.8218
45.500000	88.811	-5.0419
46.200001	88.792	-5.3418
46.799999	88.775	-5.5847
47.500000	88.756	-5.8500
48.200001	88.741	-6.1067
48.700001	88.732	-6.3013
49.400002	88.716	-6.5969
50.000000	88.697	-6.8397
50.799999	88.671	-7.1086
51.500000	88.653	-7.3257
52.200001	88.637	-7.5569
53.000000	88.619	-7.8325
53.799999	88.598	-8.1171
54.500000	88.577	-8.3514
55.200001	88.557	-8.5604
56.000000	88.538	-8.8053
57.000000	88.511	-9.1145
58.000000	88.488	-9.3954
59.000000	88.466	-9.7072
60.000000	88.441	-10.0020
60.799999	88.421	-10.2296
61.500000	88.402	-10.4192
62.200001	88.384	-10.5830
63.000000	88.369	-10.7803
64.000000	88.345	-11.0509
65.000000	88.321	-11.2887
66.000000	88.297	-11.5532
67.000000	88.269	-11.7822
68.000000	88.249	-12.0054
69.000000	88.227	-12.2701
70.000000	88.202	-12.5217
71.000000	88.176	-12.7490
72.000000	88.155	-12.9550
73.000000	88.133	-13.1788
74.000000	88.108	-13.3700
75.000000	88.090	-13.5508
76.199997	88.063	-13.8198
77.500000	88.030	-14.0323
78.800003	88.004	-14.2876
80.000000	87.975	-14.5020
81.199997	87.952	-14.7410
82.500000	87.917	-14.9816
83.800003	87.894	-15.2005
85.000000	87.868	-15.4348
86.199997	87.843	-15.6357
87.500000	87.819	-15.8512
88.500000	87.801	-16.0370
90.000000	87.763	-16.2936
91.199997	87.742	-16.4467
92.500000	87.718	-16.6686
93.800003	87.694	-16.8768
95.000000	87.665	-17.0814
96.199997	87.639	-17.2187
97.500000	87.613	-17.4192
98.800003	87.583	-17.5723
100.000000	87.564	-17.7284
101.500000	87.535	-17.9492
103.000000	87.508	-18.1378
104.400002	87.484	-18.3324
106.000000	87.449	-18.5171
107.500000	87.420	-18.7078
109.000000	87.389	-18.8503
110.599998	87.361	-19.0685
112.000000	87.337	-19.2587
113.800003	87.300	-19.4620
115.000000	87.282	-19.6150
117.199997	87.241	-19.8439
118.000000	87.227	-19.9374
120.599998	87.178	-20.1943
122.000000	87.155	-20.3606
124.099998	87.114	-20.5455
125.000000	87.097	-20.6303
126.500000	87.074	-20.7393
128.000000	87.048	-20.9404
131.500000	86.985	-21.2618
132.000000	86.974	-21.2930
134.000000	86.943	-21.4698
136.000000	86.909	-21.6113
138.000000	86.877	-21.7737
140.000000	86.840	-21.9509
143.000000	86.787	-22.1464
145.000000	86.756	-22.3350
147.500000	86.713	-22.4971
150.000000	86.671	-22.7121
152.500000	86.631	-22.8744
155.000000	86.595	-23.0017
157.500000	86.551	-23.1768
160.000000	86.513	-23.2964
162.500000	86.476	-23.4822
165.000000	86.435	-23.6215
167.500000	86.402	-23.7832
170.000000	86.366	-23.8793
172.500000	86.328	-24.0088
175.000000	86.287	-24.1162
177.500000	86.252	-24.2523
180.000000	86.223	-24.3754
182.500000	86.185	-24.4815
185.000000	86.148	-24.6030
187.500000	86.107	-24.7073
190.000000	86.077	-24.8109
192.500000	86.042	-24.9142
195.000000	86.006	-24.9583
197.500000	85.982	-25.0947
200.000000	85.946	-25.1467
203.000000	85.907	-25.2523
206.000000	85.859	-25.3536
209.000000	85.827	-25.4510
212.000000	85.790	-25.5376
214.000000	85.769	-25.5682
