* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, L, volume: 0.481
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 17 Nov, 2022 7:49:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ PR1 PRO L Nov 17
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.192	-153.0912
20.299999	93.227	-153.7275
20.600000	93.272	-154.3436
20.900000	93.294	-154.9408
21.200001	93.264	-155.5229
21.400000	93.248	-155.9059
21.799999	93.244	-156.6646
22.000000	93.248	-157.0423
22.400000	93.229	-157.7954
22.700001	93.225	-158.3567
23.000000	93.245	-158.9132
23.299999	93.251	-159.4647
23.600000	93.247	-160.0117
24.000000	93.249	-160.7355
24.299999	93.262	-161.2740
24.700001	93.272	-161.9844
25.000000	93.273	-162.5089
25.400000	93.277	-163.1946
25.799999	93.284	-163.8627
26.200001	93.300	-164.5125
26.500000	93.315	-164.9880
26.900000	93.328	-165.6071
27.200001	93.331	-166.0603
27.600000	93.333	-166.6497
28.000000	93.330	-167.2198
28.500000	93.320	-167.9025
29.000000	93.314	-168.5567
29.500000	93.302	-169.1954
30.000000	93.272	-169.8265
30.400000	93.248	-170.3213
30.700001	93.234	-170.6819
31.100000	93.206	-171.1478
31.500000	93.175	-171.6038
32.000000	93.153	-172.1777
32.500000	93.164	-172.7666
33.000000	93.161	-173.3599
33.500000	93.148	-173.9396
34.000000	93.144	-174.5002
34.500000	93.142	-175.0479
35.000000	93.133	-175.5863
35.500000	93.125	-176.1120
36.000000	93.124	-176.6223
36.500000	93.121	-177.1202
37.000000	93.103	-177.6069
37.500000	93.070	-178.0788
38.200001	93.028	-178.7112
38.700001	93.019	-179.1508
39.500000	92.978	-179.8503
40.000000	92.937	179.7198
40.599998	92.904	179.2169
41.200001	92.871	178.7203
41.799999	92.839	178.2233
42.500000	92.802	177.6556
43.099998	92.774	177.1907
43.700001	92.759	176.7378
44.400002	92.751	176.2141
45.000000	92.746	175.7767
45.500000	92.742	175.4243
46.200001	92.743	174.9360
46.799999	92.741	174.5142
47.500000	92.706	174.0363
48.200001	92.660	173.5860
48.700001	92.631	173.2677
49.400002	92.574	172.8115
50.000000	92.513	172.4321
50.799999	92.451	171.9689
51.500000	92.404	171.5597
52.200001	92.370	171.1313
53.000000	92.340	170.6901
53.799999	92.314	170.2780
54.500000	92.297	169.8748
55.200001	92.280	169.4951
56.000000	92.257	169.1361
57.000000	92.239	168.5995
58.000000	92.184	168.0356
59.000000	92.108	167.6161
60.000000	92.036	167.1511
60.799999	91.975	166.7778
61.500000	91.933	166.4920
62.200001	91.897	166.2025
63.000000	91.859	165.8427
64.000000	91.816	165.4120
65.000000	91.784	165.0247
66.000000	91.768	164.6401
67.000000	91.743	164.2485
68.000000	91.702	163.8689
69.000000	91.645	163.5089
70.000000	91.575	163.1427
71.000000	91.497	162.8199
72.000000	91.421	162.5175
73.000000	91.362	162.1894
74.000000	91.328	161.8717
75.000000	91.307	161.5677
76.199997	91.285	161.2229
77.500000	91.244	160.8566
78.800003	91.163	160.5161
80.000000	91.077	160.1866
81.199997	90.993	159.8896
82.500000	90.909	159.5657
83.800003	90.857	159.2588
85.000000	90.833	158.9612
86.199997	90.805	158.7102
87.500000	90.762	158.4182
88.500000	90.712	158.2039
90.000000	90.608	157.9048
91.199997	90.530	157.7049
92.500000	90.458	157.4514
93.800003	90.412	157.2268
95.000000	90.378	156.9967
96.199997	90.357	156.8082
97.500000	90.322	156.5937
98.800003	90.250	156.4103
100.000000	90.177	156.2151
101.500000	90.082	156.0181
103.000000	90.003	155.8266
104.400002	89.962	155.6445
106.000000	89.922	155.4754
107.500000	89.880	155.2714
109.000000	89.810	155.1187
110.599998	89.714	154.9468
112.000000	89.631	154.8127
