* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.668
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Aug, 2023 8:55:45 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MOONDROP CHU 2 Aug 21
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.560	-173.0511
20.299999	94.557	-173.4160
20.600000	94.551	-173.7710
20.900000	94.543	-174.1154
21.200001	94.535	-174.4505
21.400000	94.528	-174.6719
21.799999	94.516	-175.1169
22.000000	94.509	-175.3434
22.400000	94.493	-175.8061
22.700001	94.479	-176.1576
23.000000	94.464	-176.5073
23.299999	94.449	-176.8521
23.600000	94.434	-177.1915
24.000000	94.415	-177.6377
24.299999	94.402	-177.9695
24.700001	94.387	-178.4104
25.000000	94.377	-178.7408
25.400000	94.365	-179.1819
25.799999	94.353	-179.6203
26.200001	94.339	179.9550
26.500000	94.328	179.6544
26.900000	94.315	179.2833
27.200001	94.306	179.0229
27.600000	94.297	178.6850
28.000000	94.290	178.3394
28.500000	94.276	177.8925
29.000000	94.254	177.4614
29.500000	94.227	177.0791
30.000000	94.200	176.7429
30.400000	94.182	176.4842
30.700001	94.170	176.2844
31.100000	94.155	176.0014
31.500000	94.138	175.6975
32.000000	94.115	175.2967
32.500000	94.087	174.8929
33.000000	94.056	174.5096
33.500000	94.026	174.1531
34.000000	94.000	173.8122
34.500000	93.976	173.4716
35.000000	93.954	173.1269
35.500000	93.932	172.7823
36.000000	93.909	172.4451
36.500000	93.884	172.1238
37.000000	93.859	171.8235
37.500000	93.836	171.5382
38.200001	93.803	171.1414
38.700001	93.779	170.8580
39.500000	93.739	170.4205
40.000000	93.714	170.1477
40.599998	93.683	169.8128
41.200001	93.648	169.4918
41.799999	93.614	169.2010
42.500000	93.579	168.8698
43.099998	93.548	168.5684
43.700001	93.515	168.2737
44.400002	93.476	167.9626
45.000000	93.446	167.6971
45.500000	93.421	167.4571
46.200001	93.379	167.1219
46.799999	93.342	166.8774
47.500000	93.306	166.6080
48.200001	93.274	166.2776
48.700001	93.245	166.0203
49.400002	93.197	165.7097
50.000000	93.158	165.5022
50.799999	93.114	165.2525
51.500000	93.082	165.0278
52.200001	93.053	164.7657
53.000000	93.009	164.4388
53.799999	92.958	164.2040
54.500000	92.926	164.0325
55.200001	92.896	163.7852
56.000000	92.849	163.4948
57.000000	92.793	163.2111
58.000000	92.735	162.8738
59.000000	92.670	162.6675
60.000000	92.630	162.4446
60.799999	92.593	162.1697
61.500000	92.552	161.9348
62.200001	92.504	161.7241
63.000000	92.449	161.5762
64.000000	92.406	161.4030
65.000000	92.351	161.0564
66.000000	92.287	160.8798
67.000000	92.242	160.5946
68.000000	92.166	160.4001
69.000000	92.130	160.3202
70.000000	92.079	159.9715
71.000000	92.012	159.8585
72.000000	91.970	159.6581
73.000000	91.905	159.4493
74.000000	91.853	159.3367
75.000000	91.804	159.1639
76.199997	91.739	158.9137
77.500000	91.666	158.8127
78.800003	91.606	158.5136
80.000000	91.535	158.4724
81.199997	91.491	158.2037
82.500000	91.406	158.1169
83.800003	91.356	157.9255
85.000000	91.279	157.8199
86.199997	91.235	157.7509
87.500000	91.158	157.5225
88.500000	91.108	157.5345
90.000000	91.038	157.3259
91.199997	90.980	157.3021
92.500000	90.914	157.1659
93.800003	90.860	157.1570
95.000000	90.797	156.9492
96.199997	90.732	156.9919
97.500000	90.680	156.7778
98.800003	90.605	156.8121
100.000000	90.571	156.6071
101.500000	90.466	156.6856
103.000000	90.439	156.6114
104.400002	90.349	156.5379
