* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.585
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 24 Jul, 2023 8:20:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: MOONDROP VARIATIONS Jul 24
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.789	22.1552
20.299999	91.808	21.4950
20.600000	91.824	20.8368
20.900000	91.836	20.1896
21.200001	91.845	19.5638
21.400000	91.851	19.1622
21.799999	91.862	18.3934
22.000000	91.868	18.0220
22.400000	91.883	17.2895
22.700001	91.895	16.7382
23.000000	91.905	16.1811
23.299999	91.913	15.6248
23.600000	91.918	15.0786
24.000000	91.920	14.3785
24.299999	91.921	13.8778
24.700001	91.921	13.2360
25.000000	91.922	12.7658
25.400000	91.923	12.1465
25.799999	91.922	11.5345
26.200001	91.920	10.9321
26.500000	91.918	10.4865
26.900000	91.915	9.8992
27.200001	91.911	9.4632
27.600000	91.906	8.8879
28.000000	91.900	8.3190
28.500000	91.893	7.6111
29.000000	91.883	6.9020
29.500000	91.869	6.2041
30.000000	91.852	5.5394
30.400000	91.840	5.0342
30.700001	91.832	4.6638
31.100000	91.823	4.1692
31.500000	91.813	3.6687
32.000000	91.799	3.0425
32.500000	91.782	2.4310
33.000000	91.762	1.8401
33.500000	91.741	1.2681
34.000000	91.718	0.7188
34.500000	91.696	0.1946
35.000000	91.675	-0.3174
35.500000	91.656	-0.8381
36.000000	91.634	-1.3701
36.500000	91.609	-1.8939
37.000000	91.581	-2.3904
37.500000	91.554	-2.8651
38.200001	91.520	-3.5300
38.700001	91.493	-4.0096
39.500000	91.446	-4.7407
40.000000	91.418	-5.1724
40.599998	91.387	-5.6938
41.200001	91.354	-6.2274
41.799999	91.316	-6.7431
42.500000	91.273	-7.3024
