* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.502
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 21 Oct, 2023 7:47:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: SIMGOT EA1000 Oct 21
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.107	-137.8718
20.299999	89.156	-138.4298
20.600000	89.203	-138.9730
20.900000	89.248	-139.5017
21.200001	89.292	-140.0184
21.400000	89.320	-140.3583
21.799999	89.376	-141.0283
22.000000	89.403	-141.3583
22.400000	89.454	-142.0053
22.700001	89.490	-142.4775
23.000000	89.527	-142.9394
23.299999	89.563	-143.3958
23.600000	89.598	-143.8508
24.000000	89.644	-144.4590
24.299999	89.676	-144.9140
24.700001	89.715	-145.5099
25.000000	89.743	-145.9425
25.400000	89.778	-146.4977
25.799999	89.814	-147.0351
26.200001	89.849	-147.5663
26.500000	89.876	-147.9650
26.900000	89.909	-148.4963
27.200001	89.932	-148.8907
27.600000	89.961	-149.4058
28.000000	89.987	-149.9057
28.500000	90.020	-150.5116
29.000000	90.050	-151.1021
29.500000	90.080	-151.6795
30.000000	90.108	-152.2437
30.400000	90.130	-152.6874
30.700001	90.145	-153.0179
31.100000	90.166	-153.4574
31.500000	90.184	-153.8935
32.000000	90.204	-154.4233
32.500000	90.222	-154.9236
33.000000	90.242	-155.3992
33.500000	90.265	-155.8757
34.000000	90.288	-156.3769
34.500000	90.305	-156.8965
35.000000	90.316	-157.4013
35.500000	90.322	-157.8617
36.000000	90.330	-158.2805
36.500000	90.342	-158.6861
37.000000	90.355	-159.1031
37.500000	90.367	-159.5310
38.200001	90.378	-160.1171
38.700001	90.385	-160.5163
39.500000	90.397	-161.1453
40.000000	90.404	-161.5384
40.599998	90.409	-161.9954
41.200001	90.414	-162.4283
41.799999	90.421	-162.8539
42.500000	90.429	-163.3605
43.099998	90.431	-163.7893
43.700001	90.432	-164.1950
44.400002	90.434	-164.6471
45.000000	90.436	-165.0330
45.500000	90.437	-165.3533
46.200001	90.436	-165.7903
46.799999	90.436	-166.1557
47.500000	90.435	-166.5804
48.200001	90.433	-167.0020
48.700001	90.431	-167.2999
49.400002	90.427	-167.7170
50.000000	90.422	-168.0685
50.799999	90.413	-168.5029
51.500000	90.407	-168.8571
52.200001	90.404	-169.2198
53.000000	90.396	-169.6425
53.799999	90.385	-170.0293
54.500000	90.378	-170.3375
55.200001	90.375	-170.6584
56.000000	90.370	-171.0606
57.000000	90.355	-171.5574
58.000000	90.336	-172.0285
59.000000	90.312	-172.4150
60.000000	90.307	-172.7729
60.799999	90.302	-173.1653
61.500000	90.283	-173.4854
62.200001	90.266	-173.7262
63.000000	90.257	-174.0120
64.000000	90.240	-174.4194
65.000000	90.220	-174.7772
66.000000	90.202	-175.1458
67.000000	90.181	-175.4901
68.000000	90.165	-175.8379
69.000000	90.143	-176.2134
70.000000	90.116	-176.5156
71.000000	90.098	-176.8059
72.000000	90.079	-177.1286
73.000000	90.057	-177.4285
74.000000	90.036	-177.7311
75.000000	90.012	-178.0316
76.199997	89.983	-178.3592
77.500000	89.954	-178.7129
78.800003	89.923	-179.0532
80.000000	89.896	-179.3607
81.199997	89.868	-179.6551
82.500000	89.835	-179.9789
83.800003	89.803	179.7609
85.000000	89.778	179.4737
86.199997	89.747	179.2155
87.500000	89.716	178.9131
88.500000	89.686	178.7022
90.000000	89.650	178.4249
91.199997	89.621	178.1828
92.500000	89.588	177.9323
93.800003	89.555	177.6880
95.000000	89.523	177.4822
96.199997	89.490	177.2771
97.500000	89.456	177.1035
98.800003	89.422	176.8748
