* Measurement data measured by REW V5.20.5
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.657
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 8 Jun, 2023 8:49:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ZLN SHUANGHUA L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.121	-134.8175
20.299999	87.174	-135.2315
20.600000	87.227	-135.6527
20.900000	87.279	-136.0752
21.200001	87.331	-136.4936
21.400000	87.365	-136.7688
21.799999	87.435	-137.3095
22.000000	87.470	-137.5741
22.400000	87.540	-138.0889
22.700001	87.591	-138.4594
23.000000	87.642	-138.8139
23.299999	87.692	-139.1517
23.600000	87.742	-139.4727
24.000000	87.805	-139.8742
24.299999	87.852	-140.1564
24.700001	87.914	-140.5125
25.000000	87.959	-140.7715
25.400000	88.018	-141.1173
25.799999	88.072	-141.4699
26.200001	88.121	-141.8228
26.500000	88.154	-142.0793
26.900000	88.195	-142.4047
27.200001	88.224	-142.6395
27.600000	88.265	-142.9520
28.000000	88.306	-143.2781
28.500000	88.355	-143.7106
29.000000	88.401	-144.1557
29.500000	88.445	-144.5960
30.000000	88.490	-145.0247
30.400000	88.527	-145.3620
30.700001	88.556	-145.6158
31.100000	88.596	-145.9621
31.500000	88.634	-146.3188
32.000000	88.675	-146.7597
32.500000	88.709	-147.1485
33.000000	88.745	-147.4587
33.500000	88.789	-147.7314
34.000000	88.840	-148.0451
34.500000	88.885	-148.4235
35.000000	88.915	-148.8069
35.500000	88.937	-149.1196
36.000000	88.963	-149.3618
36.500000	88.998	-149.6026
37.000000	89.035	-149.8987
37.500000	89.066	-150.2335
38.200001	89.099	-150.6686
38.700001	89.123	-150.9396
39.500000	89.170	-151.3955
40.000000	89.196	-151.7039
40.599998	89.222	-152.0533
41.200001	89.250	-152.3626
41.799999	89.281	-152.6656
42.500000	89.318	-153.0474
43.099998	89.344	-153.3847
43.700001	89.364	-153.6926
44.400002	89.390	-153.9923
45.000000	89.420	-154.2453
45.500000	89.445	-154.5004
46.200001	89.469	-154.8877
46.799999	89.480	-155.1469
47.500000	89.505	-155.3817
48.200001	89.537	-155.6988
48.700001	89.551	-155.9644
49.400002	89.559	-156.2585
50.000000	89.575	-156.4503
50.799999	89.603	-156.7826
51.500000	89.617	-157.0975
52.200001	89.631	-157.3425
53.000000	89.659	-157.6507
53.799999	89.679	-158.0002
54.500000	89.696	-158.2469
55.200001	89.721	-158.5232
56.000000	89.735	-158.8954
57.000000	89.741	-159.1617
58.000000	89.775	-159.4485
59.000000	89.784	-159.8621
60.000000	89.788	-160.0873
60.799999	89.809	-160.3059
61.500000	89.824	-160.5743
62.200001	89.830	-160.8413
63.000000	89.836	-161.0942
64.000000	89.854	-161.3659
65.000000	89.875	-161.6926
66.000000	89.887	-161.9894
67.000000	89.903	-162.2645
68.000000	89.902	-162.5755
69.000000	89.900	-162.6759
70.000000	89.936	-162.8608
71.000000	89.950	-163.3037
72.000000	89.938	-163.5887
73.000000	89.944	-163.8036
74.000000	89.952	-164.0730
75.000000	89.955	-164.3177
76.199997	89.961	-164.5782
77.500000	89.967	-164.8515
78.800003	89.972	-165.1114
80.000000	89.977	-165.4054
81.199997	89.969	-165.6756
82.500000	89.975	-165.9149
83.800003	89.974	-166.2198
85.000000	89.976	-166.4394
86.199997	89.978	-166.6553
87.500000	89.983	-166.9005
