* Measurement data measured by REW V5.20.5
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 12/07/2023 12:25:51 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 8  jvc R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.685	178.2993
20.299999	88.692	177.9718
20.600000	88.691	177.6422
20.900000	88.682	177.2888
21.200001	88.662	176.8975
21.400000	88.644	176.6191
21.799999	88.594	176.0354
22.000000	88.566	175.7340
22.400000	88.510	175.1051
22.700001	88.473	174.5840
23.000000	88.440	173.9950
23.299999	88.408	173.3387
23.600000	88.376	172.6374
24.000000	88.334	171.6835
24.299999	88.309	170.9873
24.700001	88.288	170.0941
25.000000	88.284	169.4383
25.400000	88.291	168.5682
25.799999	88.305	167.7154
26.200001	88.321	166.9137
26.500000	88.334	166.3612
26.900000	88.349	165.6935
27.200001	88.358	165.2426
27.600000	88.366	164.7077
28.000000	88.368	164.2492
28.500000	88.366	163.7544
29.000000	88.358	163.2699
29.500000	88.339	162.7414
30.000000	88.302	162.1826
30.400000	88.265	161.7329
30.700001	88.236	161.3892
31.100000	88.197	160.9017
31.500000	88.159	160.3688
32.000000	88.113	159.6503
32.500000	88.069	158.9009
33.000000	88.032	158.1316
33.500000	88.000	157.3547
34.000000	87.972	156.6133
34.500000	87.951	155.9397
35.000000	87.941	155.3125
35.500000	87.934	154.6942
36.000000	87.923	154.0961
36.500000	87.904	153.5565
37.000000	87.884	153.0771
37.500000	87.863	152.6166
38.200001	87.826	151.9533
38.700001	87.793	151.4750
39.500000	87.736	150.7012
40.000000	87.700	150.1910
40.599998	87.657	149.5538
41.200001	87.614	148.9161
41.799999	87.578	148.2932
42.500000	87.546	147.5614
43.099998	87.523	146.8988
43.700001	87.495	146.2303
44.400002	87.454	145.5112
45.000000	87.420	144.9460
45.500000	87.392	144.4834
46.200001	87.350	143.8456
46.799999	87.314	143.3092
47.500000	87.270	142.6674
48.200001	87.223	142.0210
48.700001	87.189	141.5787
49.400002	87.146	140.9827
50.000000	87.114	140.4694
50.799999	87.072	139.7496
51.500000	87.026	139.1303
52.200001	86.978	138.6139
53.000000	86.941	138.0294
53.799999	86.893	137.3296
54.500000	86.837	136.8390
55.200001	86.804	136.3784
56.000000	86.755	135.6189
57.000000	86.644	135.1074
58.000000	86.660	134.7366
59.000000	86.632	133.4723
60.000000	86.515	132.7569
60.799999	86.475	132.2979
61.500000	86.431	131.7100
62.200001	86.373	131.2242
63.000000	86.328	130.7115
64.000000	86.273	129.9471
65.000000	86.220	129.2424
66.000000	86.166	128.5228
67.000000	86.116	127.9407
68.000000	86.071	127.2712
