* Measurement data measured by REW V5.20.5
* Source: Microphone (3- USB Sound Device        ), MICROPHONE (Master Volume), L, volume: 0.560
* Format: 256k Log Swept Sine, 1 sweep at 6.0- dBFS with no timing reference
* Dated: 10/07/2023 11:38:19 ã
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AFUL Performer 8 OR S L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.524	-179.5631
20.299999	88.527	-179.9480
20.600000	88.525	179.6732
20.900000	88.517	179.2864
21.200001	88.504	178.8810
21.400000	88.491	178.6021
21.799999	88.458	178.0351
22.000000	88.439	177.7512
22.400000	88.400	177.1832
22.700001	88.374	176.7406
23.000000	88.352	176.2618
23.299999	88.333	175.7363
23.600000	88.313	175.1705
24.000000	88.283	174.3832
24.299999	88.260	173.8014
24.700001	88.231	173.0718
25.000000	88.214	172.5685
25.400000	88.203	171.9464
25.799999	88.206	171.3514
26.200001	88.218	170.7520
26.500000	88.229	170.2909
26.900000	88.240	169.6707
27.200001	88.242	169.2225
27.600000	88.237	168.6797
28.000000	88.227	168.2170
28.500000	88.216	167.7171
29.000000	88.204	167.2204
29.500000	88.184	166.6893
30.000000	88.151	166.1583
30.400000	88.119	165.7539
30.700001	88.096	165.4545
31.100000	88.067	165.0364
31.500000	88.038	164.5839
32.000000	87.999	163.9837
32.500000	87.961	163.3773
33.000000	87.926	162.7738
33.500000	87.898	162.1635
34.000000	87.871	161.5554
34.500000	87.847	160.9723
35.000000	87.826	160.4204
35.500000	87.807	159.8922
36.000000	87.787	159.3876
36.500000	87.766	158.9121
37.000000	87.744	158.4602
37.500000	87.719	158.0197
38.200001	87.679	157.4182
38.700001	87.648	157.0021
39.500000	87.598	156.3311
40.000000	87.567	155.8889
40.599998	87.527	155.3394
41.200001	87.484	154.8000
41.799999	87.444	154.2943
42.500000	87.405	153.7187
43.099998	87.375	153.1998
43.700001	87.340	152.6888
44.400002	87.297	152.1547
45.000000	87.266	151.7114
45.500000	87.239	151.3168
46.200001	87.192	150.7635
46.799999	87.148	150.3408
47.500000	87.104	149.8802
48.200001	87.068	149.3622
48.700001	87.037	148.9476
49.400002	86.982	148.4146
50.000000	86.943	148.0648
50.799999	86.915	147.5324
51.500000	86.873	146.9497
52.200001	86.820	146.5560
53.000000	86.796	146.1125
53.799999	86.737	145.4314
54.500000	86.665	145.2301
55.200001	86.671	144.9525
56.000000	86.595	143.8435
57.000000	86.333	144.3281
58.000000	86.565	145.0117
59.000000	86.588	142.3294
