* Measurement data measured by REW V5.20.13
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.697
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Dec 4, 2023 4:16:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: @iemworld / Campfire Audio Andromeda 2020 / XDUOO XD-05 PRO # AKM4499 - MUSES 01 / www.iem-world.com; 
* Measurement: Andronida OR-S 220 OHM R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.264	-167.2491
20.299999	78.342	-166.3378
20.600000	78.393	-165.4011
20.900000	78.416	-164.5372
21.200001	78.399	-163.7927
21.400000	78.362	-163.3337
21.799999	78.239	-162.4438
22.000000	78.164	-162.0108
22.400000	78.011	-161.2607
22.700001	77.902	-160.9606
23.000000	77.789	-161.0029
23.299999	77.659	-161.3497
23.600000	77.512	-161.8854
24.000000	77.313	-162.7011
24.299999	77.193	-163.3276
24.700001	77.103	-164.2704
25.000000	77.088	-165.1481
25.400000	77.111	-166.5363
25.799999	77.157	-167.9401
26.200001	77.222	-169.0757
26.500000	77.292	-169.6815
26.900000	77.419	-170.2087
27.200001	77.529	-170.4573
27.600000	77.677	-170.6325
28.000000	77.812	-170.6183
28.500000	77.953	-170.3632
29.000000	78.053	-169.9818
29.500000	78.094	-169.5382
30.000000	78.078	-168.9881
30.400000	78.042	-168.5144
30.700001	78.009	-168.2129
31.100000	77.951	-167.9579
31.500000	77.873	-167.8555
32.000000	77.758	-167.8279
32.500000	77.661	-167.8934
33.000000	77.605	-168.2153
33.500000	77.572	-168.8595
34.000000	77.545	-169.6429
34.500000	77.532	-170.3423
35.000000	77.545	-170.8865
35.500000	77.587	-171.2806
36.000000	77.648	-171.5391
36.500000	77.721	-171.7204
37.000000	77.781	-171.8743
37.500000	77.809	-171.9211
38.200001	77.817	-171.6216
38.700001	77.833	-171.3090
39.500000	77.843	-171.1612
40.000000	77.813	-171.1758
40.599998	77.771	-171.1398
41.200001	77.750	-171.2191
41.799999	77.729	-171.4991
42.500000	77.699	-171.8349
43.099998	77.692	-172.0515
43.700001	77.700	-172.2841
44.400002	77.711	-172.5204
45.000000	77.720	-172.6292
45.500000	77.729	-172.6725
46.200001	77.741	-172.7001
46.799999	77.750	-172.7494
47.500000	77.744	-172.8594
48.200001	77.727	-172.9038
48.700001	77.724	-172.9042
49.400002	77.737	-173.0042
50.000000	77.742	-173.1943
50.799999	77.732	-173.3955
51.500000	77.724	-173.4099
52.200001	77.733	-173.3508
53.000000	77.744	-173.3750
53.799999	77.729	-173.3555
54.500000	77.727	-173.2516
55.200001	77.736	-173.3631
56.000000	77.706	-173.6236
57.000000	77.677	-173.6152
58.000000	77.714	-173.8236
59.000000	77.716	-174.2512
60.000000	77.683	-174.2074
60.799999	77.707	-173.9164
61.500000	77.744	-173.9246
62.200001	77.739	-174.0870
63.000000	77.701	-174.0956
64.000000	77.672	-174.0681
65.000000	77.645	-174.1922
66.000000	77.633	-174.3152
67.000000	77.639	-174.5415
68.000000	77.630	-174.6661
69.000000	77.644	-174.5710
70.000000	77.657	-174.5769
71.000000	77.655	-174.4885
72.000000	77.655	-174.5681
73.000000	77.617	-174.6577
74.000000	77.605	-174.6266
75.000000	77.601	-174.7917
76.199997	77.592	-174.8540
77.500000	77.594	-174.9358
78.800003	77.601	-174.8793
80.000000	77.589	-174.9714
81.199997	77.579	-174.8425
82.500000	77.586	-174.9148
83.800003	77.567	-174.9875
85.000000	77.557	-174.8686
86.199997	77.564	-174.9644
87.500000	77.528	-174.9898
88.500000	77.530	-174.9516
90.000000	77.522	-175.1157
91.199997	77.514	-175.1583
92.500000	77.497	-175.1481
93.800003	77.496	-174.9217
95.000000	77.523	-175.0290
96.199997	77.479	-175.2935
