* Measurement data measured by REW V5.20.13
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.697
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Dec 4, 2023 2:29:27 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: @iemworld / EPZ G10 / XDUOO XD-05 PRO # AKM4499 - MUSES 01 / www.iem-world.com; 
* Measurement: EPZ G10 FOAM L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.629	-145.6224
20.299999	80.764	-145.5473
20.600000	80.877	-145.3871
20.900000	80.963	-145.2179
21.200001	81.014	-145.0711
21.400000	81.027	-144.9686
21.799999	81.012	-144.7343
22.000000	80.992	-144.6156
22.400000	80.939	-144.4654
22.700001	80.891	-144.5376
23.000000	80.830	-144.8302
23.299999	80.747	-145.3042
23.600000	80.649	-145.8878
24.000000	80.514	-146.7418
24.299999	80.431	-147.4344
24.700001	80.362	-148.5103
25.000000	80.340	-149.4811
25.400000	80.336	-150.9576
25.799999	80.350	-152.4721
26.200001	80.387	-153.8506
26.500000	80.435	-154.7558
26.900000	80.523	-155.8049
27.200001	80.601	-156.4842
27.600000	80.707	-157.2332
28.000000	80.809	-157.7812
28.500000	80.927	-158.2294
29.000000	81.019	-158.5269
29.500000	81.066	-158.6906
30.000000	81.076	-158.6852
30.400000	81.073	-158.6348
30.700001	81.067	-158.6499
31.100000	81.045	-158.8061
31.500000	81.000	-159.0917
32.000000	80.918	-159.5100
32.500000	80.840	-159.9646
33.000000	80.785	-160.5876
33.500000	80.743	-161.4345
34.000000	80.700	-162.3549
34.500000	80.673	-163.1822
35.000000	80.677	-163.9101
35.500000	80.708	-164.6051
36.000000	80.750	-165.2712
36.500000	80.790	-165.8713
37.000000	80.821	-166.3812
37.500000	80.836	-166.7759
38.200001	80.839	-167.1120
38.700001	80.836	-167.2781
39.500000	80.815	-167.6152
40.000000	80.787	-167.8500
40.599998	80.755	-168.1643
41.200001	80.726	-168.6159
41.799999	80.686	-169.1665
42.500000	80.634	-169.7412
43.099998	80.608	-170.1660
43.700001	80.597	-170.6046
44.400002	80.586	-171.1263
45.000000	80.571	-171.5367
45.500000	80.554	-171.8085
46.200001	80.536	-172.0726
46.799999	80.535	-172.3363
47.500000	80.522	-172.8133
48.200001	80.481	-173.2640
48.700001	80.453	-173.5045
49.400002	80.428	-173.8590
50.000000	80.404	-174.1955
50.799999	80.373	-174.5559
51.500000	80.355	-174.8396
52.200001	80.333	-175.1134
53.000000	80.306	-175.3510
53.799999	80.279	-175.6281
54.500000	80.240	-175.9140
55.200001	80.192	-176.1476
56.000000	80.148	-176.3845
57.000000	80.111	-176.7820
58.000000	80.082	-177.2139
59.000000	80.065	-177.6757
60.000000	80.027	-178.0585
60.799999	79.997	-178.1939
61.500000	79.972	-178.3180
62.200001	79.937	-178.4364
63.000000	79.895	-178.5372
64.000000	79.847	-178.7699
65.000000	79.794	-179.0932
66.000000	79.745	-179.4364
67.000000	79.704	-179.7240
68.000000	79.675	-179.9320
69.000000	79.652	179.8769
70.000000	79.610	179.7126
71.000000	79.566	179.6668
72.000000	79.521	179.4897
73.000000	79.451	179.3543
74.000000	79.406	179.3173
75.000000	79.377	179.1039
76.199997	79.331	178.9097
77.500000	79.296	178.6577
78.800003	79.237	178.5774
80.000000	79.196	178.4203
81.199997	79.136	178.3909
82.500000	79.094	178.2913
83.800003	79.050	178.1849
85.000000	78.989	178.0430
86.199997	78.946	178.1435
87.500000	78.904	177.8948
88.500000	78.849	177.8768
90.000000	78.815	177.7968
91.199997	78.771	177.6646
92.500000	78.729	177.7364
93.800003	78.691	177.6324
95.000000	78.626	177.6971
96.199997	78.583	177.7388
97.500000	78.538	177.7394
98.800003	78.500	177.6680
100.000000	78.467	177.6643
101.500000	78.425	177.6216
103.000000	78.367	177.7687
104.400002	78.335	177.8174
106.000000	78.268	177.8476
107.500000	78.226	177.9047
109.000000	78.175	177.9489
110.599998	78.122	178.0459
112.000000	78.101	178.1049
113.800003	78.027	178.0923
115.000000	78.000	178.2245
117.199997	77.934	178.4252
118.000000	77.919	178.4807
120.599998	77.850	178.7258
122.000000	77.817	178.6183
124.099998	77.752	178.7545
125.000000	77.733	178.8245
126.500000	77.691	179.0376
128.000000	77.664	179.0133
131.500000	77.573	179.3336
132.000000	77.560	179.3187
134.000000	77.501	179.6281
136.000000	77.448	179.7562
138.000000	77.403	-179.9490
140.000000	77.355	-179.8106
143.000000	77.289	-179.5677
145.000000	77.266	-179.4268
147.500000	77.208	-179.0255
150.000000	77.163	-178.9562
152.500000	77.102	-178.6587
155.000000	77.052	-178.3623
157.500000	77.007	-178.0559
160.000000	76.965	-177.7816
162.500000	76.931	-177.5579
165.000000	76.900	-177.2289
167.500000	76.842	-176.8872
170.000000	76.802	-176.6185
172.500000	76.746	-176.2015
