* Measurement data measured by REW V5.20.13
* Source: USB Sound Device        , MICROPHONE, R, volume: 0.697
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: Dec 4, 2023 1:38:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: @iemworld / EPZ Q5 / XDUOO XD-05 PRO # AKM4499 - MUSES 01 / www.iem-world.com; 
* Measurement: EPZ Q5 WIZ R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.024	14.4591
20.299999	84.986	13.3891
20.600000	84.964	12.2948
20.900000	84.956	11.2318
21.200001	84.967	10.2416
21.400000	84.987	9.6208
21.799999	85.047	8.4544
22.000000	85.083	7.9074
22.400000	85.155	6.9117
22.700001	85.202	6.3050
23.000000	85.245	5.8620
23.299999	85.287	5.5695
23.600000	85.332	5.3773
24.000000	85.390	5.1823
24.299999	85.422	5.0352
24.700001	85.437	4.8466
25.000000	85.426	4.7412
25.400000	85.392	4.6619
25.799999	85.346	4.5975
26.200001	85.290	4.4651
26.500000	85.240	4.2972
26.900000	85.164	3.9895
27.200001	85.104	3.7056
27.600000	85.026	3.2512
28.000000	84.954	2.6904
28.500000	84.874	1.8556
29.000000	84.808	0.9664
29.500000	84.766	0.0876
30.000000	84.751	-0.7884
30.400000	84.748	-1.4702
30.700001	84.748	-1.9357
31.100000	84.751	-2.4521
31.500000	84.761	-2.8527
32.000000	84.783	-3.2641
32.500000	84.798	-3.6369
33.000000	84.793	-3.9352
33.500000	84.772	-4.1203
34.000000	84.743	-4.2497
34.500000	84.707	-4.4103
35.000000	84.659	-4.6241
35.500000	84.603	-4.8876
36.000000	84.544	-5.2219
36.500000	84.481	-5.6292
37.000000	84.417	-6.0603
37.500000	84.361	-6.4841
38.200001	84.306	-7.1223
38.700001	84.272	-7.6126
39.500000	84.221	-8.2746
40.000000	84.199	-8.5954
40.599998	84.180	-8.9604
41.200001	84.155	-9.3043
41.799999	84.121	-9.5878
42.500000	84.076	-9.8748
43.099998	84.032	-10.1223
43.700001	83.983	-10.3693
44.400002	83.924	-10.6564
45.000000	83.878	-10.9140
45.500000	83.845	-11.1647
46.200001	83.795	-11.5868
46.799999	83.740	-11.9224
47.500000	83.679	-12.1661
48.200001	83.638	-12.3671
48.700001	83.611	-12.5587
49.400002	83.565	-12.8543
50.000000	83.519	-13.0989
50.799999	83.450	-13.4159
51.500000	83.388	-13.6441
52.200001	83.337	-13.8659
53.000000	83.284	-14.1857
53.799999	83.228	-14.4956
54.500000	83.182	-14.7291
55.200001	83.136	-14.9279
56.000000	83.084	-15.0813
57.000000	83.024	-15.2485
58.000000	82.952	-15.5100
59.000000	82.857	-15.7019
60.000000	82.787	-15.8677
60.799999	82.734	-16.1581
61.500000	82.680	-16.3904
62.200001	82.632	-16.5577
63.000000	82.587	-16.7147
64.000000	82.544	-16.8587
65.000000	82.498	-17.0950
66.000000	82.422	-17.2389
67.000000	82.352	-17.2928
68.000000	82.279	-17.4030
69.000000	82.209	-17.5212
70.000000	82.145	-17.6817
71.000000	82.085	-17.8558
72.000000	82.024	-18.0328
73.000000	81.958	-18.1225
74.000000	81.903	-18.2079
75.000000	81.829	-18.3021
76.199997	81.761	-18.2708
77.500000	81.678	-18.4672
78.800003	81.601	-18.4694
80.000000	81.530	-18.6196
81.199997	81.448	-18.6301
82.500000	81.373	-18.6533
83.800003	81.300	-18.7422
85.000000	81.227	-18.8443
86.199997	81.153	-18.8576
87.500000	81.089	-18.7847
88.500000	81.041	-18.7845
90.000000	80.954	-18.7425
91.199997	80.880	-18.7485
92.500000	80.804	-18.7164
93.800003	80.737	-18.7861
95.000000	80.673	-18.7728
96.199997	80.619	-18.7237
97.500000	80.562	-18.6448
98.800003	80.483	-18.6275
100.000000	80.412	-18.4310
101.500000	80.335	-18.3865
103.000000	80.268	-18.3381
104.400002	80.195	-18.3528
106.000000	80.123	-18.2014
107.500000	80.055	-18.1534
109.000000	79.973	-17.9941
110.599998	79.898	-17.8545
112.000000	79.827	-17.7907
113.800003	79.729	-17.6196
115.000000	79.671	-17.5083
117.199997	79.579	-17.3228
118.000000	79.544	-17.2731
120.599998	79.431	-17.0825
122.000000	79.348	-16.7918
124.099998	79.262	-16.7113
125.000000	79.205	-16.5691
126.500000	79.134	-16.3767
128.000000	79.064	-16.1214
131.500000	78.896	-15.6049
132.000000	78.871	-15.5131
134.000000	78.787	-15.1728
136.000000	78.672	-14.8259
138.000000	78.570	-14.4506
140.000000	78.462	-13.9646
143.000000	78.335	-13.1311
145.000000	78.219	-12.4109
147.500000	78.123	-11.4083
150.000000	78.032	-10.4232
152.500000	77.984	-9.1198
155.000000	78.005	-7.8669
157.500000	78.047	-6.7006
160.000000	78.144	-5.9705
162.500000	78.269	-5.5860
165.000000	78.366	-5.5267
167.500000	78.418	-5.6099
170.000000	78.432	-6.0695
172.500000	78.429	-6.3098
175.000000	78.386	-6.5018
177.500000	78.326	-6.6852
180.000000	78.277	-6.6789
182.500000	78.207	-6.8175
185.000000	78.131	-6.5684
187.500000	78.076	-6.4810
190.000000	77.988	-6.2540
192.500000	77.927	-6.0671
195.000000	77.852	-5.8374
197.500000	77.787	-5.5941
200.000000	77.716	-5.4898
203.000000	77.643	-4.9960
206.000000	77.583	-4.6217
209.000000	77.502	-4.2899
212.000000	77.448	-3.8031
